"Status","","'=","in Betrieb",""
"","","'=","genehmigt, noch nicht in Betrieb",""


"Zuständige Dienststelle","Standortgemeinde","Hersteller","Typbezeichnung des Herstellers","Generatorleistung [MW]","Nabenhöhe [m]","Rotordurchmesser [m]","Status","Inbetriebnahmedatum","Stilllegedatum","Ost","Nord","Herkunft der Daten","Stand der Daten"
"Landratsamt Heilbronn","Hardthausen","Enercon","E-115","3,00","149,00","115,70","in Betrieb","29.09.2017",,"529676","5459786","LUBW      ","2025"
"Landratsamt Heilbronn","Widdern","Enercon","E-115","3,00","149,08","115,72","in Betrieb","25.09.2017",,"529390","5460566","LUBW      ","2025"
"Landratsamt Heilbronn","Obersulm","Nordex","N-149","4,50","164,00","149,10","in Betrieb","15.02.2022",,"531447","5439291","LUBW      ","2025"
"Landratsamt Hohenlohekreis","Forchtenberg","Enercon","E-115","3,00","149,00","115,72","in Betrieb","11.12.2015",,"532046","5459634","LUBW      ","2025"
"Landratsamt Hohenlohekreis","Weißbach","Vestas Deutschland","V126-3.3 MW","3,30","137,00","126,00","in Betrieb","29.06.2016",,"542860","5464310","LUBW      ","2025"
"Landratsamt Hohenlohekreis","Weißbach","Vestas Deutschland","V126-3.3 MW","3,30","137,00","126,00","in Betrieb","15.06.2016",,"543657","5464608","LUBW      ","2025"
"Landratsamt Hohenlohekreis","Weißbach","Vestas Deutschland","V126-3.3 MW","3,30","137,00","126,00","in Betrieb","24.06.2016",,"543036","5463982","LUBW      ","2025"
"Landratsamt Hohenlohekreis","Weißbach","Vestas Deutschland","V126-3.3 MW","3,30","137,00","126,00","in Betrieb","23.05.2016",,"543571","5464147","LUBW      ","2025"
"Landratsamt Hohenlohekreis","Weißbach","Vestas Deutschland","V126-3.3 MW","3,30","137,00","126,00","in Betrieb","01.06.2016",,"544108","5464598","LUBW      ","2025"
"Landratsamt Hohenlohekreis","Ingelfingen, Gemarkung Dörrenzimmern","Repower Systems","Repower MM 92","2,00","100,00","92,50","in Betrieb","28.12.2007",,"550531","5465885","LUBW      ","2025"
"Landratsamt Hohenlohekreis","Ingelfingen, Gemarkung Dörrenzimmern","Repower Systems","Repower MM 92","2,00","100,00","92,50","in Betrieb","19.12.2007",,"550692","5465604","LUBW      ","2025"
"Landratsamt Hohenlohekreis","Krautheim, Gemarkung Oberginsbach","Repower Systems","Repower MM 92","2,00","100,00","92,60","in Betrieb","30.12.2007",,"550205","5466369","LUBW      ","2025"
"Landratsamt Hohenlohekreis","Krautheim, Gemarkung Oberginsbach","Repower Systems","Repower MM 92","2,00","100,00","92,60","in Betrieb","12.01.2008",,"550279","5466063","LUBW      ","2025"
"Landratsamt Hohenlohekreis","Crispenhofen","NEG Micon Deutschland GmbH","NM 1000/60","1,00","70,00","60,00","in Betrieb","01.01.2003",,"542367","5464025","LUBW      ","2025"
"Landratsamt Hohenlohekreis","Ingelfingen, Gemarkung Dörrenzimmern","Repower ","Repower MD70/77","1,50","100,00","77,00","in Betrieb","01.11.2003",,"550826","5465868","LUBW      ","2025"
"Landratsamt Hohenlohekreis","Mulfingen","Enercon","Enercon E-82","2,00","100,00","82,00","in Betrieb","01.10.2006",,"557999","5472920","LUBW      ","2025"
"Landratsamt Hohenlohekreis","Bretzfeld-Unterheimbach","Nordex SE","Nordex N149 TSC 164-B (geänderter Betonhybridturm TCS164, Hersteller Max Bögl)","4,50","164,00","149,00","in Betrieb","21.03.2022",,"531699","5438915","LUBW      ","2025"
"Landratsamt Hohenlohekreis","Bretzfeld-Unterheimbach","Nordex SE","Nordex N149 TSC 164-B (geänderter Betonhybridturm TCS164, Hersteller Max Bögl)","4,50","164,00","149,00","in Betrieb","21.03.2022",,"532214","5439265","LUBW      ","2025"
"Landratsamt Hohenlohekreis","Krautheim-Neunstetten","Enercon GmbH","Enercon E-138 EP3 E2","4,20","160,00","138,25","in Betrieb","14.12.2023",,"543564","5471770","LUBW      ","2025"
"Landratsamt Hohenlohekreis","Krautheim-Gommersdorf","Enercon GmbH","Enercon E-138 EP3 E2","4,20","160,00","138,25","in Betrieb","14.12.2023",,"543996","5471638","LUBW      ","2025"
"Landratsamt Hohenlohekreis","Krautheim-Neunstetten","Enercon GmbH","Enercon E-138 EP3 E2","4,20","160,00","138,25","in Betrieb","14.12.2023",,"543248","5471461","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Gerabronn","Dewind","D 4","0,60","60,00","48,00","in Betrieb","01.05.1998",,"565798","5456238","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Gerabronn","Nordex","N 50","0,80","70,00","50,00","in Betrieb","01.07.2002",,"568381","5457295","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Gerabronn","Fuhrländer","FL 1000","1,00","70,00","46,00","in Betrieb","01.07.2001",,"563293","5454348","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Ilshofen","Fuhrländer","FL MD 77","1,50","102,47","77,00","in Betrieb","07.09.2006",,"565213","5449297","LUBW      ","2025"
"Landratsamt Schwäbisch-Hall","Frankenhardt","REpower","MM 92","2,00","80,00","92,00","in Betrieb","01.07.2007",,"577461","5435192","LUBW      ","2025"
