Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id,Result_1,Result_2,Time Format,Referee,Method Details,Sig. Str. %_1,Sig. Str. %_2,Sub. Att_1,Sub. Att_2,Rev._1,Rev._2,Ctrl_1,Ctrl_2,Head_%_1,Head_%_2,Body_%_1,Body_%_2,Leg_%_1,Leg_%_2,Distance_%_1,Distance_%_2,Clinch_%_1,Clinch_%_2,Ground_%_1,Ground_%_2,Total Str._%_1,Total Str._%_2,Sig. Str._%_1,Sig. Str._%_2
Reinier de Ridder,Brendan Allen,0,0,22,9,1,3,1,1,Middleweight,KO/TKO,4,5:00,38e5d9dcb0fddc42,L,W,5 Rnd (5-5-5-5-5),Jason Herzog,"to    
      Corner stoppage between rounds",0.69,0.59,1,1,0,2,425,699,0.8,0.58,0.62,0.75,0,0,0.6,0.12,1.0,1.0,1.0,0.7,0.85,0.72,0.69,0.59
Kevin Holland,Mike Malott,0,0,49,52,1,1,1,0,Welterweight,U-DEC,3,5:00,38e5d9dcb0fddc42,L,W,3 Rnd (5-5-5),Dan Miragliotta,Jake Maxim28 - 29.Mike Bell28 - 29.Sal D'amato28 - 29.,0.37,0.51,0,1,0,1,27,151,0.24,0.48,0.69,0.67,0.71,0.57,0.39,0.5,0.33,0.33,0.0,1.0,0.47,0.51,0.38,0.52
Marlon Vera,Aiemann Zahabi,0,1,81,56,0,0,0,0,Bantamweight,S-DEC,3,5:00,38e5d9dcb0fddc42,L,W,3 Rnd (5-5-5),Jason Herzog,Jake Maxim28 - 29.Sal D'amato29 - 28.Mike Bell28 - 29.,0.36,0.53,0,0,0,0,3,0,0.28,0.44,0.54,0.71,0.63,0.82,0.37,0.53,0.5,0.67,0,0,0.37,0.53,0.37,0.53
Manon Fiorot,Jasmine Jasudavicius,0,0,16,2,0,0,0,0,Women's Flyweight,KO/TKO Punches,1,1:14,38e5d9dcb0fddc42,W,L,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head On Ground,0.59,0.14,0,0,0,0,6,0,0.62,0.14,0.0,0,0,0,0.5,0.14,0.0,0,0.89,0,0.61,0.14,0.59,0.14
Charles Jourdain,Davey Grant,1,0,25,9,0,0,1,0,Bantamweight,SUB Guillotine Choke,1,3:05,38e5d9dcb0fddc42,W,L,3 Rnd (5-5-5),Jason Herzog,Guillotine Choke From Guard,0.58,0.34,1,0,0,0,20,0,0.57,0.21,0.62,0.33,0,0.56,0.55,0.35,0,0,0.67,0,0.58,0.35,0.58,0.35
Kyle Nelson,Matt Frevola,1,0,63,43,2,2,0,0,Lightweight,U-DEC,3,5:00,38e5d9dcb0fddc42,W,L,3 Rnd (5-5-5),Dan Miragliotta,Sal D'amato27 - 30.Jake Maxim28 - 29.Mike Bell28 - 29.,0.46,0.31,0,0,0,1,191,118,0.4,0.22,0.61,0.5,0.89,0.77,0.43,0.3,0.5,0.57,0.67,0,0.54,0.39,0.47,0.32
Kyle Prepolec,Drew Dober,0,0,83,51,0,0,0,0,Lightweight,KO/TKO Punches,3,1:16,38e5d9dcb0fddc42,L,W,3 Rnd (5-5-5),John Cooper,Punches to Head At Distance,0.31,0.51,0,0,0,0,2,4,0.26,0.39,0.54,0.82,0.67,0.86,0.31,0.5,0,0.75,0,0,0.31,0.52,0.31,0.52
Cody Gibson,Aoriqileng,1,0,5,3,0,0,0,0,Bantamweight,KO/TKO Punch,1,0:21,38e5d9dcb0fddc42,L,W,3 Rnd (5-5-5),Mitch Cadlick,Punch to Head At Distance,1.0,0.62,0,0,0,0,0,4,1.0,0.71,0,0.0,1.0,0,1.0,1.0,0,0,0,0.5,1.0,0.67,1.0,0.62
Bruno Silva,HyunSung Park,1,0,46,31,5,1,1,0,Flyweight,SUB Rear Naked Choke,3,2:15,38e5d9dcb0fddc42,W,L,3 Rnd (5-5-5),Sal Ram,Rear Naked Choke,0.62,0.28,1,0,0,0,289,42,0.53,0.21,1.0,0.73,0.67,0.29,0.61,0.24,1.0,0.62,0,0,0.65,0.41,0.62,0.29
Danny Barlow,Djorden Santos,0,0,99,93,0,0,0,0,Middleweight,U-DEC,3,5:00,38e5d9dcb0fddc42,L,W,3 Rnd (5-5-5),John Cooper,Jake Maxim28 - 29.Mike Bell28 - 29.Saleem Haniff28 - 29.,0.54,0.45,0,0,0,0,0,115,0.43,0.41,0.8,0.61,0.93,0.88,0.54,0.45,0,1.0,1.0,0.75,0.57,0.47,0.54,0.46
Stephanie Luciano,Ravena Oliveira,0,0,60,24,3,0,1,0,Women's Strawweight,SUB Rear Naked Choke,3,2:50,38e5d9dcb0fddc42,W,L,3 Rnd (5-5-5),Mitch Cadlick,Rear Naked Choke,0.48,0.23,1,0,0,0,173,0,0.32,0.18,0.61,0.6,0.75,0.32,0.45,0.24,0.83,0.0,0.56,0,0.52,0.31,0.48,0.23
Azamat Bekoev,Yousri Belgaroui,0,0,102,24,1,4,0,0,Middleweight,KO/TKO Punches,3,0:55,38e5d9dcb0fddc42,L,W,3 Rnd (5-5-5),Sal Ram,Punches to Head At Distance,0.31,0.73,0,0,0,0,198,40,0.25,0.68,1.0,1.0,1.0,0.92,0.29,0.72,1.0,1.0,0,1.0,0.33,0.74,0.31,0.74
Melissa Croden,Tainara Lisboa,1,0,99,42,2,2,0,0,Women's Bantamweight,KO/TKO Punches,3,4:32,38e5d9dcb0fddc42,W,L,3 Rnd (5-5-5),John Cooper,Punches to Head From Half Guard,0.56,0.45,0,0,0,0,305,139,0.52,0.33,0.75,0.86,0.72,1.0,0.53,0.33,0.65,0.86,0.62,0,0.64,0.55,0.57,0.46
Charles Oliveira,Mateusz Gamrot,0,0,11,18,1,1,1,0,Lightweight,SUB Rear Naked Choke,2,2:48,9336e86cfd4ceaa1,W,L,5 Rnd (5-5-5-5-5),Marc Goddard,Rear Naked Choke,0.33,0.42,1,0,1,0,215,60,0.19,0.4,0.5,1.0,0.67,0,0.31,0.43,1.0,0,0,0,0.45,0.42,0.33,0.43
Deiveson Figueiredo,Montel Jackson,0,0,23,30,2,1,0,0,Bantamweight,S-DEC,3,5:00,9336e86cfd4ceaa1,W,L,3 Rnd (5-5-5),Jason Herzog,Clemens Werner28 - 29.Fabio Alves29 - 28.Jerin Valel28 - 29.,0.53,0.42,0,0,0,0,138,2,0.21,0.27,0.82,0.88,0.77,0.82,0.52,0.42,0,0.67,1.0,0,0.52,0.43,0.53,0.43
Vicente Luque,Joel Alvarez,0,0,89,30,1,0,1,0,Welterweight,U-DEC,3,5:00,9336e86cfd4ceaa1,L,W,3 Rnd (5-5-5),Osiris Maia,Mateus Fonseca26 - 30.Sal D'amato26 - 30.David Lethaby26 - 30.,0.3,0.6,0,1,0,0,0,390,0.22,0.57,0.46,0.8,0.67,1.0,0.3,0.55,0,0,0,0.71,0.31,0.68,0.3,0.6
Jhonata Diniz,Mario Pinto,0,0,29,1,3,0,2,0,Heavyweight,KO/TKO Punches,2,4:10,9336e86cfd4ceaa1,L,W,3 Rnd (5-5-5),Joao Claudio Soares,Punches to Head From Mount,0.2,0.87,0,2,1,1,9,448,0.0,0.9,0.0,0,0.5,0.5,0.2,0.67,0,0,0,0.9,0.44,0.85,0.2,0.88
Ricardo Ramos,Kaan Ofli,0,0,1,1,1,0,1,3,Featherweight,SUB Rear Naked Choke,1,3:02,9336e86cfd4ceaa1,L,W,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke,0.25,1.0,3,1,0,0,0,116,0.5,0,0.0,0,0.0,1.0,0.25,1.0,0,0,0,0,0.25,1.0,0.25,1.0
Lucas Almeida,Michael Aswell Jr.,2,0,30,9,0,0,0,0,Featherweight,KO/TKO Punches,1,1:42,9336e86cfd4ceaa1,L,W,3 Rnd (5-5-5),Jason Herzog,Punches to Head From Mount,0.42,0.55,0,0,0,0,0,15,0.21,0.57,1.0,0,0.83,0.0,0.43,0.51,0,1.0,0,0.62,0.43,0.58,0.43,0.56
Jafel Filho,Clayton Carpenter,0,0,5,7,1,0,1,0,Flyweight,SUB Kimura,1,4:42,9336e86cfd4ceaa1,W,L,3 Rnd (5-5-5),Osiris Maia,Kimura From Bottom Half Guard,0.38,0.33,1,0,1,1,143,64,0.17,0.22,0.0,0.38,0.67,0.5,0.36,0.28,0.5,0.67,0,0,0.74,0.44,0.38,0.33
Vitor Petrino,Thomas Petersen,2,0,31,16,1,0,0,0,Heavyweight,KO/TKO Punch,3,0:26,9336e86cfd4ceaa1,W,L,3 Rnd (5-5-5),Joao Claudio Soares,Punch to Head At Distance,0.57,0.45,0,0,0,0,183,126,0.54,0.28,0.71,0.9,1.0,0,0.45,0.45,0.75,0.5,0.69,0,0.54,0.66,0.57,0.46
Bia Mesquita,Irina Alekseeva,0,0,36,6,2,0,1,0,Women's Bantamweight,SUB Rear Naked Choke,2,2:14,9336e86cfd4ceaa1,W,L,3 Rnd (5-5-5),Marc Goddard,Rear Naked Choke,0.57,0.26,1,0,0,0,293,0,0.56,0.25,0,0.0,1.0,0.38,0.18,0.26,0,0,0.65,0,0.62,0.5,0.57,0.26
Lucas Rocha,Stewart Nicoll,0,0,115,45,3,2,0,0,Flyweight,U-DEC,3,5:00,9336e86cfd4ceaa1,W,L,3 Rnd (5-5-5),Jason Herzog,Mateus Fonseca27 - 30.Sal D'amato27 - 30.Jerin Valel27 - 30.,0.5,0.32,0,0,0,0,85,90,0.44,0.31,0.81,0.67,0.8,1.0,0.49,0.33,0.73,0.0,0.67,0,0.53,0.33,0.51,0.33
Julia Polastri,Karolina Kowalkiewicz,0,0,137,72,0,1,0,0,Women's Strawweight,KO/TKO Punches,3,2:56,9336e86cfd4ceaa1,W,L,3 Rnd (5-5-5),Marc Goddard,Punches to Head At Distance,0.54,0.37,0,0,0,0,46,31,0.44,0.2,0.86,0.63,0.91,0.86,0.53,0.38,0.7,0.33,0,0,0.54,0.38,0.54,0.38
Luan Lacerda,Saimon Oliveira,0,0,24,21,3,1,1,0,Bantamweight,SUB Armbar,2,3:55,9336e86cfd4ceaa1,W,L,3 Rnd (5-5-5),Jason Herzog,Armbar From Bottom Guard,0.61,0.61,1,0,0,2,366,105,0.5,0.67,0.83,0.43,1.0,0.67,0.46,0.47,0.75,0.67,0.67,0.79,0.71,0.63,0.62,0.62
