Fighter_Id,Full Name,Nickname,Ht.,Wt.,Stance,W,L,D,Belt,Round,KD,STR,TD,SUB,Ctrl,Sig. Str. %,Head_%,Body_%,Leg_%,Distance_%,Clinch_%,Ground_%,Sub. Att,Rev.,Weight_Class,Gender,Fighting Style
Danny 'The Assassin' Abbadi,Danny Abbadi,The Assassin,5.11,155.0,Orthodox,4,6,0,False,2.0,0.0,29.5,0.0,0.0,55.0,0.36,0.3,0.89,0.0,0.27,0.55,0.38,0.0,0.0,Lightweight,Male,Hybrid
David 'Tank' Abbott,David Abbott,Tank,6.0,265.0,Switch,10,15,0,False,1.11,0.22,8.67,0.56,0.22,41.0,0.5,0.45,0.28,0.0,0.32,0.35,0.38,0.22,0.06,Heavyweight,Male,Hybrid
Hamdy 'The Hammer' Abdelwahab,Hamdy Abdelwahab,The Hammer,6.2,264.0,Southpaw,6,1,0,False,3.0,0.33,62.67,1.33,0.0,151.67,0.49,0.41,0.78,0.91,0.45,0.22,0.49,0.0,0.0,Heavyweight,Male,Striker
Mansur 'No Nickname' Abdul-Malik,Mansur Abdul-Malik,No Nickname,6.2,185.0,Orthodox,8,0,1,False,2.0,0.33,27.67,0.33,0.0,43.0,0.48,0.46,0.74,0.33,0.34,0.54,0.62,0.0,0.0,Middleweight,Male,Hybrid
Shamil 'Abrek' Abdurakhimov,Shamil Abdurakhimov,Abrek,6.3,235.0,Orthodox,20,8,0,False,2.18,0.27,25.64,1.0,0.09,66.73,0.49,0.42,0.48,0.59,0.45,0.38,0.25,0.09,0.0,Heavyweight,Male,Hybrid
Daichi 'No Nickname' Abe,Daichi Abe,No Nickname,5.11,170.0,Orthodox,6,2,0,False,3.0,0.33,57.0,0.33,0.0,7.33,0.33,0.25,0.41,0.81,0.31,0.39,0.56,0.0,0.0,Welterweight,Male,Hybrid
Papy 'Makambo' Abedi,Papy Abedi,Makambo,5.11,185.0,Southpaw,10,4,0,False,2.0,0.0,26.75,1.75,1.0,201.75,0.52,0.42,0.82,0.68,0.41,0.57,0.61,0.75,0.0,Welterweight,Male,Striker
Ricardo 'Demente' Abreu,Ricardo Abreu,Demente,5.11,185.0,Orthodox,5,1,0,False,2.5,1.0,50.0,0.0,0.5,130.0,0.32,0.29,0.71,0.75,0.26,0.58,0.38,0.5,0.0,Middleweight,Male,Hybrid
Klidson 'White Bear' Abreu,Klidson Abreu,White Bear,6.0,205.0,Orthodox,15,4,0,False,2.5,0.0,22.0,0.25,0.0,46.25,0.47,0.19,0.58,0.92,0.45,0.76,0.0,0.0,0.0,Light Heavyweight,Male,Hybrid
Scott 'No Nickname' Adams,Scott Adams,No Nickname,6.0,225.0,Southpaw,8,1,0,False,1.0,0.0,0.0,1.0,4.0,77.0,0.414,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,Heavyweight,Male,Wrestler
