Full Name,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Tom Aaron,No Nickname,,155.0,,Orthodox,5,3,0,False
Danny Abbadi,The Assassin,5.11,155.0,,Orthodox,4,6,0,False
Nariman Abbasov,Bayraktar,5.8,155.0,66.0,Orthodox,28,4,0,False
Darion Abbey,No Nickname,6.2,265.0,80.0,Orthodox,9,5,0,False
David Abbott,Tank,6.0,265.0,,Switch,10,15,0,False
Hamdy Abdelwahab,The Hammer,6.2,264.0,72.0,Southpaw,6,1,0,False
Mansur Abdul-Malik,No Nickname,6.2,185.0,80.0,Orthodox,8,0,1,False
Shamil Abdurakhimov,Abrek,6.3,235.0,76.0,Orthodox,20,8,0,False
Hiroyuki Abe,Abe Ani,5.6,145.0,,Orthodox,8,15,3,False
Daichi Abe,No Nickname,5.11,170.0,71.0,Orthodox,6,2,0,False
Papy Abedi,Makambo,5.11,185.0,,Southpaw,10,4,0,False
Ricardo Abreu,Demente,5.11,185.0,,Orthodox,5,1,0,False
Klidson Abreu,White Bear,6.0,205.0,74.0,Orthodox,15,4,0,False
Cyborg Abreu,No Nickname,,,,Orthodox,0,0,0,False
Daniel Acacio,No Nickname,5.8,180.0,,Orthodox,30,18,0,False
John Adajar,The Outlaw,5.9,170.0,75.0,Orthodox,6,2,0,False
Scott Adams,No Nickname,6.0,225.0,,Southpaw,8,1,0,False
Juan Adams,The Kraken,6.5,265.0,80.0,Orthodox,5,3,0,False
Anthony Adams,Sugafoot,6.1,185.0,76.0,Orthodox,8,2,0,False
Zarrukh Adashev,The Lion,5.5,125.0,65.0,Southpaw,4,4,0,False
Israel Adesanya,The Last Stylebender,6.4,185.0,80.0,Switch,24,5,0,False
Sam Adkins,The Experience,6.3,225.0,,Orthodox,7,20,2,False
Mohamed Ado,No Nickname,5.11,170.0,76.0,Switch,5,1,0,False
Nick Agallar,No Nickname,5.8,155.0,,Orthodox,24,6,0,False
Mariya Agapova,Money Mashka,5.6,125.0,68.0,Southpaw,10,5,0,False
Kantharaj Agasa,Kannadiga,,135.0,,Orthodox,12,3,0,False
Marcelo Aguiar,No Nickname,5.1,170.0,,Orthodox,2,3,1,False
Fabio Aguiar,No Nickname,6.0,185.0,,Orthodox,17,1,0,False
Edwin Aguilar,Tigre,5.1,185.0,,Orthodox,26,19,0,False
Jessica Aguilar,Jag,5.3,115.0,63.0,Orthodox,20,8,0,False
Kevin Aguilar,Angel of Death,5.7,155.0,73.0,Orthodox,17,5,0,False
Jesus Aguilar,No Nickname,5.4,125.0,62.0,Orthodox,12,3,0,False
Christian Aguilera,The Beast,5.9,170.0,72.0,Switch,14,8,0,False
Nick Aguirre,Slick,5.9,135.0,74.0,Southpaw,7,2,0,False
 Agulali,No Nickname,5.9,125.0,67.0,Switch,13,2,0,False
Ahejiang Ailinuer,No Nickname,,145.0,,Orthodox,15,3,0,False
Mike Aina,Iron,5.9,155.0,,Orthodox,14,6,1,False
Ashiek Ajim,Peak Physique,5.8,135.0,71.0,Switch,6,2,0,False
Hitomi Akano,Girlfight Monster,5.4,135.0,,Southpaw,18,10,0,False
Omari Akhmedov,Wolverine,6.0,185.0,73.0,Orthodox,21,6,1,False
Yoshihiro Akiyama,No Nickname,5.1,170.0,75.0,Orthodox,14,6,0,False
Rostem Akman,No Nickname,5.1,170.0,72.0,Switch,6,2,0,False
Razak Al-Hassan,No Nickname,6.2,205.0,,Orthodox,13,5,0,False
Abdul-Kareem Al-Selwady,Pride of Palestine,5.8,155.0,69.0,Orthodox,15,4,0,False
