First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Tom,Aaron,,--,155 lbs.,--,,5,3,0,False
Danny,Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6,0,False
Nariman,Abbasov,Bayraktar,"5' 8""",155 lbs.,"66.0""",Orthodox,28,4,0,False
Darion,Abbey,,"6' 2""",265 lbs.,"80.0""",Orthodox,9,5,0,False
David,Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,15,0,False
Hamdy,Abdelwahab,The Hammer,"6' 2""",264 lbs.,"72.0""",Southpaw,6,1,0,False
Mansur,Abdul-Malik,,"6' 2""",185 lbs.,"80.0""",Orthodox,8,0,1,False
Shamil,Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,8,0,False
Hiroyuki,Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,15,3,False
Daichi,Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0,False
Papy,Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,10,4,0,False
Ricardo,Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,5,1,0,False
Klidson,Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15,4,0,False
Cyborg,Abreu,,--,--,--,,0,0,0,False
Daniel,Acacio,,"5' 8""",180 lbs.,--,Orthodox,30,18,0,False
John,Adajar,The Outlaw,"5' 9""",170 lbs.,"75.0""",Orthodox,6,2,0,False
Scott,Adams,,"6' 0""",225 lbs.,--,Southpaw,8,1,0,False
Juan,Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5,3,0,False
Anthony,Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,8,2,0,False
Zarrukh,Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,4,4,0,False
Israel,Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,24,5,0,False
Sam,Adkins,The Experience,"6' 3""",225 lbs.,--,Orthodox,7,20,2,False
Mohamed,Ado,,"5' 11""",170 lbs.,"76.0""",Switch,5,1,0,False
Nick,Agallar,,"5' 8""",155 lbs.,--,Orthodox,24,6,0,False
Mariya,Agapova,Money Mashka,"5' 6""",125 lbs.,"68.0""",Southpaw,10,5,0,False
Kantharaj,Agasa,Kannadiga,--,135 lbs.,--,,12,3,0,False
Marcelo,Aguiar,,"5' 10""",170 lbs.,--,Orthodox,2,3,1,False
Fabio,Aguiar,,"6' 0""",185 lbs.,--,,17,1,0,False
Edwin,Aguilar,Tigre,"5' 10""",185 lbs.,--,,26,19,0,False
Jessica,Aguilar,Jag,"5' 3""",115 lbs.,"63.0""",Orthodox,20,8,0,False
Kevin,Aguilar,Angel of Death,"5' 7""",155 lbs.,"73.0""",Orthodox,17,5,0,False
Jesus,Aguilar,,"5' 4""",125 lbs.,"62.0""",Orthodox,12,3,0,False
Christian,Aguilera,The Beast,"5' 9""",170 lbs.,"72.0""",Switch,14,8,0,False
Nick,Aguirre,Slick,"5' 9""",135 lbs.,"74.0""",Southpaw,7,2,0,False
,Agulali,,"5' 9""",125 lbs.,"67.0""",Switch,13,2,0,False
Ahejiang,Ailinuer,,--,145 lbs.,--,,15,3,0,False
Mike,Aina,Iron,"5' 9""",155 lbs.,--,Orthodox,14,6,1,False
Ashiek,Ajim,Peak Physique,"5' 8""",135 lbs.,"71.0""",Switch,6,2,0,False
Hitomi,Akano,Girlfight Monster,"5' 4""",135 lbs.,--,Southpaw,18,10,0,False
Omari,Akhmedov,Wolverine,"6' 0""",185 lbs.,"73.0""",Orthodox,21,6,1,False
Yoshihiro,Akiyama,,"5' 10""",170 lbs.,"75.0""",Orthodox,14,6,0,False
Rostem,Akman,,"5' 10""",170 lbs.,"72.0""",Switch,6,2,0,False
Razak,Al-Hassan,,"6' 2""",205 lbs.,--,Orthodox,13,5,0,False
Abdul-Kareem,Al-Selwady,Pride of Palestine,"5' 8""",155 lbs.,"69.0""",Orthodox,15,4,0,False
Mostapha,Al-Turk,,"6' 2""",245 lbs.,"77.0""",Orthodox,6,6,0,False
