Fight_Id,Win/No Contest/Draw,Fighter_1,Fighter_2,KD_1,KD_2,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,Weight_Class,Method,Round,Fight_Time,Event_Id
de1a3734be60e6a1,win,Diego Lopes,Jean Silva,1,0,74,43,3,0,0,0,Featherweight,KO/TKO Punches,2,4:48,5efaaf313b652dd7
944b929130b23c2a,win,David Martinez,Rob Font,0,0,62,49,0,0,0,0,Bantamweight,U-DEC,3,5:00,5efaaf313b652dd7
7cbfeba85f86d1bf,win,Rafa Garcia,Jared Gordon,1,0,91,65,2,1,2,0,Lightweight,KO/TKO Elbows,3,2:27,5efaaf313b652dd7
114d2f6fcd3f6f00,win,Kelvin Gastelum,Dustin Stoltzfus,1,0,57,64,0,1,0,0,Middleweight,U-DEC,3,5:00,5efaaf313b652dd7
202c47db69768356,win,Alexander Hernandez,Diego Ferreira,1,0,30,23,0,0,0,0,Lightweight,KO/TKO Punches,2,3:46,5efaaf313b652dd7
8a884a7930d75ca9,win,Santiago Luna,Quang Le,2,0,15,12,0,0,0,0,Bantamweight,KO/TKO Punch,1,2:48,5efaaf313b652dd7
07a378b257aad5a9,win,Dusko Todorovic,Jose Daniel Medina,0,0,16,9,2,0,1,0,Middleweight,SUB Rear Naked Choke,1,4:21,5efaaf313b652dd7
352839a03b428e74,win,Joaquim Silva,Claudio Puelles,1,0,25,21,0,4,1,0,Lightweight,S-DEC,3,5:00,5efaaf313b652dd7
9474f64347aade7a,win,Tatiana Suarez,Amanda Lemos,0,0,20,23,3,0,0,1,Women's Strawweight,U-DEC,3,5:00,5efaaf313b652dd7
3dc1a6335d890650,win,Jesus Aguilar,Luis Gurule,0,0,85,65,1,0,0,0,Flyweight,U-DEC,3,5:00,5efaaf313b652dd7
d822ebc7dbc6c259,ncnc,Zachary Reese,Sedriques Dumas,0,0,2,3,0,0,0,0,Middleweight,CNC,1,0:51,5efaaf313b652dd7
a1e193425e716b42,win,Alden Coria,Alessandro Costa,0,0,42,12,2,1,0,2,Flyweight,KO/TKO Punches,3,0:47,5efaaf313b652dd7
c4a6174b0698652e,win,Montse Rendon,Alice Pereira,0,0,45,37,0,0,1,0,Women's Bantamweight,S-DEC,3,5:00,5efaaf313b652dd7
3dd2fde7bff79c51,win,Daniil Donchenko,Rodrigo Sezinando,1,0,39,10,1,1,0,0,Welterweight,KO/TKO Punches,1,4:27,5efaaf313b652dd7
5bcd8abf6da01dae,win,Nassourdine Imavov,Caio Borralho,0,0,81,66,0,0,0,0,Middleweight,U-DEC,5,5:00,6e380a4d73ab4f0e
d14fea43712707f0,win,Benoit Saint Denis,Mauricio Ruffy,0,0,17,5,3,0,1,0,Lightweight,SUB Rear Naked Choke,2,2:56,6e380a4d73ab4f0e
0149e875b31e57f8,win,Modestas Bukauskas,Paul Craig,0,0,22,6,0,0,0,0,Light Heavyweight,KO/TKO Elbow,1,5:00,6e380a4d73ab4f0e
69b31593175f77ec,win,Mason Jones,Bolaji Oki,1,1,57,38,2,0,1,0,Lightweight,KO/TKO Elbows,2,3:18,6e380a4d73ab4f0e
a47123ae6e048f11,win,Axel Sola,Rhys McKee,1,0,45,33,1,0,0,0,Welterweight,KO/TKO Punch,3,2:02,6e380a4d73ab4f0e
b53031bf4bd0a330,win,William Gomis,Robert Ruchala,0,0,49,34,2,2,0,0,Featherweight,U-DEC,3,5:00,6e380a4d73ab4f0e
4080b4310d82b42d,win,Oumar Sy,Brendson Ribeiro,0,0,17,5,2,0,0,0,Light Heavyweight,KO/TKO Punches,1,4:42,6e380a4d73ab4f0e
23dbe713c4294c66,win,Ante Delija,Marcin Tybura,1,0,13,4,0,0,0,0,Heavyweight,KO/TKO Punches,1,2:03,6e380a4d73ab4f0e
5cd2dd6075fadcce,win,Kaue Fernandes,Harry Hardwick,1,0,24,8,0,0,0,0,Lightweight,KO/TKO Kick,1,3:21,6e380a4d73ab4f0e
420211200a35c1d1,win,Sam Patterson,Trey Waters,0,0,25,18,0,0,0,0,Welterweight,KO/TKO Punches,1,3:01,6e380a4d73ab4f0e
b3253e2c2d111030,win,Robert Bryczek,Brad Tavares,1,0,68,42,1,1,0,0,Middleweight,KO/TKO Punches,3,1:43,6e380a4d73ab4f0e
d56a59a4c79cf515,win,Rinat Fakhretdinov,Andreas Gustafsson,0,0,23,5,0,0,0,0,Welterweight,KO/TKO Punches,1,0:54,6e380a4d73ab4f0e
a38010639e61885c,win,Sam Hughes,Shauna Bannon,0,0,21,13,2,0,1,0,Women's Strawweight,SUB Rear Naked Choke,2,1:58,6e380a4d73ab4f0e
