Borough Location,Sports Played,Sunday's Attendance,Saturday's Attendance,Attendance Sum
Queens,"Soccer, Basketball, ultimate Frisbee",25,37,62
Queens,Basketball,250,0,250
Queens,Soccer,590,0,590
Queens,Pillow Polo,550,670,1220
Queens,All sports,300,800,1100
Queens,All Sports,0,210,210
Queens,All Sports,0,210,210
Queens,Soccer,1450,0,1450
Queens,SoftBall,850,700,1550
Queens,Numerous Sports,0,395,395
Queens,"Basketball, Rugby, Soccer, Dodgeball, Pillo Polo, Ultimate Frisbee",0,575,575
Bronx,"Basketball, soccer, football, track,",0,27,27
Bronx,"Basketball, soccer, table tennis, football, track",0,20,20
Bronx,"Soccer, basketball, tennis, track, football, kickball",0,27,27
Bronx,"Soccer, Basketball, Kickball, Football, table tennis",0,15,15
Bronx,"Basketball, soccer, table tennis, football, kickball,",0,20,20
Bronx,"Basketball, Table tennis, soccer, football, kickball",0,12,12
Bronx,"Basketball, baseball, football, soccer, table tennis, track, group games",0,30,30
Queens,"Soccer, Rugby, softball, basketball, and Ultimate Frisbee",0,0,0
Brooklyn,Basketball,0,0,0
Brooklyn,Soccer,0,0,0
Brooklyn,Volleyball,0,0,0
Brooklyn,Field Games,0,0,0
Brooklyn,Softball,0,0,0
Brooklyn,Flag Football,0,0,0
Brooklyn,Kickball,0,0,0
Bronx,"Basketball, soccer, baseball, kickball, flag football, ping pong",0,47,47
Queens,"Basketball, Rugby, Baseball, dodgeball,",0,600,600
Brooklyn,Basketball,0,0,0
Brooklyn,Track,0,0,0
Brooklyn,Soccer,0,0,0
Brooklyn,Volleyball,0,0,0
Brooklyn,Field Games,0,0,0
Brooklyn,Basketball,0,0,0
Brooklyn,Kickball,0,0,0
Brooklyn,Soccer,0,0,0
Brooklyn,Softball,0,0,0
Brooklyn,Flag Football,0,0,0
Brooklyn,Basketball,0,0,0
Brooklyn,Track,0,0,0
Brooklyn,Free Play,0,0,0
Brooklyn,Field Games,0,0,0
Brooklyn,Family Zumba,0,0,0
Bronx,"Basketball,soccer, kickball, ping pong, flag football",0,20,20
Brooklyn,Field Games,0,0,0
Brooklyn,Soccer,0,0,0
Brooklyn,Basketball,0,0,0
Brooklyn,Kickball,0,0,0
Brooklyn,Basketball,0,0,0
Brooklyn,Track,0,0,0
Brooklyn,Soccer,0,0,0
Brooklyn,Field Games,0,0,0
Brooklyn,Softball,0,0,0
Queens,"Basketball, Rugby, soccer, ultimate frisbee, dodgeball",0,375,375
Bronx,"Soccer, Basketball, Kickball, Flag Football,",0,0,0
Brooklyn,Basketball,0,0,0
Brooklyn,Basketball,0,0,0
Brooklyn,Basketball,0,0,0
Brooklyn,Basketball,0,0,0
Brooklyn,Track,0,0,0
Brooklyn,Track,0,0,0
Brooklyn,Soccer,0,0,0
Brooklyn,Soccer,0,0,0
Brooklyn,Soccer,0,0,0
Brooklyn,Volleyball,0,0,0
Brooklyn,Volleyball,0,0,0
Brooklyn,Field Games,0,0,0
Brooklyn,Field Games,0,0,0
Brooklyn,Field Games,0,0,0
Brooklyn,Softball,0,0,0
Brooklyn,Rugby,0,0,0
Brooklyn,Family Zumba,0,0,0
Brooklyn,Kickball,0,0,0
Brooklyn,Kickball,0,0,0
Brooklyn,Softball,0,0,0
Brooklyn,Track,0,0,0
Brooklyn,Soccer,0,0,0
Brooklyn,Basketball,0,0,0
Queens,"Paddle Ball, Soccer, Ultimate Frisbee, Rugby, Softball",0,375,375
Brooklyn,Track,0,0,0
Brooklyn,Soccer,0,0,0
Brooklyn,Volleyball,0,0,0
Brooklyn,Field Games,0,0,0
Brooklyn,Basketball,0,0,0
Brooklyn,Soccer,0,0,0
Brooklyn,Softball,0,0,0
Brooklyn,Flag Football,0,0,0
Brooklyn,Kickball,0,0,0
Brooklyn,Basketball,0,0,0
Brooklyn,Track,0,0,0
Brooklyn,Soccer,0,0,0
Brooklyn,Softball,0,0,0
Brooklyn,Field Games,0,0,0
Bronx,"Basketball, soccer, flag football, kickball",0,55,55
Brooklyn,Flag Football,0,0,0
Brooklyn,Basketball,0,0,0
Brooklyn,Soccer,0,0,0
Brooklyn,Soccer,0,0,0
Brooklyn,Volleyball,0,0,0
Queens,"Basketball, paddleball, rugby, dodgeball, soccer",0,250,250
Brooklyn,Volleyball,0,0,0
Brooklyn,Soccer,0,0,0
Brooklyn,Field Games,0,0,0
Brooklyn,Track,0,0,0
Brooklyn,Basketball,0,0,0
Brooklyn,Track,0,0,0
Brooklyn,Flag Football,0,0,0
Brooklyn,Basketball,0,0,0
Brooklyn,Soccer,0,0,0
Brooklyn,Softball,0,0,0
Bronx,"Basketball, Soccer, Flag Football, Kickball, Group Games",0,0,0
Brooklyn,Softball,0,0,0
Brooklyn,Soccer,0,0,0
Brooklyn,Kickball,0,0,0
Brooklyn,Basketball,0,0,0
Staten Island,"Softball, Kickball, Wiffleball, Ultimate Frisbee",0,0,0
Staten Island,"Softball, Kickball, Wiffleball",0,0,0
Staten Island,"Softball, Kickball, Wiffleball, Basketball",0,287,287
Staten Island,Volleyball,0,0,0
Staten Island,Volleyball/Spikeball,0,0,0
Brooklyn,Flag Football,0,0,0
Brooklyn,Basketball,0,0,0
Brooklyn,Track,0,0,0
Brooklyn,Ultimate Frisbee,0,0,0
Brooklyn,Family Zumba,0,0,0
Brooklyn,Field Games,0,0,0
Brooklyn,Volleyball,0,0,0
Brooklyn,Basketball,0,0,0
Brooklyn,Kickball,0,0,0
Brooklyn,Soccer,0,0,0
Brooklyn,Softball,0,0,0
Brooklyn,Track,0,0,0
Brooklyn,Flag Football,0,0,0
Queens,"Basketball, Soccer, Dodgeball, Paddle ball,",0,310,310
Brooklyn,Field Games,0,0,0
Brooklyn,Track,0,0,0
Brooklyn,Soccer,0,0,0
Brooklyn,Volleyball,0,0,0
Bronx,"Basketball, Soccer, Flag Football, Kickball, Track",0,15,15
Manhattan,Dodgeball & Basketball,0,220,220
Manhattan,Football & Tag,0,150,150
Brooklyn,Basketball,0,0,0
Brooklyn,Track,0,0,0
Brooklyn,Field Games,0,0,0
Brooklyn,Ultimate Frisbee,0,0,0
Brooklyn,Family Zumba,0,0,0
Brooklyn,Kickball,0,0,0
Brooklyn,Flag Football,0,0,0
Brooklyn,Field Games,0,0,0
Brooklyn,Basketball,0,0,0
Brooklyn,Kickball,0,0,0
Brooklyn,Soccer,0,0,0
