Year;Country;Country Abbreviation;Percentage of Workforce Working Remotely;Average Urban Housing Price Index;Urban Population Growth Rate (%);Rural Population Growth Rate (%);Public Transport Ridership Change (%);Internet Infrastructure Investment (Million USD);Environmental Impact Score (1-100)
2009;China;CN;14.58338727;196.2923156;3.894233061;0.637933129;1.327936532;532.4148108;77.53262915
2011;United States;US;44.48624061;175.9826307;2.604917132;0.7486386;-5.455835431;608.2065776;74.96287093
2021;China;CN;32.99390151;144.4369307;0.520954852;1.681321893;8.31159204;558.8737694;64.55881225
2014;Germany;DE;8.817697134;120.1092669;-1.578128268;0.186819318;-4.817692124;402.5572915;70.03078597
2007;China;CN;32.91392981;122.0150311;4.489006775;1.537964259;-29.05620141;900.8910387;62.71897189
2016;United States;US;38.77766382;156.0173864;4.095274152;0.196098473;-13.71574043;603.779754;71.70379253
2018;China;CN;28.12952701;177.899975;-1.746877336;0.780860573;-0.102223736;290.6087643;67.68045024
2020;China;CN;22.8444252;106.8581138;-0.158212011;2.012196936;-27.68622202;737.2714792;49.06086504
2016;Germany;DE;21.84218581;92.79179038;0.461358811;2.419210852;-0.054190635;605.2264643;70.91085679
2008;China;CN;36.68358956;86.94112119;1.779699912;0.91593203;5.942424187;244.1005642;51.85430454
2009;Germany;DE;36.54361092;111.4716853;-1.947059875;2.007067012;1.013846016;635.9444275;51.24199001
2022;United States;US;20.33615931;100.6015143;0.289232131;1.597262047;-27.10734099;229.1135755;43.75106105
2007;United States;US;17.68346486;96.81358109;2.612198292;0.846561224;0.756911284;947.4994458;47.00492561
2012;Germany;DE;36.78090022;139.5639497;-0.295623924;1.952920401;-18.62903628;545.376573;72.05783105
2019;China;CN;40.26438557;106.9328686;0.121898492;2.721585092;-11.04760686;59.47983783;58.31715978
2021;Germany;DE;38.90201834;132.1792806;0.151029754;0.775862505;-18.95321769;683.1398952;55.49290072
2021;United States;US;39.93858323;143.0828219;0.828982252;0.417736113;7.907521039;847.8115263;54.04877549
2008;United States;US;10.31741724;184.2161571;0.75705084;0.785117051;-3.658379373;749.7084669;66.91058458
2009;United States;US;36.35317244;138.4917438;2.558630839;0.740936397;0.644637312;888.8441336;48.82017054
2007;Germany;DE;9.550520426;105.7928454;-1.872371921;2.837094441;-9.193204308;567.0412678;44.46372
2014;United States;US;17.69155577;112.2412831;4.84021929;1.349219527;-26.89402661;437.7441063;40.02613563
2017;China;CN;20.67149602;98.46750876;2.961212884;1.99495471;-10.63691721;704.2000478;42.11061031
2023;Germany;DE;8.757532251;178.2922781;1.774128937;0.990645195;;481.6281519;40.76621942
2020;Germany;DE;49.37004787;162.6082876;-0.005889686;0.604091346;-28.12592366;900.5787847;77.16578869
2014;China;CN;22.65098203;127.5490423;-1.106005615;2.613613447;-27.37220564;500.5422699;57.24935479
2006;Germany;DE;32.81981285;167.9086517;4.688665872;0.49732362;-7.899961304;936.0749827;68.98393147
2015;United States;US;12.98477947;144.9961058;0.848355725;2.330131671;-13.69827876;64.62514711;74.82676137
2019;United States;US;23.56779546;180.1916284;3.169144465;0.18795961;-25.56007605;959.7019643;46.0819427
2010;Germany;DE;8.274335286;151.4093517;2.532322999;1.386886683;-19.14362478;755.737419;46.93984201
2017;United States;US;41.30756327;110.9465223;3.476698388;1.462713581;-27.35960623;290.4464622;65.0931574
2023;China;CN;47.72842806;149.6103449;4.558704761;1.341166631;1.407581726;830.3189448;63.10527017
2006;United States;US;41.65108172;171.6326953;-0.490273933;0.171164163;0.13711689;197.087182;71.83705549
2010;China;CN;11.1367164;186.0543062;1.646705841;0.099568064;1.215044943;448.3080781;72.74960918
2021;United States;US;39.93858323;143.0828219;0.828982252;0.417736113;7.907521039;847.8115263;54.04877549
2012;China;CN;20.77644015;199.3889387;-1.376128975;1.959488372;-14.07978828;803.1202079;50.38683356
2020;United States;US;21.74081386;198.1282617;4.149608929;2.71931236;2.3294084;429.0835518;58.33294378
2013;Germany;DE;8.660695129;151.6211419;4.489241814;1.636295608;-24.64686548;115.0357834;55.68374308
