date,semester_break,school_holiday,public_holiday
2018-01-01,0,1,1
2018-01-02,0,1,0
2018-01-03,0,1,0
2018-01-04,0,1,0
2018-01-05,0,1,0
2018-01-06,0,0,1
2018-02-10,1,0,0
2018-02-11,1,0,0
2018-02-12,1,0,0
2018-02-13,1,0,0
2018-02-14,1,0,0
2018-02-15,1,0,0
2018-02-16,1,0,0
2018-02-17,1,0,0
2018-02-18,1,0,0
2018-02-19,1,0,0
2018-02-20,1,0,0
2018-02-21,1,0,0
2018-02-22,1,0,0
2018-02-23,1,0,0
2018-02-24,1,0,0
2018-02-25,1,0,0
2018-02-26,1,0,0
2018-02-27,1,0,0
2018-02-28,1,0,0
2018-03-01,1,0,0
2018-03-02,1,0,0
2018-03-03,1,0,0
2018-03-04,1,0,0
2018-03-05,1,0,0
2018-03-06,1,0,0
2018-03-07,1,0,0
2018-03-08,1,0,0
2018-03-09,1,0,0
2018-03-10,1,0,0
2018-03-11,1,0,0
2018-03-12,1,0,0
2018-03-13,1,0,0
2018-03-14,1,0,0
2018-03-15,1,0,0
2018-03-16,1,0,0
2018-03-17,1,0,0
2018-03-18,1,0,0
2018-03-19,1,0,0
2018-03-20,1,0,0
2018-03-21,1,0,0
2018-03-22,1,0,0
2018-03-23,1,0,0
2018-03-24,1,0,0
2018-03-25,1,0,0
2018-03-26,1,1,0
2018-03-27,1,1,0
2018-03-28,1,1,0
2018-03-29,1,1,0
2018-03-30,1,1,1
2018-03-31,1,1,0
2018-04-01,1,1,0
2018-04-02,1,1,1
2018-04-03,1,1,0
2018-04-04,1,1,0
2018-04-05,1,1,0
2018-04-06,1,1,0
2018-04-07,1,0,0
2018-04-08,1,0,0
2018-04-09,1,0,0
2018-04-10,1,0,0
2018-04-11,1,0,0
2018-04-12,1,0,0
2018-04-13,1,0,0
2018-04-14,1,0,0
2018-04-15,1,0,0
2018-04-16,1,0,0
2018-05-01,0,0,1
2018-05-10,0,0,1
2018-05-21,0,0,1
2018-05-22,0,1,0
2018-05-23,0,1,0
2018-05-24,0,1,0
2018-05-25,0,1,0
2018-05-26,0,1,0
2018-05-27,0,1,0
2018-05-28,0,1,0
2018-05-29,0,1,0
2018-05-30,0,1,0
2018-05-31,0,1,1
2018-06-01,0,1,0
2018-06-02,0,1,0
2018-07-26,0,1,0
2018-07-27,0,1,0
2018-07-28,1,1,0
2018-07-29,1,1,0
2018-07-30,1,1,0
2018-07-31,1,1,0
2018-08-01,1,1,0
2018-08-02,1,1,0
2018-08-03,1,1,0
2018-08-04,1,1,0
2018-08-05,1,1,0
2018-08-06,1,1,0
2018-08-07,1,1,0
2018-08-08,1,1,0
2018-08-09,1,1,0
2018-08-10,1,1,0
2018-08-11,1,1,0
2018-08-12,1,1,0
2018-08-13,1,1,0
2018-08-14,1,1,0
2018-08-15,1,1,0
2018-08-16,1,1,0
2018-08-17,1,1,0
2018-08-18,1,1,0
2018-08-19,1,1,0
2018-08-20,1,1,0
2018-08-21,1,1,0
2018-08-22,1,1,0
2018-08-23,1,1,0
2018-08-24,1,1,0
2018-08-25,1,1,0
2018-08-26,1,1,0
2018-08-27,1,1,0
2018-08-28,1,1,0
2018-08-29,1,1,0
2018-08-30,1,1,0
2018-08-31,1,1,0
2018-09-01,1,1,0
2018-09-02,1,1,0
2018-09-03,1,1,0
2018-09-04,1,1,0
2018-09-05,1,1,0
2018-09-06,1,1,0
2018-09-07,1,1,0
2018-09-08,1,1,0
2018-09-09,1,0,0
2018-09-10,1,0,0
2018-09-11,1,0,0
2018-09-12,1,0,0
2018-09-13,1,0,0
2018-09-14,1,0,0
2018-09-15,1,0,0
2018-09-16,1,0,0
2018-09-17,1,0,0
2018-09-18,1,0,0
2018-09-19,1,0,0
2018-09-20,1,0,0
2018-09-21,1,0,0
2018-09-22,1,0,0
2018-09-23,1,0,0
2018-09-24,1,0,0
2018-09-25,1,0,0
2018-09-26,1,0,0
2018-09-27,1,0,0
2018-09-28,1,0,0
