Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Accuracy
1,1,1,2,2.114,2.006,1
1,1,1,5,1.243,1.94,1
1,1,2,1,3.063,2.298,0
1,1,1,6,1.742,1.421,1
1,2,1,2,3.131,1.339,0
1,2,2,6,2.202,1.025,1
1,1,1,5,2.256,1.131,1
1,2,2,6,2.376,0.818,1
1,1,1,6,1.965,1.278,1
1,2,2,5,1.975,0.918,1
1,2,2,3,2.84,1.169,1
1,1,1,6,2.011,1.081,1
1,2,2,5,1.937,1.084,1
1,2,2,5,1.917,1.368,1
1,1,1,4,2.332,1.371,1
1,2,1,1,2.88,1.485,0
1,2,1,1,3.039,2.179,0
1,1,1,6,1.6,0.949,1
1,2,2,5,2.009,1.258,1
1,1,1,2,3.39,1.934,1
1,1,1,2,3.471,1.814,1
1,1,1,6,1.54,0.778,1
1,2,2,6,1.881,0.83,1
1,1,1,4,2.943,1.148,1
1,2,2,6,1.736,0.738,1
1,1,1,4,3.145,1.652,1
1,1,1,5,2.063,0.914,1
1,2,2,1,3.794,0.969,1
1,1,1,5,1.506,1.7,1
1,2,2,4,2.003,0.957,1
1,1,1,5,2.966,1.143,1
1,2,2,4,3.674,1.12,1
1,1,1,6,1.362,0.791,1
1,1,1,3,1.617,0.916,1
1,1,1,5,1.628,0.919,1
1,1,1,5,2.609,1.719,1
1,2,2,4,1.881,1.669,1
1,2,2,6,1.838,0.809,1
1,1,1,6,1.601,0.747,1
1,2,2,6,1.878,0.731,1
1,1,1,4,3.22,0.88,1
1,1,1,6,1.679,0.806,1
1,1,2,3,5.566,1.208,0
1,2,2,4,4.742,1.059,1
1,2,2,6,2.22,0.801,1
1,2,2,6,1.941,0.91,1
1,1,1,5,1.92,1.157,1
1,2,2,5,5.196,0.997,1
1,2,2,2,3.508,1.789,1
1,1,1,5,2.208,0.804,1
1,1,1,6,1.561,0.757,1
1,2,2,1,6.067,0.862,1
1,2,2,3,4.104,2.716,1
1,1,2,1,3.549,1.206,0
1,1,1,6,1.202,0.743,1
1,2,1,3,2.995,1.244,0
1,1,2,2,5.368,1.432,0
1,2,2,4,2.657,0.821,1
1,2,2,3,4.499,0.819,1
1,1,1,5,2.04,0.788,1
1,2,2,2,3.403,1.306,1
1,2,2,6,2.569,0.801,1
1,1,1,2,3.198,0.821,1
1,1,1,5,3.65,0.708,1
1,2,2,5,3.853,0.908,1
1,1,1,6,1.275,0.82,1
1,2,2,1,2.773,0.91,1
1,1,1,6,1.483,0.785,1
1,2,2,6,1.753,1.116,1
