Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Accuracy,Feedback,Study
1,2,1,0.6,1.789951,1.249156,1,0,1,1
1,1,1,0.85,1.296789,2.289089,1,1,1,1
1,2,2,0.95,1.086871,2.472419,1,1,1,1
1,2,1,0.9,1.149476,2.241316,1,0,1,1
1,2,1,0.65,1.266833,1.845008,1,0,1,1
1,2,2,0.55,2.328348,1.543973,1,1,1,1
1,1,1,0.9,1.083833,3.373079,1,1,1,1
1,2,2,1,1.025421,1.107072,1,1,1,1
1,2,1,0.65,2.153323,1.1511,1,0,1,1
1,1,2,0.6,1.234056,1.413382,1,0,1,1
1,1,1,1,1.118082,1.022962,1,1,1,1
1,1,1,0.75,1.088338,2.281295,1,1,1,1
1,2,1,0.65,1.914162,5.073022,1,0,1,1
1,2,2,0.65,1.099248,1.482042,1,1,1,1
1,2,2,0.7,1.062553,2.220413,1,1,1,1
1,1,1,0.65,1.017842,1.292521,1,1,1,1
1,2,2,1,0.9247518,0.9174481,1,1,1,1
1,2,1,0.6,1.047635,1.234172,1,0,1,1
1,1,1,0.75,1.410382,1.475962,1,1,1,1
1,1,1,0.95,0.8891112,2.178666,1,1,1,1
1,2,1,0.6,2.450231,0.9140015,1,0,1,1
1,1,1,0.95,0.9910014,2.156168,1,1,1,1
1,1,1,0.55,2.108814,1.667327,1,1,1,1
1,2,2,0.95,0.9933524,2.235036,1,1,1,1
1,1,1,1,1.089111,2.266129,1,1,1,1
1,2,2,1,0.9651477,0.8893195,1,1,1,1
1,2,2,0.8,1.396556,2.4654,1,1,1,1
1,2,2,0.9,1.09172,3.24263,1,1,1,1
1,1,1,0.8,1.1542,2.922038,1,1,1,1
1,1,2,0.6,3.159028,1.634941,1,0,1,1
1,1,2,0.55,1.369234,1.974949,1,0,1,1
1,2,1,0.55,1.39329,2.334983,1,0,1,1
1,1,1,0.65,1.223154,1.42401,1,1,1,1
1,1,1,0.55,2.537458,0.816345,1,1,1,1
