Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Condition
1,1,1,22,1.176,2.576,53,Baseline
1,2,2,34,1.094,0.784,53,Baseline
1,2,2,43,0.937,1.256,50,Baseline
1,1,2,34,1.097,1.119,50,Baseline
1,2,2,43,0.917,3.195,53,Baseline
1,2,2,42,1.148,1.33,53,Baseline
1,2,2,49,1.222,0.92,50,Baseline
1,2,2,55,0.868,2.511,50,Baseline
1,2,2,57,0.842,1.466,47,Baseline
1,2,2,52,0.933,2.751,47,Baseline
1,2,2,33,0.762,2.552,44,Baseline
1,2,1,23,1.172,1.359,44,Baseline
1,2,2,42,0.91,1.324,47,Baseline
1,1,2,34,1.306,2.197,47,Baseline
1,1,NaN,NaN,NaN,NaN,50,Baseline
1,2,2,45,1.075,1.47,53,Baseline
1,2,1,35,1.482,0.556,53,Baseline
1,1,1,57,0.832,0.771,56,Baseline
1,1,1,54,0.772,3.425,56,Baseline
1,1,2,38,1.527,0.551,53,Baseline
1,2,2,45,0.948,2.085,56,Baseline
1,1,1,38,1.937,1.666,56,Baseline
1,2,2,42,0.854,1.785,53,Baseline
1,2,2,62,1.025,1.307,53,Baseline
1,1,1,62,0.732,2.756,50,Baseline
1,2,2,74,1.042,1.14,50,Baseline
1,1,1,36,1.027,0.82,47,Baseline
1,1,2,33,1.012,1.757,47,Baseline
1,1,1,31,1.367,0.703,50,Baseline
1,2,2,29,1.203,1.676,50,Baseline
1,1,1,38,1.334,0.205,47,Baseline
1,2,2,54,0.933,1.346,47,Baseline
1,2,2,44,0.737,2.497,44,Baseline
1,1,2,43,0.977,1.96,44,Baseline
1,2,1,33,1.292,1.547,47,Baseline
1,1,1,32,1.102,1.135,50,Baseline
1,1,2,33,1.085,0.981,50,Baseline
1,1,2,45,1.202,1.181,53,Baseline
1,1,1,42,1.027,0.876,56,Baseline
1,2,2,77,0.979,0.759,56,Baseline
1,1,1,23,1.352,1.136,53,Baseline
