participant,sex,age_range,do_you_have_a_mobile_phone,is_this_mobile_phone_yours_or_do_you_share_it,age_group,age_sex_group,mobile_phone_ownership,platform_for_health,platform_for_hisb,platform_for_health_topic,computer_searching,computer_socializing,computer_entertainment,computer_studying,computer_others,mobile_searching,mobile_socializing,mobile_entertainment,mobile_studying,mobile_others,hisb_rate
1,M,Lower than or equal 15,0,,<=15,<=15 M,0,,none,none,0,0,1,0,0,0,0,0,0,0,0
2,F,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 F,2,social media,search engine,none,0,0,2,1,0,0,1,2,1,0,1
3,F,Lower than or equal 15,1,Shared,<=15,<=15 F,1,,none,none,0,0,0,1,1,0,0,2,1,1,0
4,F,Lower than or equal 15,1,Not shared,<=15,<=15 F,2,,none,none,0,0,1,0,0,0,0,1,0,0,0
5,F,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 F,2,,none,none,0,1,0,0,0,0,1,0,0,0,0
6,M,Between 16 and 17 inclusive,1,Shared,16-17,16-17 M,1,,none,none,1,0,0,0,0,0,0,1,0,0,0
7,F,Greater than or equal to 18,1,Not shared,>=18,>=18 F,2,social media,none,none,0,0,1,0,0,0,0,1,0,0,0
8,F,Lower than or equal 15,1,Not shared,<=15,<=15 F,2,,none,none,0,0,1,0,0,0,0,1,0,0,0
9,F,Lower than or equal 15,1,Not shared,<=15,<=15 F,2,social media,search engine,none,0,0,1,0,0,0,0,1,0,0,1
10,F,Lower than or equal 15,1,Not shared,<=15,<=15 F,2,,none,none,0,0,0,0,1,0,1,2,1,0,0
11,F,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 F,2,social media,search engine,none,0,0,1,0,0,0,0,1,0,0,1
12,M,Lower than or equal 15,0,,<=15,<=15 M,0,,none,none,0,0,1,0,0,0,0,0,0,0,0
13,M,Between 16 and 17 inclusive,0,,16-17,16-17 M,0,,none,none,0,0,1,0,0,0,0,0,0,0,0
14,M,Lower than or equal 15,1,Not shared,<=15,<=15 M,2,,none,none,0,0,1,0,0,0,0,1,0,0,0
15,F,Lower than or equal 15,1,Not shared,<=15,<=15 F,2,social media,search engine,none,0,0,2,1,0,0,1,2,1,0,1
16,M,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 M,2,,none,none,0,0,0,0,0,0,0,1,0,0,0
17,F,Lower than or equal 15,1,Not shared,<=15,<=15 F,2,social media,search engine,none,0,0,2,1,0,0,0,2,1,0,1
18,M,Lower than or equal 15,1,Not shared,<=15,<=15 M,2,,none,none,0,0,0,1,0,0,0,1,0,0,0
19,F,Between 16 and 17 inclusive,0,,16-17,16-17 F,0,social media,search engine,none,0,1,0,0,0,0,0,0,0,0,1
20,M,Lower than or equal 15,1,Shared,<=15,<=15 M,1,,none,none,0,0,2,1,0,0,0,2,1,0,0
21,M,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 M,2,,none,none,1,0,0,1,0,1,0,0,1,0,0
22,M,Between 16 and 17 inclusive,1,Shared,16-17,16-17 M,1,,none,none,0,0,1,0,0,0,0,1,0,0,0
23,F,Lower than or equal 15,1,Not shared,<=15,<=15 F,2,social media,search engine,none,0,1,0,0,0,0,1,0,0,0,1
24,M,Greater than or equal to 18,1,Not shared,>=18,>=18 M,2,,none,none,0,0,1,0,0,0,0,0,1,0,0
25,F,Lower than or equal 15,1,Not shared,<=15,<=15 F,2,,none,none,0,1,0,0,0,0,1,0,0,0,0
26,F,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 F,2,,none,none,0,0,1,0,0,0,0,1,0,0,0
27,M,Lower than or equal 15,1,Not shared,<=15,<=15 M,2,,none,none,0,0,1,1,0,0,0,0,1,0,0
28,M,Between 16 and 17 inclusive,0,,16-17,16-17 M,0,,none,none,0,0,0,1,0,0,0,0,0,0,0
29,M,,1,Shared,,NA M,1,,none,none,0,0,2,1,0,0,0,2,1,0,0
30,M,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 M,2,,none,none,1,0,3,1,1,0,0,3,0,0,0
31,M,,0,,,NA M,0,social media,unclear,none,0,0,1,0,0,0,0,0,0,0,0
32,F,Between 16 and 17 inclusive,0,,16-17,16-17 F,0,,none,none,1,0,0,0,0,0,0,0,0,0,0
33,F,Lower than or equal 15,1,Not shared,<=15,<=15 F,2,,none,none,0,0,2,0,1,0,1,2,1,1,0
34,F,Lower than or equal 15,0,,<=15,<=15 F,0,,none,none,0,0,0,1,0,0,0,0,0,0,0
35,F,Lower than or equal 15,0,,<=15,<=15 F,0,,none,none,0,0,1,1,0,0,0,0,0,0,0
36,M,Lower than or equal 15,1,Shared,<=15,<=15 M,1,social media,social media,app,0,0,0,0,1,0,0,0,1,0,1
37,F,Lower than or equal 15,1,Shared,<=15,<=15 F,1,,none,none,0,0,1,1,0,1,0,0,1,0,0
38,M,Greater than or equal to 18,1,Not shared,>=18,>=18 M,2,,none,none,0,0,1,0,0,0,0,1,0,0,0
39,M,Greater than or equal to 18,1,Not shared,>=18,>=18 M,2,,none,none,0,0,2,0,0,0,0,2,0,0,0
40,M,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 M,2,,none,none,0,0,1,0,0,0,0,1,0,0,0
41,F,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 F,2,,none,none,1,0,2,1,0,0,0,1,0,0,0
42,M,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 M,2,search engine,search engine,search engine,0,0,1,0,0,0,0,1,0,0,1
43,M,Lower than or equal 15,1,Not shared,<=15,<=15 M,2,,none,none,0,0,1,0,0,0,0,1,0,0,0
44,F,Greater than or equal to 18,1,Not shared,>=18,>=18 F,2,social media,none,none,1,0,0,1,0,1,0,0,1,0,0
45,M,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 M,2,,none,none,0,0,3,0,0,0,0,1,0,0,0
46,M,Lower than or equal 15,1,Shared,<=15,<=15 M,1,unclear,unclear,unclear,0,0,1,0,0,0,1,0,0,0,0
47,F,Greater than or equal to 18,0,,>=18,>=18 F,0,social media,social media,social media,0,0,1,0,0,0,0,0,0,0,1
48,F,Between 16 and 17 inclusive,0,,16-17,16-17 F,0,,none,none,0,0,1,1,1,0,0,0,0,0,0
49,M,Between 16 and 17 inclusive,1,Shared,16-17,16-17 M,1,,none,none,0,0,1,0,0,0,0,1,0,0,0
50,M,Lower than or equal 15,1,Not shared,<=15,<=15 M,2,social media,social media,none,0,0,2,0,0,0,0,2,0,0,1
51,F,Lower than or equal 15,1,Not shared,<=15,<=15 F,2,,none,none,0,0,0,1,0,0,0,0,1,0,0
52,F,Between 16 and 17 inclusive,0,,16-17,16-17 F,0,,none,none,0,0,0,1,0,0,0,0,0,0,0
53,F,Lower than or equal 15,0,,<=15,<=15 F,0,,none,none,0,0,1,1,0,0,0,0,0,0,0
54,F,Lower than or equal 15,0,,<=15,<=15 F,0,,none,none,0,0,1,1,0,0,0,0,0,0,0
55,F,Lower than or equal 15,0,,<=15,<=15 F,0,,none,none,0,0,0,1,0,0,0,0,0,0,0
56,F,Lower than or equal 15,1,Shared,<=15,<=15 F,1,,none,none,0,0,0,1,0,0,0,1,0,0,0
57,F,Lower than or equal 15,0,,<=15,<=15 F,0,,none,none,0,0,1,1,0,0,0,0,0,0,0
58,M,Between 16 and 17 inclusive,0,,16-17,16-17 M,0,,none,none,0,0,2,1,0,0,0,0,0,0,0
59,M,Greater than or equal to 18,1,Not shared,>=18,>=18 M,2,,none,none,0,1,2,0,0,0,0,2,0,0,0
60,F,Lower than or equal 15,1,Not shared,<=15,<=15 F,2,social media,search engine,social media,0,0,3,1,0,0,1,3,1,0,1
61,F,Lower than or equal 15,1,Not shared,<=15,<=15 F,2,social media,search engine,social media,0,0,2,1,0,0,1,1,1,0,1
62,M,Greater than or equal to 18,1,Not shared,>=18,>=18 M,2,social media,social media,social media,0,0,2,0,0,0,0,1,0,0,1
63,F,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 F,2,,none,none,0,0,0,1,0,0,0,0,1,0,0
64,F,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 F,2,search engine,none,none,0,0,2,1,0,0,1,2,1,0,0
65,M,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 M,2,,none,none,0,0,1,0,0,0,0,1,1,0,0
66,F,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 F,2,,none,none,0,0,0,1,0,0,0,0,1,0,0
67,F,Lower than or equal 15,1,Shared,<=15,<=15 F,1,social media,social media,social media,0,0,2,0,0,0,0,2,0,0,1
68,F,Between 16 and 17 inclusive,1,Shared,16-17,16-17 F,1,,none,none,0,1,2,1,1,0,1,2,1,1,0
69,M,Lower than or equal 15,1,Shared,<=15,<=15 M,1,,none,none,1,0,2,1,0,1,0,3,1,0,0
70,F,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 F,2,social media,social media,,0,0,1,0,0,0,0,1,0,0,1
71,F,Greater than or equal to 18,1,Not shared,>=18,>=18 F,2,,none,none,0,1,2,0,1,1,2,1,1,1,0
72,M,Between 16 and 17 inclusive,1,Shared,16-17,16-17 M,1,,none,none,0,0,3,1,0,0,0,0,0,0,0
73,F,Greater than or equal to 18,1,Not shared,>=18,>=18 F,2,,none,none,1,0,0,0,0,1,0,2,0,0,0
74,F,Between 16 and 17 inclusive,0,,16-17,16-17 F,0,,none,none,0,0,2,0,0,0,0,0,0,0,0
75,F,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 F,2,,none,none,0,0,1,0,0,0,0,1,0,0,0
76,F,Between 16 and 17 inclusive,0,,16-17,16-17 F,0,,none,none,0,0,3,1,0,0,0,0,0,0,0
77,M,Greater than or equal to 18,1,Not shared,>=18,>=18 M,2,social media,,social media,1,0,0,0,0,0,0,1,0,0,0
78,M,Between 16 and 17 inclusive,1,Shared,16-17,16-17 M,1,social media,search engine,app,0,0,2,1,0,1,0,1,0,0,1
79,M,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 M,2,,none,none,0,0,1,1,0,0,1,1,1,0,0
80,M,Between 16 and 17 inclusive,1,Not shared,16-17,16-17 M,2,,none,none,0,1,0,1,0,0,0,2,1,0,0
81,M,Lower than or equal 15,1,Not shared,<=15,<=15 M,2,,none,none,0,0,0,1,0,0,0,1,0,0,0
82,M,Greater than or equal to 18,1,Not shared,>=18,>=18 M,2,,none,none,0,0,2,1,0,0,1,2,0,0,0
