repo,date,commit_count
pytorch/pytorch,2019-01-01,3
pytorch/pytorch,2019-01-02,14
pytorch/pytorch,2019-01-03,17
pytorch/pytorch,2019-01-04,16
pytorch/pytorch,2019-01-05,3
pytorch/pytorch,2019-01-06,1
pytorch/pytorch,2019-01-07,16
pytorch/pytorch,2019-01-08,31
pytorch/pytorch,2019-01-09,22
pytorch/pytorch,2019-01-10,24
pytorch/pytorch,2019-01-11,32
pytorch/pytorch,2019-01-12,2
pytorch/pytorch,2019-01-13,5
pytorch/pytorch,2019-01-14,17
pytorch/pytorch,2019-01-15,21
pytorch/pytorch,2019-01-16,22
pytorch/pytorch,2019-01-17,36
pytorch/pytorch,2019-01-18,19
pytorch/pytorch,2019-01-19,4
pytorch/pytorch,2019-01-20,1
pytorch/pytorch,2019-01-21,6
pytorch/pytorch,2019-01-22,17
pytorch/pytorch,2019-01-23,18
pytorch/pytorch,2019-01-24,24
pytorch/pytorch,2019-01-25,17
pytorch/pytorch,2019-01-26,5
pytorch/pytorch,2019-01-27,6
pytorch/pytorch,2019-01-28,29
pytorch/pytorch,2019-01-29,19
pytorch/pytorch,2019-01-30,36
pytorch/pytorch,2019-01-31,30
pytorch/pytorch,2019-02-01,24
pytorch/pytorch,2019-02-02,5
pytorch/pytorch,2019-02-03,4
pytorch/pytorch,2019-02-04,16
pytorch/pytorch,2019-02-05,33
pytorch/pytorch,2019-02-06,28
pytorch/pytorch,2019-02-07,29
pytorch/pytorch,2019-02-08,13
pytorch/pytorch,2019-02-09,6
pytorch/pytorch,2019-02-10,14
pytorch/pytorch,2019-02-11,21
pytorch/pytorch,2019-02-12,32
pytorch/pytorch,2019-02-13,26
pytorch/pytorch,2019-02-14,23
pytorch/pytorch,2019-02-15,38
pytorch/pytorch,2019-02-16,2
pytorch/pytorch,2019-02-17,1
pytorch/pytorch,2019-02-19,27
pytorch/pytorch,2019-02-20,27
pytorch/pytorch,2019-02-21,26
pytorch/pytorch,2019-02-22,32
pytorch/pytorch,2019-02-23,7
pytorch/pytorch,2019-02-24,2
pytorch/pytorch,2019-02-25,20
pytorch/pytorch,2019-02-26,15
pytorch/pytorch,2019-02-27,15
pytorch/pytorch,2019-02-28,29
pytorch/pytorch,2019-03-01,21
pytorch/pytorch,2019-03-02,1
pytorch/pytorch,2019-03-03,3
pytorch/pytorch,2019-03-04,14
pytorch/pytorch,2019-03-05,8
pytorch/pytorch,2019-03-06,28
pytorch/pytorch,2019-03-07,18
pytorch/pytorch,2019-03-08,25
pytorch/pytorch,2019-03-09,4
pytorch/pytorch,2019-03-10,6
pytorch/pytorch,2019-03-11,22
pytorch/pytorch,2019-03-12,36
pytorch/pytorch,2019-03-13,15
pytorch/pytorch,2019-03-14,29
pytorch/pytorch,2019-03-15,20
pytorch/pytorch,2019-03-16,3
pytorch/pytorch,2019-03-17,4
pytorch/pytorch,2019-03-18,14
pytorch/pytorch,2019-03-19,19
pytorch/pytorch,2019-03-20,21
pytorch/pytorch,2019-03-21,23
pytorch/pytorch,2019-03-22,26
pytorch/pytorch,2019-03-23,5
pytorch/pytorch,2019-03-24,7
pytorch/pytorch,2019-03-25,23
pytorch/pytorch,2019-03-26,28
pytorch/pytorch,2019-03-27,19
pytorch/pytorch,2019-03-28,18
pytorch/pytorch,2019-03-29,29
pytorch/pytorch,2019-03-30,12
pytorch/pytorch,2019-03-31,8
pytorch/pytorch,2019-04-01,24
pytorch/pytorch,2019-04-02,31
pytorch/pytorch,2019-04-03,35
pytorch/pytorch,2019-04-04,26
pytorch/pytorch,2019-04-05,37
pytorch/pytorch,2019-04-06,9
pytorch/pytorch,2019-04-07,8
pytorch/pytorch,2019-04-08,23
pytorch/pytorch,2019-04-09,29
pytorch/pytorch,2019-04-10,20
pytorch/pytorch,2019-04-11,17
pytorch/pytorch,2019-04-12,13
pytorch/pytorch,2019-04-13,9
pytorch/pytorch,2019-04-15,12
pytorch/pytorch,2019-04-16,22
pytorch/pytorch,2019-04-17,24
pytorch/pytorch,2019-04-18,43
pytorch/pytorch,2019-04-19,37
pytorch/pytorch,2019-04-20,3
pytorch/pytorch,2019-04-21,15
pytorch/pytorch,2019-04-22,17
pytorch/pytorch,2019-04-23,39
pytorch/pytorch,2019-04-24,27
pytorch/pytorch,2019-04-25,28
pytorch/pytorch,2019-04-26,31
pytorch/pytorch,2019-04-27,7
pytorch/pytorch,2019-04-28,5
pytorch/pytorch,2019-04-29,17
pytorch/pytorch,2019-04-30,24
pytorch/pytorch,2019-05-01,15
pytorch/pytorch,2019-05-02,11
pytorch/pytorch,2019-05-03,9
pytorch/pytorch,2019-05-04,1
pytorch/pytorch,2019-05-05,3
pytorch/pytorch,2019-05-06,40
pytorch/pytorch,2019-05-07,23
pytorch/pytorch,2019-05-08,36
pytorch/pytorch,2019-05-09,27
pytorch/pytorch,2019-05-10,31
pytorch/pytorch,2019-05-11,2
pytorch/pytorch,2019-05-12,1
pytorch/pytorch,2019-05-13,20
pytorch/pytorch,2019-05-14,18
pytorch/pytorch,2019-05-15,33
pytorch/pytorch,2019-05-16,22
pytorch/pytorch,2019-05-17,34
pytorch/pytorch,2019-05-18,3
pytorch/pytorch,2019-05-19,3
pytorch/pytorch,2019-05-20,30
pytorch/pytorch,2019-05-21,32
pytorch/pytorch,2019-05-22,25
pytorch/pytorch,2019-05-23,29
pytorch/pytorch,2019-05-24,31
pytorch/pytorch,2019-05-25,3
pytorch/pytorch,2019-05-26,11
pytorch/pytorch,2019-05-27,10
pytorch/pytorch,2019-05-28,31
pytorch/pytorch,2019-05-29,47
pytorch/pytorch,2019-05-30,30
pytorch/pytorch,2019-05-31,39
pytorch/pytorch,2019-06-01,10
pytorch/pytorch,2019-06-02,4
pytorch/pytorch,2019-06-03,37
pytorch/pytorch,2019-06-04,35
pytorch/pytorch,2019-06-05,29
pytorch/pytorch,2019-06-06,48
pytorch/pytorch,2019-06-07,44
pytorch/pytorch,2019-06-08,9
pytorch/pytorch,2019-06-09,3
pytorch/pytorch,2019-06-10,36
pytorch/pytorch,2019-06-11,26
pytorch/pytorch,2019-06-12,32
pytorch/pytorch,2019-06-13,27
pytorch/pytorch,2019-06-14,28
pytorch/pytorch,2019-06-15,1
pytorch/pytorch,2019-06-16,5
pytorch/pytorch,2019-06-17,22
pytorch/pytorch,2019-06-18,26
pytorch/pytorch,2019-06-19,24
pytorch/pytorch,2019-06-20,23
pytorch/pytorch,2019-06-21,25
pytorch/pytorch,2019-06-22,4
pytorch/pytorch,2019-06-23,6
pytorch/pytorch,2019-06-24,29
pytorch/pytorch,2019-06-25,25
pytorch/pytorch,2019-06-26,27
pytorch/pytorch,2019-06-27,24
pytorch/pytorch,2019-06-28,10
pytorch/pytorch,2019-06-29,2
