pass score- sorted by score,"point won or lost (1=lost, 10=won)  data from university of tulsa 4 matches",,,,,,,,,,,,
0,1,,university of tulsa,,pass score,attempts,points won,points lost,side out pct on just that pass score,,,,
0,1,,4 match passing stats,,zeros,13,0,13,0.00%,,,,
0,1,,,,ones,30,16,14,53.33%,,,,
0,1,,,,twos,64,29,35,45.31%,,,,
0,1,,,,threes,190,141,49,74.21%,,,,
0,1,,,,Total Att.,297,186,111,62.63%,,,,
0,1,,,,,,,,,,,,
0,1,,,,,,,,,,,,
0,1,,,,,,,,,,,,
0,1,,,,,,,,,,,,
0,1,,,,,,,,,,,,
0,1,,I have requested similar data from the USA Sitting team to compare the two efficiencies based on quality of pass. ,,,,,,,,,,
0,1,,,,,,,,,,,,
