Schweizer Nährwertdatenbank – Generische Lebensmittel V6.5 (27.06.2023),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korrigierte Version vom 17.08.2023 (Korrektur: Nährstoff ""Zink"", Lebensmittel 13420 ""Bier, alkoholfrei"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,ID V 4.0,ID SwissFIR,Name,Synonyme,Kategorie,Dichte,Bezugseinheit,"Energie, Kilojoule (kJ)",Herleitung des Wertes,Quelle,"Energie, Kalorien (kcal)",Herleitung des Wertes,Quelle,"Fett, total (g)",Herleitung des Wertes,Quelle,"Fettsäuren, gesättigt (g)",Herleitung des Wertes,Quelle,"Fettsäuren, einfach ungesättigt (g)",Herleitung des Wertes,Quelle,"Fettsäuren, mehrfach ungesättigt (g)",Herleitung des Wertes,Quelle,Cholesterin (mg),Herleitung des Wertes,Quelle,"Kohlenhydrate, verfügbar (g)",Herleitung des Wertes,Quelle,Zucker (g),Herleitung des Wertes,Quelle,Stärke (g),Herleitung des Wertes,Quelle,Nahrungsfasern (g),Herleitung des Wertes,Quelle,Protein (g),Herleitung des Wertes,Quelle,Salz (NaCl) (g),Herleitung des Wertes,Quelle,Alkohol (g),Herleitung des Wertes,Quelle,Wasser (g),Herleitung des Wertes,Quelle,"Vitamin A-Aktivität, RE (µg-RE)",Herleitung des Wertes,Quelle,"Vitamin A-Aktivität, RAE (µg-RE)",Herleitung des Wertes,Quelle,Retinol (µg),Herleitung des Wertes,Quelle,Betacarotin-Aktivität (µg-BCE),Herleitung des Wertes,Quelle,Betacarotin (µg),Herleitung des Wertes,Quelle,Vitamin B1 (Thiamin) (mg),Herleitung des Wertes,Quelle,Vitamin B2 (Riboflavin) (mg),Herleitung des Wertes,Quelle,Vitamin B6 (Pyridoxin) (mg),Herleitung des Wertes,Quelle,Vitamin B12 (Cobalamin) (µg),Herleitung des Wertes,Quelle,Niacin (mg),Herleitung des Wertes,Quelle,Folat (µg),Herleitung des Wertes,Quelle,Pantothensäure (mg),Herleitung des Wertes,Quelle,Vitamin C (Ascorbinsäure) (mg),Herleitung des Wertes,Quelle,Vitamin D (Calciferol) (µg),Herleitung des Wertes,Quelle,Vitamin E (α-Tocopherol) (mg),Herleitung des Wertes,Quelle,Kalium (K) (mg),Herleitung des Wertes,Quelle,Natrium (Na) (mg),Herleitung des Wertes,Quelle,Chlorid (Cl) (mg),Herleitung des Wertes,Quelle,Calcium (Ca) (mg),Herleitung des Wertes,Quelle,Magnesium (Mg) (mg),Herleitung des Wertes,Quelle,Phosphor (P) (mg),Herleitung des Wertes,Quelle,Eisen (Fe) (mg),Herleitung des Wertes,Quelle,Jod (I) (µg),Herleitung des Wertes,Quelle,Zink (Zn)  (mg),Herleitung des Wertes,Quelle,Selen (Se) (µg),Herleitung des Wertes,Quelle,Geänderter Eintrag
10533,,,Agar Agar,,Verschiedenes/Gelier- und Bindemittel,,pro 100g essbarer Anteil,641,Automatisierte Berechnung,,160,Automatisierte Berechnung,,0.2,-,1473,k.A.,,,k.A.,,,k.A.,,,k.A.,,,0,-,1473,k.A.,,,k.A.,,,74.1,-,1473,2.4,-,1473,0.3,Automatisierte Berechnung,,k.A.,,,20.5,-,1473,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,52,-,1473,130,-,1473,k.A.,,,660,-,1473,100,-,1473,34,-,1473,4.5,-,1473,k.A.,,,1.5,-,1473,k.A.,,,Nein
10536,,,Agavensirup,Agavendicksaft,Süssigkeiten/Zucker und Süssstoffe,,pro 100g essbarer Anteil,1240,Automatisierte Berechnung,,293,Automatisierte Berechnung,,0,-,1476;1477,0,Schätzung,2265,k.A.,,,k.A.,,,k.A.,,,73.1,-,1476;1477,k.A.,,,k.A.,,,0,Schätzung,1408,0.2,-,1476;1477,0,Automatisierte Berechnung,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,4,-,1699,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,k.A.,,,Nein
14093,,,Ahornsirup,,Süssigkeiten/Zucker und Süssstoffe,1.32,pro 100 ml,1520,Automatisierte Berechnung,,358,Automatisierte Berechnung,,0.3,-,1663,0,-,1663,0.1,-,1663,0.1,-,1663,0,Schätzung,2580,88.7,-,1663,77.3,-,1663,0,-,1663,0,-,1663,0,-,1663,0,Automatisierte Berechnung,,0,Schätzung,2580,42.4,-,1663,0,Automatisierte Berechnung,,0,Automatisierte Berechnung,,0,Schätzung,2580,0,Automatisierte Berechnung,,0,-,1663,0.02,-,1663,0.97,-,1663,0,-,1663,0,Schätzung,2580,0.22,-,1663,0,-,1663,0.05,-,1663,0,-,1663,0,Schätzung,2580,0,-,1663,280,-,1663,15,-,1663,55,-,1528;1663,96,-,1663,30,-,1663,2.6,-,1663,0.1,-,1663,0,-,1528;1663,2.6,-,1663,0.8,-,1663,Nein
13466,,,"Alge, Nori, getrocknet","Algen, getrocknet",Gemüse/Gemüse getrocknet,,pro 100g essbarer Anteil,1060,Automatisierte Berechnung,,255,Automatisierte Berechnung,,1.6,-,1660,0.2,Schätzung,1698,0.1,Schätzung,1698,0.6,Schätzung,1698,0,Schätzung,1698,10.5,-,1660,0.5,-,1699,k.A.,,,36.3,-,1660,31.5,-,1660,5,Automatisierte Berechnung,,0,Schätzung,1698,6.5,-,1660,4167,Automatisierte Berechnung,,2083,Automatisierte Berechnung,,0,-,2240,25000,Automatisierte Berechnung,,25000,-,2240,0.58,-,1660,1.91,-,1660,0.53,-,1660,k.A.,,,5.82,-,1660,21.7,-,1660,0.25,-,1660,57.3,-,1660,0.6,-,1660,2.87,-,1660,1730,-,1660,1980,-,1660,2970,Schätzung,1698,320,-,1660,490,-,1660,520,-,1660,37,-,1660,5100,-,1660,4.5,-,1660,51,-,1660,Nein
1478,,,"Älplermagronen, zubereitet",,Gerichte/Sonstige salzige/rezente Gerichte,,pro 100g essbarer Anteil,753,Automatisierte Berechnung,,180,Automatisierte Berechnung,,9,Berechnung anhand von Zutaten,,5.3,Berechnung anhand von Zutaten,,2.1,Berechnung anhand von Zutaten,,0.5,Berechnung anhand von Zutaten,,26,Berechnung anhand von Zutaten,,17.8,Berechnung anhand von Zutaten,,1.3,Berechnung anhand von Zutaten,,16.3,Berechnung anhand von Zutaten,,1.7,Berechnung anhand von Zutaten,,6,Berechnung anhand von Zutaten,,1.1,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,65.6,Automatisierte Berechnung,,82,Automatisierte Berechnung,,80,Automatisierte Berechnung,,77,Berechnung anhand von Zutaten,,32,Automatisierte Berechnung,,32,Berechnung anhand von Zutaten,,0.04,Berechnung anhand von Zutaten,,0.09,Berechnung anhand von Zutaten,,0.08,Berechnung anhand von Zutaten,,0.22,Berechnung anhand von Zutaten,,0.69,Berechnung anhand von Zutaten,,10.2,Berechnung anhand von Zutaten,,0.25,Berechnung anhand von Zutaten,,4.9,Berechnung anhand von Zutaten,,0.2,Berechnung anhand von Zutaten,,0.19,Berechnung anhand von Zutaten,,170,Berechnung anhand von Zutaten,,440,Berechnung anhand von Zutaten,,690,Berechnung anhand von Zutaten,,120,Berechnung anhand von Zutaten,,21,Berechnung anhand von Zutaten,,120,Berechnung anhand von Zutaten,,0.3,Berechnung anhand von Zutaten,,6.6,Berechnung anhand von Zutaten,,0.8,Berechnung anhand von Zutaten,,k.A.,,,Ja
13398,,,"Amaranth, Samen, gekocht (ohne Zugabe von Fett und Salz)",,"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte",,pro 100g essbarer Anteil,500,Automatisierte Berechnung,,119,Automatisierte Berechnung,,2.1,Berechnung anhand von Zutaten,,0.4,Berechnung anhand von Zutaten,,0.5,Berechnung anhand von Zutaten,,0.8,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,18.1,Berechnung anhand von Zutaten,,0.5,Berechnung anhand von Zutaten,,17.6,Berechnung anhand von Zutaten,,3.5,Berechnung anhand von Zutaten,,5,Berechnung anhand von Zutaten,,0,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,71.2,Automatisierte Berechnung,,0,Automatisierte Berechnung,,0,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,0,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,0.02,Berechnung anhand von Zutaten,,0.06,Berechnung anhand von Zutaten,,0.11,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0.34,Berechnung anhand von Zutaten,,16.2,Berechnung anhand von Zutaten,,0.27,Berechnung anhand von Zutaten,,1,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,0.4,Berechnung anhand von Zutaten,,150,Berechnung anhand von Zutaten,,1.9,Berechnung anhand von Zutaten,,36,Berechnung anhand von Zutaten,,58,Berechnung anhand von Zutaten,,84,Berechnung anhand von Zutaten,,180,Berechnung anhand von Zutaten,,3,Berechnung anhand von Zutaten,,0.8,Berechnung anhand von Zutaten,,1.2,Berechnung anhand von Zutaten,,k.A.,,,Nein
13397,,,"Amaranth, Samen, roh",,"Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte",,pro 100g essbarer Anteil,1580,Automatisierte Berechnung,,376,Automatisierte Berechnung,,7,-,1631,1.5,-,1631,1.7,-,1631,2.8,-,1631,0,Schätzung,1648,56.8,-,1640,1.7,-,1640,55.1,-,1640,11,-,1643,15.8,-,1640,0,Automatisierte Berechnung,,0,Schätzung,1677,11.1,-,1640,0,Automatisierte Berechnung,,0,Automatisierte Berechnung,,0,Schätzung,1678,0,Automatisierte Berechnung,,0,-,1631,0.08,-,1631;1642,0.19,-,1640,0.53,-,1642;1643,0,Schätzung,1648,1.2,-,1640,64.3,-,1642;1643,0.95,-,1528;1642,4.2,-,1528,0,Schätzung,1648,1.19,-,1631,480,-,1640,4,-,1631,110,-,1528,160,-,1631,250,-,1631,560,-,1631,9,-,1640,2.5,-,1528,3.7,-,1640,k.A.,,,Nein
868,3704,1001540,Amaretti (Mandelgebäck),,Süssigkeiten/Guetzli,,pro 100g essbarer Anteil,1950,Automatisierte Berechnung,,464,Automatisierte Berechnung,,13,Berechnung anhand von Zutaten,,1,Berechnung anhand von Zutaten,,7.8,Berechnung anhand von Zutaten,,2.8,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,76.7,Berechnung anhand von Zutaten,,76.4,Berechnung anhand von Zutaten,,0.1,Berechnung anhand von Zutaten,,2.6,Berechnung anhand von Zutaten,,8.8,Berechnung anhand von Zutaten,,0.1,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,0,Automatisierte Berechnung,,0,Automatisierte Berechnung,,0,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,0,Automatisierte Berechnung,,0,Berechnung anhand von Zutaten,,0.04,Berechnung anhand von Zutaten,,0.31,Berechnung anhand von Zutaten,,0.04,Berechnung anhand von Zutaten,,0.07,Berechnung anhand von Zutaten,,0.48,Berechnung anhand von Zutaten,,15,Berechnung anhand von Zutaten,,0.17,Berechnung anhand von Zutaten,,0.1,Berechnung anhand von Zutaten,,0,Berechnung anhand von Zutaten,,6.33,Berechnung anhand von Zutaten,,220,Berechnung anhand von Zutaten,,42,Berechnung anhand von Zutaten,,47,Berechnung anhand von Zutaten,,69,Berechnung anhand von Zutaten,,62,Berechnung anhand von Zutaten,,130,Berechnung anhand von Zutaten,,0.9,Berechnung anhand von Zutaten,,1.7,Berechnung anhand von Zutaten,,0.8,Berechnung anhand von Zutaten,,3.2,Berechnung anhand von Zutaten,,Ja
14094,,,"Ananas, in Ananassaft, Konserve, abgetropft",,Früchte/Früchte gekocht (inkl. Konserven),,pro 100g essbarer Anteil,255,Automatisierte Berechnung,,60,Automatisierte Berechnung,,0.1,Schätzung,2580,Sp.,-,2580,Sp.,-,2580,Sp.,-,2580,0,Schätzung,2580,13.6,-,2277,12.8,-,2277,0,-,1528,1.4,-,2277,0.5,-,1699,0,Automatisierte Berechnung,,0,Schätzung,2580,84.5,-,2277,4,Automatisierte Berechnung,,2,Automatisierte Berechnung,,0,Schätzung,2580,24,Automatisierte Berechnung,,24,-,2277,0.06,-,2277,Sp.,-,2277,0.08,-,2277,0,Schätzung,2580,0.2,-,1528,5,-,1699,0.07,-,2277,5,-,2277,0,Schätzung,2580,0.02,Automatisierte Berechnung,1699,130,-,2277,Sp.,-,2277,18,-,2277,11,-,2277,12,-,2277,7.8,-,2277,0.2,-,2277,0.3,-,1528,0.1,-,2277,0.1,Schätzung,2580,Ja
14095,,,"Ananas, in Ananassaft, Konserve, nicht abgetropft",,Früchte/Früchte gekocht (inkl. Konserven),,pro 100g essbarer Anteil,249,Automatisierte Berechnung,,59,Automatisierte Berechnung,,0.1,Schätzung,2580,Sp.,-,2580,Sp.,-,2580,Sp.,-,2580,0,Schätzung,2580,13.6,-,2277,12.6,-,2277,0,-,1528,0.9,-,2277,0.4,-,1699,0,Automatisierte Berechnung,,0,Schätzung,2580,84.9,-,2277,3,Automatisierte Berechnung,,1,Automatisierte Berechnung,,0,Schätzung,2580,16,Automatisierte Berechnung,,16,-,2277,0.06,-,2277,Sp.,-,2277,0.06,-,2277,0,Schätzung,2580,0.2,Schätzung,2580,5,-,1699,0.06,-,2277,5,-,2277,0,Schätzung,2580,0.01,Automatisierte Berechnung,1699,130,-,2277,0.2,-,2277,18,-,2277,10,-,2277,12,-,2277,7.1,-,2277,0.2,-,2277,0.1,-,1528,0.1,-,2277,0.1,Schätzung,2580,Ja
