Variable;Explanation;Response scale
Age;Age;
Gender;Gender;1 = male, 2 = female
Education;Highest educational degree;1 = no graduation, 2 = streamed secondary school for lesser able students, 3 = secondary school leaving certificate, 4 = vocational baccalaureate diploma, 5 = A-level / High school diploma, 6 = university of applied sciences degree, 7 = university degree
has_whatsapp;"""Is whatsapp installed in your phone?""";1 = yes, 0 = no
has_facebook;"""Do you have a Facebook account?""";1 = yes, 0 = no
has_instagram;"""Do you have an Instagram account?""";1 = yes, 0 = no
bfi_01;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 01";1 = very inapplicable, ..., 5 = very applicable
bfi_02;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 02";1 = very inapplicable, ..., 5 = very applicable
bfi_03;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 03";1 = very inapplicable, ..., 5 = very applicable
bfi_04;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 04";1 = very inapplicable, ..., 5 = very applicable
bfi_05;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 05";1 = very inapplicable, ..., 5 = very applicable
bfi_06;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 06";1 = very inapplicable, ..., 5 = very applicable
bfi_07;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 07";1 = very inapplicable, ..., 5 = very applicable
bfi_08;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 08";1 = very inapplicable, ..., 5 = very applicable
bfi_09;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 09";1 = very inapplicable, ..., 5 = very applicable
bfi_10;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 10";1 = very inapplicable, ..., 5 = very applicable
bfi_11;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 11";1 = very inapplicable, ..., 5 = very applicable
bfi_12;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 12";1 = very inapplicable, ..., 5 = very applicable
bfi_13;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 13";1 = very inapplicable, ..., 5 = very applicable
bfi_14;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 14";1 = very inapplicable, ..., 5 = very applicable
bfi_15;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 15";1 = very inapplicable, ..., 5 = very applicable
bfi_16;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 16";1 = very inapplicable, ..., 5 = very applicable
bfi_17;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 17";1 = very inapplicable, ..., 5 = very applicable
bfi_18;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 18";1 = very inapplicable, ..., 5 = very applicable
bfi_19;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 19";1 = very inapplicable, ..., 5 = very applicable
bfi_20;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 20";1 = very inapplicable, ..., 5 = very applicable
bfi_21;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 21";1 = very inapplicable, ..., 5 = very applicable
bfi_22;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 22";1 = very inapplicable, ..., 5 = very applicable
bfi_23;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 23";1 = very inapplicable, ..., 5 = very applicable
bfi_24;"Big Five Inventory (Rammstedt & Danner, 2016; based on John et al., 1991) Item 24";1 = very inapplicable, ..., 5 = very applicable
