Age;Gender;Education;has_whatsapp;has_facebook;has_instagram;bfi_01;bfi_02;bfi_03;bfi_04;bfi_05;bfi_06;bfi_07;bfi_08;bfi_09;bfi_10;bfi_11;bfi_12;bfi_13;bfi_14;bfi_15;bfi_16;bfi_17;bfi_18;bfi_19;bfi_20;bfi_21;bfi_22;bfi_23;bfi_24;bfi_25;bfi_26;bfi_27;bfi_28;bfi_29;bfi_30;bfi_31;bfi_32;bfi_33;bfi_34;bfi_35;bfi_36;bfi_37;bfi_38;bfi_39;bfi_40;bfi_41;bfi_42;bfi_43;bfi_44;bfi_45;BFI_Extra;BFI_Extra_Durchs;BFI_Extra_Aktiv;BFI_Agree;BFI_Agree_Altru;BFI_Agree_Entgeg;BFI_Consc;BFI_Consc_Ordentlich;BFI_Consc_Selbstdisz;BFI_Neuro;BFI_Neuro_Aengstl;BFI_Neuro_Depr;BFI_Open;BFI_Open_Aesth;BFI_Open_Idea
76;1;7;1;1;1;3;4;2;1;3;5;2;3;2;5;3;5;2;3;5;1;2;3;2;4;4;3;2;2;3;2;2;3;2;4;2;2;4;2;3;2;3;2;3;4;4;2;2;4;4;2,75;3,2;2,00;2,90;2,25;3,67;2,56;3,00;2,20;2,13;2,25;1,50;3,90;4,00;4,00
74;1;7;1;1;1;5;2;4;2;5;4;4;3;1;4;5;4;4;2;5;5;4;4;2;5;2;4;4;4;4;4;2;2;2;4;3;2;4;3;4;4;3;4;2;4;5;5;4;4;4;4,00;3,6;5,00;3,40;3,00;3,33;3,67;3,50;3,60;2,25;2,00;2,00;4,40;4,33;4,20
70;1;6;1;1;1;4;3;4;1;4;3;5;4;3;4;2;4;4;2;4;3;3;2;2;3;2;4;2;2;4;4;3;4;2;5;2;4;4;3;2;2;4;4;2;4;5;4;4;3;5;2,75;3,0;2,50;3,90;4,00;3,33;3,56;3,00;3,60;2,13;2,50;1,50;3,80;4,33;3,60
70;1;3;1;1;1;4;3;4;1;4;4;4;5;3;4;4;5;4;1;2;4;4;5;1;4;4;4;4;2;4;4;4;3;1;4;4;3;4;2;2;3;3;4;2;4;4;4;4;4;4;3,88;4,0;4,00;3,80;3,75;4,00;4,11;5,00;3,80;1,63;2,00;1,00;3,60;4,00;3,20
69;1;3;1;1;1;4;2;4;2;4;2;4;4;2;5;4;4;4;4;4;3;4;4;4;3;2;5;4;4;4;4;4;4;4;2;2;4;4;2;2;3;4;5;2;3;2;4;4;3;3;3,00;2,8;3,50;3,80;4,25;3,33;4,11;4,00;4,20;3,00;2,50;3,00;3,20;2,33;3,60
68;2;6;1;1;1;5;5;5;2;4;3;4;2;2;5;3;5;5;3;5;4;4;4;4;5;3;5;4;1;5;4;4;5;2;5;2;4;3;2;5;2;3;4;2;4;5;5;3;3;5;3,25;3,4;3,50;4,40;4,25;4,67;3,89;3,00;4,20;2,25;2,50;2,00;4,60;4,33;4,80
63;2;7;1;1;1;4;2;3;2;4;5;4;2;3;4;4;3;3;2;5;4;3;3;2;4;5;3;4;3;4;4;3;2;3;2;4;3;3;3;3;3;1;3;2;4;1;3;3;1;3;4,13;4,4;4,00;2,80;3,25;2,67;2,89;2,50;3,00;2,50;2,50;2,50;3,20;1,33;4,00
61;1;5;1;1;1;3;3;4;3;3;2;3;4;1;4;2;5;4;3;5;1;3;5;3;3;2;4;2;3;3;2;4;3;1;4;1;3;4;2;1;2;3;5;3;3;3;5;3;4;5;1,88;2,0;1,50;3,80;3,50;3,67;3,78;4,50;3,40;2,38;2,25;2,00;3,30;3,67;3,20
61;2;7;1;1;1;4;3;5;2;4;3;5;5;4;4;3;5;5;3;4;3;4;3;4;5;3;4;3;4;4;4;3;4;1;3;5;4;3;4;2;3;4;4;2;4;3;4;3;3;5;3,50;3,8;3,00;4,10;4,00;4,00;3,89;4,00;3,80;3,00;3,50;1,50;3,60;3,00;3,60
61;2;7;1;1;1;4;3;4;2;4;3;3;3;3;4;3;4;4;3;3;3;4;3;4;4;4;4;3;4;4;4;3;3;4;5;2;4;3;2;4;3;2;4;3;2;5;4;4;4;4;3,25;3,4;3,00;3,50;3,50;3,67;3,44;3,00;3,60;3,13;3,00;3,00;3,90;4,67;3,40
