Location	Latitude	Longitude
Nordsee	54.279260	7.037825
Albbruck	47.589362	8.132735
Altbach	48.721879	9.377633
Altbach	48.721879	9.377633
Altbach	48.721879	9.377633
Neutrebbin	52.663731	14.225191
Nordsee	54.279260	7.037825
Ostsee	54.834359	13.908217
Arneburg	52.675121	12.004496
Arneburg	52.675121	12.004496
Wangenheim	51.019378	10.625481
Ostsee	54.834359	13.908217
Nordsee	54.279260	7.037825
Bergkamen	51.607345	7.61982
Berlin	52.52045	13.40732
Berlin	52.52045	13.40732
Berlin	52.52045	13.40732
Berlin	52.52045	13.40732
Berlin	52.52045	13.40732
Berlin	52.52045	13.40732
Berlin	52.52045	13.40732
Berlin	52.52045	13.40732
Berlin	52.52045	13.40732
Berlin	52.52045	13.40732
Bernburg	51.794291	11.744023
Bexbach	49.354084	7.255839
Biere	51.973483	11.656663
Bitterfeld	51.625732	12.309515
Bonn	50.724104	7.114887
Nordsee	54.279260	7.037825
Nordsee	54.279260	7.037825
Nordsee	54.279260	7.037825
Nordsee	54.279260	7.037825
Boxberg	49.481535	9.63694
Boxberg	49.481535	9.63694
Boxberg	49.481535	9.63694
Boxberg	49.481535	9.63694
Simbach am Inn	48.264171	13.018799
Braunschweig	52.269203	10.531827
Bremen	53.09026	8.852958
Bremen	53.09026	8.852958
Bremen	53.09026	8.852958
Bremen	53.09026	8.852958
Burghausen	48.180834	12.841521
Nordsee	54.279260	7.037825
Calau	51.741675	13.965541
Chemnitz	50.83382	12.912219
Kemlitz	52.009844	13.469737
Nordsee	54.279260	7.037825
Darmstadt	49.872151	8.651994
Datteln	51.649476	7.337013
Nordsee	54.279260	7.037825
Dormagen	51.090659	6.826946
Dresden	51.055604	13.731021
Druxberge	52.15624	11.31094
Luckau	51.854512	13.706347
Duisburg	51.47994	6.75966
Duisburg	51.47994	6.75966
Duisburg	51.47994	6.75966
Duisburg	51.47994	6.75966
Duisburg	51.47994	6.75966
Duisburg	51.47994	6.75966
Eisenhüttenstadt	52.150308	14.636472
Lingen	52.522302	7.323201
Lingen	52.522302	7.323201
Lingen	52.522302	7.323201
Lingen	52.522302	7.323201
Lingen	52.522302	7.323201
Lingen	52.522302	7.323201
Lingen	52.522302	7.323201
Lingen	52.522302	7.323201
Schipkau	51.515442	13.895787
Klettwitz	51.54216	13.89266
Erfurt	50.982915	11.026063
Einbeck	51.819728	9.868592
Esperstedt	51.423573	11.674092
Fehmarn	54.438278	11.195583
Feldheim	52.011805	12.819574
Finsterwalde	51.632703	13.704117
Flensburg	54.780766	9.42001
Nürnberg	49.446007	11.07977
Nürnberg	49.446007	11.07977
Frankfurt / M.	52.3296	14.498545
Frankfurt / M.	52.3296	14.498545
Frankfurt / M.	52.3296	14.498545
Frankfurt / M.	52.3296	14.498545
Frechen	50.909894	6.814001
Gambsheim	48.68223	7.918894
Geesthacht	53.437637	10.363312
Gelsenkirchen	51.547434	7.07669
Gelsenkirchen	51.547434	7.07669
Werne/Lippe	51.669674	7.623019
Werne/Lippe	51.669674	7.623019
Werne/Lippe	51.669674	7.623019
Werne/Lippe	51.669674	7.623019
Nordsee	54.279260	7.037825
Nordsee	54.279260	7.037825
Nordsee	54.279260	7.037825
Goldisthal	50.51667	11
Goldisthal	50.51667	11
Goldisthal	50.51667	11
Goldisthal	50.51667	11
Neuhardenberg	52.609473	14.239075
Grevenbroich	51.085215	6.595974
Grevenbroich	51.085215	6.595974
Grevenbroich	51.085215	6.595974
Grevenbroich	51.085215	6.595974
Großkayna	51.29068	11.93269
Halle (Saale)	51.488623	11.976793
Hamburg	53.576158	10.007046
Hamburg	53.576158	10.007046
Hamm	51.674274	7.821892
Hamm	51.674274	7.821892
Hannover	52.379952	9.787455
Hannover	52.379952	9.787455
Häusern	47.752464	8.16918
Hausham	47.751535	11.83261
Havelland	52.665495	12.618459
Heilbronn	49.142251	9.210942
Heilbronn	49.142251	9.210942
Heilbronn	49.142251	9.210942
