DATAFLOW,LAST UPDATE,freq,age,n_lang,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Austria,2022,8.6,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Belgium,2022,32.2,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Bulgaria,2022,51.1,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Cyprus,2022,23.8,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Czechia,2022,12.5,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Germany,2022,10.3,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Denmark,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Euro area – 20 countries (from 2023),2022,20.2,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Estonia,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Greece,2022,33.9,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Spain,2022,42.4,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",European Union - 27 countries (from 2020),2022,21.5,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Finland,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",France,2022,27.7,b
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Croatia,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Hungary,2022,45.1,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Ireland,2022,55.5,
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Iceland,2022,9.9,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Italy,2022,23.1,b
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Lithuania,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Luxembourg,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Latvia,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Malta,2022,36.1,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Netherlands,2022,13.2,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Norway,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Poland,2022,11.2,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Portugal,2022,23.0,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Romania,2022,75.1,b
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Serbia,2022,,u
ESTAT:EDAT_AES_L23(1.0),20/08/24 23:00:00,Annual,From 18 to 24 years,No languages,Percentage,"Less than primary, primary and lower secondary education (levels 0-2)",Sweden,2022,6.0,u
