Common name of species,Species name,Number of mammal populations included,Start year,End year,Average relative change in abundance
Eurasian beaver,Castor fiber,98,1960,2016,16705%
European bison,Bison bonasus,20,1960,2016,16626%
Grey seal,Halichoerus grypus,18,1978,2016,6273%
Geoffroy's bat,Myotis emarginatus,12,1974,2016,5392%
Iberian wild goat,Capra pyrenaica,9,1966,2012,3502%
Grey wolf,Canis lupus,86,1965,2016,1871%
Southern chamois,Rupicapra pyrenaica,31,1970,2016,1549%
Chamois,Rupicapra rupicapra,31,1960,2016,1045%
Golden jackal,Canis aureus,4,2001,2015,886%
Eurasian lynx,Lynx lynx,75,1963,2016,524%
Alpine ibex,Capra ibex,6,1975,2016,417%
Wild boar,Sus scrofa,73,1967,2016,390%
Red deer,Cervus elaphus,63,1960,2016,331%
Eurasian otter,Lutra lutra,31,1977,2016,294%
Western roe deer,Capreolus capreolus,59,1966,2016,287%
Iberian lynx,Lynx pardinus,7,1987,2016,252%
Wolverine,Gulo gulo,19,1989,2016,196%
Ringed seal,Pusa hispida,12,1971,2016,142%
Eurasian badger,Meles meles,69,1960,2016,110%
Harbour seal,Phoca vitulina,32,1960,2016,91%
Loggerhead turtle,Caretta caretta,14,1984,2016,68%
Brown bear,Ursus arctos,67,1960,2016,44%
Humpback whale,Megaptera novaeangliae,2,1997,2009,37%
Pine marten,Martes martes,25,1986,2016,21%
Eurasian elk,Alces alces,55,1970,2016,17%
