id;name;typ;saison;jahr;temperatur_heisse_tage;temperatur_frosttage;temperatur_tropennaechte;temperatur_mittelwert;temperatur_heizgradtage;temperatur_kuehlgradtage;niederschlag_summe;starkniederschlag_20mm_tage;trockenperiode_tage_maximum
8416;Tübingen;kreis;kalenderjahr;1961;10;91;0;9,23;2319;51;624,2;1;18
8416;Tübingen;kreis;kalenderjahr;1962;9;125;0;7,31;3028;68;641,4;2;27
8416;Tübingen;kreis;kalenderjahr;1963;4;124;0;7,17;3035;43;715,5;4;19
8416;Tübingen;kreis;kalenderjahr;1964;17;101;0;8,48;2690;107;648,4;3;26
8416;Tübingen;kreis;kalenderjahr;1965;5;110;0;7,69;2803;37;1081,2;7;19
8416;Tübingen;kreis;kalenderjahr;1966;3;88;0;8,74;2470;40;883,1;5;17
8416;Tübingen;kreis;kalenderjahr;1967;10;97;0;8,67;2566;77;771,8;2;17
8416;Tübingen;kreis;kalenderjahr;1968;2;114;0;8,08;2686;38;961,9;7;24
8416;Tübingen;kreis;kalenderjahr;1969;6;114;0;7,82;2856;72;736;2;23
8416;Tübingen;kreis;kalenderjahr;1970;2;111;0;7,92;2806;48;800;3;15
8416;Tübingen;kreis;kalenderjahr;1971;10;120;0;8,15;2751;88;569,8;3;25
8416;Tübingen;kreis;kalenderjahr;1972;3;114;0;7,62;2857;58;661,6;4;26
8416;Tübingen;kreis;kalenderjahr;1973;5;138;0;7,85;2879;65;721,1;5;36
8416;Tübingen;kreis;kalenderjahr;1974;4;70;0;8,75;2466;43;729,9;2;17
8416;Tübingen;kreis;kalenderjahr;1975;2;99;0;8,59;2590;63;741,7;5;15
8416;Tübingen;kreis;kalenderjahr;1976;12;100;0;8,51;2661;120;607,6;5;32
8416;Tübingen;kreis;kalenderjahr;1977;1;80;0;8,72;2442;23;812,2;4;20
8416;Tübingen;kreis;kalenderjahr;1978;0;103;0;7,7;2790;22;813;4;24
8416;Tübingen;kreis;kalenderjahr;1979;1;105;0;8,17;2696;38;747;3;20
8416;Tübingen;kreis;kalenderjahr;1980;2;106;0;7,6;2864;38;717,6;2;23
8416;Tübingen;kreis;kalenderjahr;1981;1;107;0;8,31;2662;64;815,4;4;15
8416;Tübingen;kreis;kalenderjahr;1982;1;99;0;8,75;2564;77;914,5;4;15
8416;Tübingen;kreis;kalenderjahr;1983;12;104;0;8,95;2590;148;715,7;4;38
8416;Tübingen;kreis;kalenderjahr;1984;6;128;0;7,78;2788;43;791,6;4;23
8416;Tübingen;kreis;kalenderjahr;1985;6;122;0;7,62;2920;61;707,3;4;20
8416;Tübingen;kreis;kalenderjahr;1986;3;105;0;8,02;2815;86;952,3;8;30
8416;Tübingen;kreis;kalenderjahr;1987;4;110;0;7,82;2861;76;849,4;7;22
8416;Tübingen;kreis;kalenderjahr;1988;4;85;0;9;2398;57;966,7;5;14
8416;Tübingen;kreis;kalenderjahr;1989;5;97;0;9,08;2416;67;635;5;30
8416;Tübingen;kreis;kalenderjahr;1990;8;85;0;9,22;2345;79;779,5;4;26
8416;Tübingen;kreis;kalenderjahr;1991;8;109;0;8,38;2736;113;533,5;2;25
8416;Tübingen;kreis;kalenderjahr;1992;15;90;0;9,24;2441;117;788,8;5;14
8416;Tübingen;kreis;kalenderjahr;1993;3;94;0;8,77;2508;67;803,6;4;21
8416;Tübingen;kreis;kalenderjahr;1994;9;59;0;10,1;2161;153;848,1;4;18
8416;Tübingen;kreis;kalenderjahr;1995;10;103;0;8,85;2536;104;889,3;4;15
8416;Tübingen;kreis;kalenderjahr;1996;4;125;0;7,6;2906;53;691,1;2;29
8416;Tübingen;kreis;kalenderjahr;1997;3;97;0;8,98;2475;73;623,9;2;20
8416;Tübingen;kreis;kalenderjahr;1998;14;96;0;9,15;2438;102;741,6;3;27
