Participant;Sex;Age range;Do you have a mobile phone?;Is this mobile phone yours or do you share it ?;When you are on the computer and/or tablet, what type of actions do you most often perform?   (choice=Searching for general information);When you are on the computer and/or tablet, what type of actions do you most often perform?   (choice=Discussion by email or on the digital social networks with friends or family);When you are on the computer and/or tablet, what type of actions do you most often perform?   (choice=Watching your social network feed);When you are on the computer and/or tablet, what type of actions do you most often perform?   (choice=Listening to the music);When you are on the computer and/or tablet, what type of actions do you most often perform?   (choice=Playing games);When you are on the computer and/or tablet, what type of actions do you most often perform?   (choice=Study or homeworks);When you are on the computer and/or tablet, what type of actions do you most often perform?   (choice=Viewing videos);When you are on the computer and/or tablet, what type of actions do you most often perform?   (choice=Other);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Searching for general information);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Discussion by email or on the digital social networks with friends or family);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Watching your social network feed);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Listening to the music);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Playing games);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Study or homeworks);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Viewing videos);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Telephone conversation);When you are on your mobile phone, what type of actions do you perform most often?   (choice=Other);Do you use apps, social media or websites for your health?;Which social media platform/site (Facebook, Instagram, Twitter, Tiktok, Snapchat) is your favourite to use for your health? And what do you like about it?;Favourite platform/site for health: social media;Favourite platform/site for health: search engine;Favourite platform/site for health: unclear;Favourite platform/site for health: none;For searching health information, which app, social media or website do you use ?;For searching health information: social media;For searching health information: search engine;For searching health information: web site;For searching health information: unclear;For searching health information: none;For discussing health topics with other people online, which app, social media or website do you use ?;For discussing: social media;For discussing: search engine;For discussing: app;For discussing: web site;For discussing: unclear;For discussing: none
1;M;Lower than or equal 15;No;;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
2;F;Between 16 and 17 inclusive;Yes;Not shared;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Checked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Checked;Checked;Checked;Unchecked;Yes;Facebook et TikTok ;Checked;Unchecked;Unchecked;Unchecked;Google ;Unchecked;Checked;Unchecked;Unchecked;Unchecked;No;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked
3;F;Lower than or equal 15;Yes;Shared;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Checked;Checked;Checked;Unchecked;Unchecked;Checked;No;;;;;;;;;;;;;;;;;;
4;F;Lower than or equal 15;Yes;Not shared;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
5;F;Between 16 and 17 inclusive;Yes;Not shared;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
6;M;Between 16 and 17 inclusive;Yes;Shared;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
7;F;Greater than or equal to 18;Yes;Not shared;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Yes;Facebook;Checked;Unchecked;Unchecked;Unchecked;Je ne jamais ;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Je ne jamais ;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked
8;F;Lower than or equal 15;Yes;Not shared;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
9;F;Lower than or equal 15;Yes;Not shared;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Yes;Le tik-tok;Checked;Unchecked;Unchecked;Unchecked;Google;Unchecked;Checked;Unchecked;Unchecked;Unchecked;;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked
10;F;Lower than or equal 15;Yes;Not shared;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Checked;Checked;Unchecked;Checked;Checked;Unchecked;Unchecked;No;;;;;;;;;;;;;;;;;;
11;F;Between 16 and 17 inclusive;Yes;Not shared;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Yes;Facebook  et Tik-tok;Checked;Unchecked;Unchecked;Unchecked;Google ;Unchecked;Checked;Unchecked;Unchecked;Unchecked;No;Unchecked;Unchecked;Unchecked;Unchecked;Unchecked;Checked
