"id","startdate","datestamp","A1","A1_other","A1B_1","A1B_2","A2","A3","A4","P1","P2","P3","P3B","P4_1","P4_2","P4_3","P4_4","P4_5","P6","S1_1_1","S1_1_2","S1_1_3","S1_2_1","S1_2_2","S1_2_3","S1_3_1","S1_3_2","S1_3_3","S1_4_1","S1_4_2","S1_4_3","S1_5_1","S1_5_2","S1_5_3","S1_6_1","S1_6_2","S1_6_3","S1_7_1","S1_7_2","S1_7_3","S1_8_1","S1_8_2","S1_8_3","S1_9_1","S1_9_2","S1_9_3","S1_10_1","S1_10_2","S1_10_3","S1B_11_1","S1B_11_2","S1B_11_3","S1B_12_1","S1B_12_2","S1B_12_3","S1B_13_1","S1B_13_2","S1B_13_3","S1B_14_1","S1B_14_2","S1B_14_3","S1B_15_1","S1B_15_2","S1B_15_3","S1B_16_1","S1B_16_2","S1B_16_3","S1B_17_1","S1B_17_2","S1B_17_3","S1B_18_1","S1B_18_2","S1B_18_3","S1B_19_1","S1B_19_2","S1B_19_3","S1B_20_1","S1B_20_2","S1B_20_3","S1C_21_1","S1C_21_2","S1C_21_3","S1C_22_1","S1C_22_2","S1C_22_3","S1C_23_1","S1C_23_2","S1C_23_3","S1C_24_1","S1C_24_2","S1C_24_3","S1C_25_1","S1C_25_2","S1C_25_3","S1C_26_1","S1C_26_2","S1C_26_3","S1C_27_1","S1C_27_2","S1C_27_3","S1C_28_1","S1C_28_2","S1C_28_3","S1C_29_1","S1C_29_2","S1C_29_3","S1C_30_1","S1C_30_2","S1C_30_3","S1D_31_1","S1D_31_2","S1D_31_3","S1D_32_1","S1D_32_2","S1D_32_3","S1D_33_1","S1D_33_2","S1D_33_3","S1D_34_1","S1D_34_2","S1D_34_3","S1D_35_1","S1D_35_2","S1D_35_3","S1D_36_1","S1D_36_2","S1D_36_3","S1D_37_1","S1D_37_2","S1D_37_3","S1D_38_1","S1D_38_2","S1D_38_3","S1D_39_1","S1D_39_2","S1D_39_3","S1D_40_1","S1D_40_2","S1D_40_3","S1E_41_1","S1E_41_2","S1E_41_3","S1E_42_1","S1E_42_2","S1E_42_3","S1E_43_1","S1E_43_2","S1E_43_3","S1E_44_1","S1E_44_2","S1E_44_3","S1E_45_1","S1E_45_2","S1E_45_3","S1E_46_1","S1E_46_2","S1E_46_3","S1E_47_1","S1E_47_2","S1E_47_3","S1E_48_1","S1E_48_2","S1E_48_3","S2_1","S2_2","S3_1","S3_2","S4","S5","S6_1","S6_2","S6_3","S6_4","S6_6","S6_7","S6_5","S6OTH1","S6OTH2","S7_1","S7_2","S7_3","S8_1","S8_2","S8B_1","S9","S10","S11","S11B","Q1_1","Q1_2","Q1_3","Q2","Q3","Q3A","Q3A2","Q4","Q4B","Q5","Q5B","Q01","Q02","Q03","Q04","Q05","Q11","Q11OTH","Q21_1","Q21_2","Q21_3","Q31","Q31B","Q32_1","Q411","Q412","Q422","Q43","Q51A_1","Q51A_2","Q51A_3","Q51B_1","Q51B_2","Q51B_3","Q521","Q522_1","Q522_2","Q522_3","Q522_4","Q522_5","Q522_6","Q522_7","Q522OTH","Q531","Q532_1","Q532_2","Q532_3","CODS1_4_3","CODS1_6_3","CODS1_10_3","CODS1B_11_3","CODS1B_13_3","CODS1B_14_3","CODS1B_15_3","CODS1B_16_3","CODS1B_17_3","CODS1B_18_3","CODS1B_19_3","CODS1C_21_3","CODS1C_22_3","CODS1C_23_3","CODS1C_24_3","CODS1C_25_3","CODS1C_26_3","CODS1C_27_3","CODS1C_30_3","CODS1D_31_3","CODS1D_32_3","CODS1D_36_3","CODS1D_37_3","CODS1D_38_3","CODS1D_39_3","CODS6OTH1","CODS6OTH2","CODS10","CODS11B","CODQ3A2","CODQ4B","CODQ5B","CODQ11OTH","CODQ522OTH","answersurvey","pid","nattempts","dayinterview","distrito","Gradex","I_Male","I_Agey","I_Ethnicity_Mestizo","I_Ethnicity_Blanco","I_Ethnicity_Indigena","I_Ethnicity_Afroecuatoriano","I_Ethnicity_Montubio","I_Ethnicity_Otro","I_Ethnicity_Mulato","I_Language_Esp_idioma_extr","I_Language_Nativa_idioma_extr","I_Language_Nativa_y_esp","I_Language_Solo_esp","I_Language_Solo_lengua_nativa","I_10_Income","IV_Mother_edu_Bachiller","IV_Mother_edu_LicenciaturaUnive","IV_Mother_edu_Maestria","IV_Mother_edu_PhD","IV_Mother_edu_Secundariaomenor","IV_Mother_work","IV_Mother_business","IV_Mothers_employees","IV_Father_work","IV_Father_edu_Bachiller","IV_Father_edu_LicenciaturaUnive","IV_Father_edu_Maestria","IV_Father_edu_PhD","IV_Father_edu_Secundariaomenor","IV_Father_business","IV_Fathers_employees","IV_Sibling_work","IV_Sibling_edu_Bachiller","IV_Sibling_edu_LicenciaturaUniv","IV_Sibling_edu_Maestria","IV_Sibling_edu_PhD","IV_Sibling_edu_Secundariaomeno","IV_Sibling_business","IV_Siblings_employees","havephone","dadphone","mumphone"
3358,4/16/2020 16:33:43,4/16/2020 16:34:31,8,"Directo al buzón",,,4/16/2020,3,40000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40000001,2,16,"22D02","2","0","15","1","0","0","0","0","0","0","0","0","0","1","0","-.07283084","0","0","0","0","1","1","1","5","1","0","1","0","0","0","1","3","1","0","0","1","0","0","1","3",1,0,0
2510,4/11/2020 10:22:16,4/11/2020 10:51:31,1,,,,4/11/2020,7,40000002,1,1,1,,1,1,1,1,1,5,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,8,,,17,23,,17,23,,17,23,,17,23,,17,22,,8,22,,17,,,17,22,,17,22,,17,22,,1,,,1,,,1,,,12,,,12,,,12,,,20,,,20,,,20,,,7,,,7,,,8,,,3,,,3,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,0,0,6,0,2,1,2,2,2,2,2,2,1,"WHATSAPP",,2,1,1,3,0,4,"NINGUNA","NINGUNA",2,,3,,,1,2,,,2,,2,,2,1,4,4,4,1,,1,0,0,"PREOCUPADA",8,7,1,,,,1,,,,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,97,,,,,,,1,40000002,1,11,"22D02","2","0","16","1","0","0","0","0","0","0","0","0","0","1","0","1.758435","0","0","1","0","0","1","1","3","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0",1,0,0
3937,4/29/2020 11:19:22,4/29/2020 11:38:24,1,,,,4/29/2020,6,40000003,1,1,1,,1,1,1,1,2,3,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,8,,,17,,,17,,,17,,,17,,,9,,,9,,,7,,,7,,,8,,,17,,,17,,,17,,,17,,,20,,,20,,,20,,,8,,,22,,,22,,,22,,,22,,,22,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,0,0,2,0,2,2,,,,,,,,,,2,1,1,4,0,5,"QUIMICA","eS LA QUE MAS ENTIENDE",2,,4,,,1,2,,,2,,2,,2,2,4,4,5,3,,0,1,0,"TRISTE",1,10,2,,,1,,,,1,,,2,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,1,40000003,1,29,"22D02","2","1","17","1","0","0","0","0","0","0","0","0","0","1","0","1.978455","0","0","0","0","0","NA","NA","NA","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0",1,0,0
3223,4/15/2020 19:47:16,4/15/2020 19:57:28,1,,,,4/15/2020,9,40000004,1,1,1,,1,1,1,1,2,7,1,,,1,,,1,,,1,,,1,,,1,,,1,,,8,,,9,,,9,,,20,,,20,,,17,,,17,,,17,,,17,,,17,,,8,,,17,,,17,,,17,,,17,,,17,,,20,,,20,,,20,,,20,,,20,,,8,,,22,,,22,,,23,,,23,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,0,0,2,0,2,1,2,2,2,1,1,2,1,"WhatsApp","Zoom",1,1,1,5,0,3,"Historia","Ver videos del link",2,,4,,,1,2,,,2,,2,,3,2,3,2,3,3,,0,1,0,"Deprimido",4,8,1,,,,1,,,,,,1,,,,1,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,28,,,,,,,1,40000004,1,15,"22D02","2","1","16","0","0","1","0","0","0","0","0","0","0","1","0","-1.240452","0","0","0","0","1","1","0","0","1","1","0","0","0","0","1","2","1","1","0","0","0","0","0","0",1,0,0
2817,4/14/2020 11:23:41,4/14/2020 11:25:45,4,,,,4/14/2020,5,40000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40000005,1,14,"22D02","2","0","15","1","0","0","0","0","0","0","0","0","0","1","0","-.2707138","1","0","0","0","0","1","1","2","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","3",0,0,1
2703,4/11/2020 20:57:06,4/11/2020 21:08:10,1,,,,4/11/2020,10,40000006,1,1,1,,1,1,1,2,2,6,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,17,,,17,,,8,,,17,,,17,,,17,,,17,,,17,,,17,,,17,,,8,,,17,,,8,,,20,,,20,,,20,,,20,,,22,,,22,,,22,,,23,,,23,,,23,,,23,,,8,,,22,,,22,,,22,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,30,1,30,1,2,,,,,,,,,,2,1,1,5,30,5,"Lengua y literatura","Experimentos en biologia",2,,2,,,1,2,,,2,,2,,1,1,4,5,5,4,,0,1,0,"Mal",7,5,1,,,,,1,,,,,1,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,40000006,1,11,"22D02","2","1","16","1","0","0","0","0","0","0","0","0","0","1","0","-.2311368","0","1","0","0","0","1","0","0","1","1","0","0","0","0","0","0","1","0","1","0","0","0","1","1",1,0,0
3247,4/16/2020 11:13:35,4/16/2020 11:34:11,1,,,,4/16/2020,2,40000007,1,1,1,,2,2,1,1,2,1,1,,,1,,,1,,,1,,,1,,,8,2,,9,,,9,,,9,,,9,,,9,,,9,,,17,,,17,,,17,,,17,,,17,,,8,,,17,,,17,,,17,,,20,,,20,,,20,,,20,,,20,,,20,,,2,,,3,,,3,,,8,,,8,3,,3,,,3,,,3,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,0,0,0,0,2,1,2,1,1,1,2,2,1,"WHATSAPP LE MANDAN LOS DEBERES",,2,1,1,3,30,5,"LENGUA Y LITERATURA","NINGUNA",1,"HACER TODOS LOS DEBERES QUE LE MANDEN",1,,,1,2,,,2,,2,,3,4,3,2,3,4,,1,1,0,"MAL",1,9,2,,,2,,,,,1,,1,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,97,12,,,,,,1,40000007,5,16,"22D02","2","0","18","0","0","1","0","0","0","0","0","0","1","0","0","-.7205535","0","0","0","0","1","0","1","1","1","0","0","0","0","1","1","0","1","0","1","0","0","0","0","0",0,1,0
3822,4/24/2020 16:29:41,4/24/2020 16:41:54,1,,,,4/24/2020,3,40000008,1,2,1,,2,2,1,1,1,9,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,8,,,8,,,23,,,23,,,17,,,17,,,17,,,17,,,17,,,17,,,17,,,17,,,8,,,8,,,3,,,23,,,20,,,20,,,20,,,20,,,2,,,23,,,23,22,,23,,,8,,,8,,,23,,,23,,,23,,,23,,,23,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,0,0,0,30,2,1,2,2,2,2,2,2,1,"Whatsapp",,1,1,1,4,0,3,"Inglés","Resúmenes de biología",2,,4,,,1,1,1,"Aplicación para ganar dinero",,,2,,2,1,4,5,5,4,,0,0,1,"Triste",1,3,1,,,,,1,,,,,1,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,2,,6,,,,,1,40000008,2,24,"22D02","2","1","14","1","0","0","0","0","0","0","0","0","0","1","0","1.217117","1","0","0","0","0","0","1","1","1","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0",1,0,0
1123,4/5/2020 14:53:11,4/5/2020 15:10:02,1,,,,4/5/2020,3,40000009,1,1,1,,1,1,1,1,2,4,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,2,,,8,,,9,,,9,,,9,,,7,,,7,,,8,,,17,,,17,,,17,,,17,,,3,,,3,,,3,,,3,,,20,,,20,,,7,,,7,,,7,,,8,,,2,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,0,0,4,0,1,1,2,2,2,1,2,2,1,"Whatsapp",,2,1,1,2,30,5,"Lengua","Leer",1,"Inglés",,,,1,2,,,2,,2,,3,4,4,3,4,3,,0,0,1,"Fuera de Ambiente",4,7,1,,,,1,,,,,,1,,,,,1,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,25,1,,,,,,1,40000009,1,5,"22D02","2","0","15","1","0","0","0","0","0","0","0","0","0","1","0","-.7072868","1","0","0","0","0","1","1","2","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0",1,0,0
1646,4/7/2020 16:39:25,4/7/2020 16:54:55,1,,,,4/7/2020,6,40000010,1,1,1,,1,1,1,1,2,8,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,7,,,7,,,8,,,9,,,17,,,17,,,17,,,17,,,17,,,17,,,8,,,17,,,17,,,17,,,17,,,3,,,3,,,3,,,3,,,3,,,7,,,7,,,8,,,22,,,22,,,22,,,22,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,1,,,0,30,2,0,2,1,2,2,2,2,1,2,2,,,1,1,1,8,0,4,"QUIMICA","NINGUNA",1,"APRENDER INGLES",3,,,1,2,,,2,,2,,3,3,2,2,3,4,,0,1,0,"TRISTE",1,7,1,,,,,,1,,,,1,,,,3,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,1,,,,,,1,40000010,1,7,"22D02","2","0","16","0","0","0","1","0","0","0","0","0","0","1","0",".5220481","1","0","0","0","0","1","1","0","NA","0","0","0","0","0","NA","NA","1","1","0","0","0","0","1","0",1,0,0
