item,idx,token,surprisal
1.3,1,Peter,15.12226676940918
1.3,2,is,6.250476837158203
1.3,3,t,17.64838981628418
1.3,4,n,5.651356220245361
1.3,5,icht,1.2360661029815674
1.3,6,gut,10.211631774902344
1.3,7,in,8.120850563049316
1.3,8,der,4.318575382232666
1.3,9,Sch,7.874612808227539
1.3,10,ule,6.288996696472168
1.3,11,.,3.802953004837036
1.3,12,Bes,10.222660064697266
1.3,13,ond,6.185549259185791
1.3,14,ers,2.9346768856048584
1.3,15,Mat,14.012762069702148
1.3,16,he,3.23370099067688
1.3,17,f,7.989018440246582
1.3,18,ä,6.767500877380371
1.3,19,ll,3.1526882648468018
1.3,20,t,0.810283899307251
1.3,21,i,7.738776206970215
1.3,22,hm,4.2580952644348145
1.3,23,sch,5.566298007965088
1.3,24,wer,6.5502777099609375
1.3,25,.,4.541501522064209
1.3,26,Tro,13.9893159866333
1.3,27,tz,3.664290189743042
1.3,28,st,9.936992645263672
1.3,29,ä,3.4734795093536377
1.3,30,nd,1.2120603322982788
1.3,31,iger,7.484503269195557
1.3,32,N,7.072088718414307
1.3,33,ach,1.7910487651824951
1.3,34,h,9.5385103225708
1.3,35,il,7.738333702087402
1.3,36,fe,6.22866678237915
1.3,37,k,7.619983196258545
1.3,38,omm,3.1010169982910156
1.3,39,t,1.488352656364441
1.3,40,er,6.687232494354248
1.3,41,n,6.015814304351807
1.3,42,icht,0.655068039894104
1.3,43,mit,7.160626411437988
1.3,44,den,4.139276027679443
1.3,45,and,11.038579940795898
1.3,46,eren,0.5755705237388611
1.3,47,mit,10.174057006835938
1.3,48,.,8.944348335266113
1.3,49,Let,10.524889945983887
1.3,50,z,1.3468259572982788
1.3,51,te,1.4299837350845337
1.3,52,W,6.480724334716797
1.3,53,oche,6.28041410446167
1.3,54,ha,8.015737533569336
1.3,55,ben,0.5267843008041382
1.3,56,die,5.663658142089844
1.3,57,Sch,6.143242359161377
1.3,58,ü,6.372927188873291
1.3,59,ler,5.29913854598999
1.3,60,e,5.781376838684082
1.3,61,ine,1.9721907377243042
1.3,62,Mat,9.452042579650879
1.3,63,he,0.15086039900779724
1.3,64,pr,15.006457328796387
1.3,65,ü,2.553905487060547
1.3,66,f,2.240922212600708
1.3,67,ung,1.2654272317886353
1.3,68,g,7.290284156799316
1.3,69,es,2.7100186347961426
