subject,item,surprisal,generator,context,condition,subject_id
3.5T1S0,1,6.051825533,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,1,5.945893381,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,1,5.852229665,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,1,5.793106689,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,1,5.919890679,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,1,5.985550167,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,2,6.242544487,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,2,6.346558199,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,2,6.605750686,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,2,5.5809775,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,2,5.567365561,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,2,5.68220492,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,3,6.81990961,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,3,6.311822312,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,3,6.319594332,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,3,6.579176336,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,3,7.737731484,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,3,7.080502185,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,4,6.149279655,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,4,5.705783791,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,4,5.00519548,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,4,6.013758645,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,4,6.81706297,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,4,5.965606736,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,5,5.198834256,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,5,5.29742673,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,5,5.236179887,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,5,5.673171863,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,5,6.138142135,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,5,6.148224911,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,6,6.545693486,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,6,6.314745649,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,6,6.25076611,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,6,6.067422532,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,6,6.781530607,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,6,5.996487916,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,7,6.15674673,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,7,5.788656188,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,7,5.84660906,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,7,5.961819371,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,7,6.170022439,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,7,6.175587603,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,8,6.203212014,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,8,6.711215881,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,8,5.665958403,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,8,6.177187602,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,8,6.227453663,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,8,5.746659629,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,9,6.790517064,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,9,6.419713182,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,9,6.877551566,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,9,6.406420372,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,9,6.661128012,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,9,7.247451419,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,10,6.197785469,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,10,6.302112491,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,10,5.911096343,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,10,5.863477399,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,10,5.845260448,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,10,6.132987907,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,11,6.340577046,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,11,7.102705014,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,11,6.308199538,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,11,6.168569864,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,11,6.695874537,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,11,6.410951574,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,12,5.736536587,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,12,6.016829208,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,12,5.707863687,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,12,5.153842772,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,12,5.913868844,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,12,5.270338847,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,13,6.42767783,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,13,6.408486461,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,13,6.05941573,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,13,6.134496313,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,13,6.550932513,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,13,6.598473671,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,14,6.48241183,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,14,6.896322305,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,14,6.830357207,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,14,6.09119223,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,14,6.414177206,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,14,6.512563534,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,15,6.624099996,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,15,6.73566875,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,15,6.757490339,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,15,6.3260109,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,15,6.797425651,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,15,7.874674371,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,16,6.281140165,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,16,6.412373011,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,16,6.572032852,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,16,6.510956425,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,16,5.969155712,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,16,5.85545631,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,17,6.962395458,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,17,6.072699024,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,17,6.437268347,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,17,6.21625457,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,17,6.195085254,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,17,6.376153787,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,18,6.308880355,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,18,6.757699676,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,18,6.547773323,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,18,6.231561082,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,18,6.296275278,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,18,6.160300133,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,19,6.885708921,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,19,6.801721938,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,19,6.869076472,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,19,5.994472771,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,19,5.858057966,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,19,5.430242029,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,20,5.786046219,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,20,6.119154908,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,20,6.049959525,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,20,6.098127765,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,20,6.112286059,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,20,5.547164034,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,21,6.754319905,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,21,6.626518435,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,21,6.584147055,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,21,5.947010467,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,21,6.522793161,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,21,6.527548986,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,22,5.657132237,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,22,6.129527878,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,22,6.134859027,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,22,6.078727607,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,22,6.116577371,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,22,5.945291243,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,23,6.443413093,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,23,6.814091192,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,23,6.240916808,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,23,6.372032142,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,23,6.029016507,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,23,5.945031294,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,24,5.87573483,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,24,6.216119078,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,24,6.27335463,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,24,6.270585804,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,24,6.226054517,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,24,6.319564206,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,25,7.127540567,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,25,7.05851818,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,25,6.545801445,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,25,6.424590222,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,25,7.138507678,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,25,6.304976746,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,26,5.397214263,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,26,5.756979758,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,26,5.316215356,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,26,5.859489115,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,26,6.112666337,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,26,6.104535589,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,27,6.644666785,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,27,6.444448421,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,27,5.97085452,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,27,6.544318453,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,27,6.235059688,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,27,6.290500692,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,28,6.783070543,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,28,6.164968544,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,28,6.135783702,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,28,5.649712367,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,28,5.470573398,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,28,5.497298334,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,29,6.042443885,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,29,6.579076219,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,29,5.676560336,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,29,5.860037193,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,29,5.938140691,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,29,6.196526621,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,30,6.446186924,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,30,6.285951012,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,30,6.635142293,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,30,6.203869573,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,30,6.31243767,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,30,6.216251745,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,31,6.593508134,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,31,6.456434891,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,31,6.568613636,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,31,6.230318826,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,31,6.343569333,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,31,6.303662479,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,32,6.510360489,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,32,6.723397993,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,32,6.499794237,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,32,6.340198233,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,32,5.857926158,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,32,5.390814909,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,33,5.813742386,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,33,5.718799518,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,33,5.630265695,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,33,6.604284676,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,33,6.119778665,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,33,6.250956563,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,34,6.254614648,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,34,6.590219425,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,34,6.21305407,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,34,5.847384498,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,34,5.706813467,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,34,5.69610757,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,35,6.581604781,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,35,6.635269505,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,35,6.831706806,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,35,6.966989694,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,35,6.990286783,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,35,6.757194239,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S0,36,6.045596972,gpt-3.5-turbo-16k,high,RA,1
3.5T1S0,36,6.597517113,gpt-3.5-turbo-16k,high,EW,1
3.5T1S0,36,6.355420035,gpt-3.5-turbo-16k,high,OH,1
3.5T1S0,36,5.809646618,gpt-3.5-turbo-16k,medium,RA,1
3.5T1S0,36,5.475125578,gpt-3.5-turbo-16k,medium,EW,1
3.5T1S0,36,5.538536957,gpt-3.5-turbo-16k,medium,OH,1
3.5T1S1,1,5.885722,gpt-3.5-turbo-16k,high,RA,2
3.5T1S1,1,5.657766796,gpt-3.5-turbo-16k,high,EW,2
3.5T1S1,1,5.823948848,gpt-3.5-turbo-16k,high,OH,2
3.5T1S1,1,5.910734714,gpt-3.5-turbo-16k,medium,RA,2
3.5T1S1,1,5.840190302,gpt-3.5-turbo-16k,medium,EW,2
3.5T1S1,1,6.063417139,gpt-3.5-turbo-16k,medium,OH,2
3.5T1S1,2,6.379783299,gpt-3.5-turbo-16k,high,RA,2
3.5T1S1,2,7.113706132,gpt-3.5-turbo-16k,high,EW,2
3.5T1S1,2,7.305556328,gpt-3.5-turbo-16k,high,OH,2
3.5T1S1,2,5.872401875,gpt-3.5-turbo-16k,medium,RA,2
3.5T1S1,2,6.136198111,gpt-3.5-turbo-16k,medium,EW,2
3.5T1S1,2,5.693805552,gpt-3.5-turbo-16k,medium,OH,2
3.5T1S1,3,6.884601236,gpt-3.5-turbo-16k,high,RA,2
3.5T1S1,3,7.066147528,gpt-3.5-turbo-16k,high,EW,2
3.5T1S1,3,6.290689422,gpt-3.5-turbo-16k,high,OH,2
3.5T1S1,3,7.044016524,gpt-3.5-turbo-16k,medium,RA,2
3.5T1S1,3,7.521288739,gpt-3.5-turbo-16k,medium,EW,2
3.5T1S1,3,6.988846912,gpt-3.5-turbo-16k,medium,OH,2
3.5T1S1,4,5.937570666,gpt-3.5-turbo-16k,high,RA,2
3.5T1S1,4,6.266970636,gpt-3.5-turbo-16k,high,EW,2
3.5T1S1,4,5.291512402,gpt-3.5-turbo-16k,high,OH,2
3.5T1S1,4,5.512866844,gpt-3.5-turbo-16k,medium,RA,2
3.5T1S1,4,5.950824551,gpt-3.5-turbo-16k,medium,EW,2
3.5T1S1,4,5.270960339,gpt-3.5-turbo-16k,medium,OH,2
3.5T1S1,5,5.629173622,gpt-3.5-turbo-16k,high,RA,2
3.5T1S1,5,4.968662274,gpt-3.5-turbo-16k,high,EW,2
3.5T1S1,5,5.467873459,gpt-3.5-turbo-16k,high,OH,2
3.5T1S1,5,6.243179707,gpt-3.5-turbo-16k,medium,RA,2
3.5T1S1,5,5.852736359,gpt-3.5-turbo-16k,medium,EW,2
