Obj;Field;POS;Context;Number;Phase;TypeNumber;Type;Colour;Form;Length;Dm;HoleSize;IronOxide;Broken
1052;12;458;312;201;Pit house - Backfilling;3;double-conical, small;green;double-conical;6;6;2;;n
1052;12;458;312;202;Pit house - Backfilling;15;winding marks;red;asymmetrically pressed spherical;5;7;2.5;;n
1052;18;1460;858;201;Upper silt;3;double-conical, big;blue;double-conical;8;8;3;;n
1052;20;1072;1000;202;Pink - layer in situ;4;ring-shaped;green;pressed barrel-shaped/ring;8;16;6;n;y
1052;19;1724;1056;201;Pink - layer in situ;10;polychrome;yellow, decor slightly translucent red;ring-shaped;5;8;4;;n
1052;19;1731;1111;201;Pink - layer in situ;1;cylindrical;red;cylindrical;7;8;3;;n
1052;63;2139;1319;201;Pink - Stone accumulation;7;multiple;yellow;double bead, pressed spherical to barrel-shaped single beads ;8;5;2;;n
1052;63;2139;1319;202;Pink - Stone accumulation;3;double-conical, big;blue;barrel-shaped;10;;;;y
1052;56;3099;1896;201;Upper silt;6;small spherical;green;spherical;3;4;;;n
1052;56;3099;1904;201;Upper silt;6;small spherical;green;fragm;;;;;y
1052;56;3099;1904;202;Upper silt;6;small spherical;green;pressed spherical;3;4;;;n
1052;56;3099;1904;203;Upper silt;6;small spherical;green;pressed spherical;3;4;1.5;;n
1052;56;3099;2013;201;Upper silt;3;double-conical, big;blue;double-conical;8;11;;;y
1052;46;3791;2053;201;Upper silt;7;multiple;yellow;triple bead, pressed spherical single beads;7;4;1;;n
1052;46;3791;2053;202;Upper silt;5;small spherical;yellow;spherical;3;4;1;;y
1052;46;3791;2053;203;Upper silt;5;small spherical;yellow;pressed spherical;;;;;y
1052;46;3791;2053;204;Upper silt;6;small spherical;green;pressed spherical;3;4;;;n
1052;47;3796;2066;204;Pink - R ;;winding marks;red;asymmetrical spherical;6;9;3;;n
1052;48;3908;2077;204;Pink - R;6;small spherical;green;pressed spherical;4;5;;;y
1052;47;3908;2254;202;Pink - R ;3;double-conical, big;blue;double-conical;7;6;3;y;y
1052;47;3796;2256;201;Pink - R;5;small spherical;yellow;pressed spherical;2;4;;;n
1052;47;3796;2256;202;Pink - R;5;small spherical;yellow;pressed spherical;2;4;;;n
1052;47;3796;2256;203;Pink - R;3;double-conical, big;white;double-conical;9;8;3;;n
1052;47;3796;2256;204;Pink - R;3;double-conical, small;yellow;double-conical;8;6;2.5;y;y
1052;47;3796;2256;206;Pink - R;3;double-conical, small;green;double-conical;7;6;2;n;y
1052;47;3796;2256;207;Pink - R;6;small spherical;green;pressed spherical;3;6;;;y
1052;47;3796;2256;210;Pink - R;3;double-conical, small;orange;barrel-shaped;6;7;3;n;y
1052;47;3791;2287;201;Pink - R;5;small spherical;yellow;pressed spherical;2;4;;;y
1052;47;3791;2287;204;Pink - R;15;winding marks;blue;ring-shaped;5;8;;;y
1052;46;3909;2315;201;Pink - Stone accumulation;5;small spherical;yellow;pressed spherical;4;6;2;;y
1052;48;3610;2332;201;Pink - R;5;small spherical;yellow;pressed spherical;3;5;;;y
1052;46;3908;2350;201;Pink - R;3;double-conical, small;yellow;double-conical;5;6;3;n;y
1052;46;3908;2350;202;Pink - R;11;polychrome;red, decor yellow;barrel-shaped;7;8;2;;n
1052;46;3908;2350;203;Pink - R;6;small spherical;green;pressed spherical;4;4;2;;n
1052;47;3973;2351;201;Pink - R;3;double-conical, big;orange;barrel-shaped;7;8;4;n;y
1052;47;3973;2351;202;Pink - R;6;small spherical;green;pressed spherical;4;4;;;y
1052;47;3987;2353;201;Work pit (pit with posthole?);13;polychrome;red, decor yellow and white;unknown shape;;;;;y
1052;46;3999;2364;201;Upper silt (unsure);5;small spherical;yellow;pressed spherical;3;3;;;n
1052;46;4202;2475;201;Pink - Post hole;5;small spherical;yellow;fragm;;;;;y
1052;94;3785;2591;201;Upper silt;5;small spherical;yellow;fragm;;;;;y
1052;94;3786;2704;202;Upper silt;15;winding marks;blue;asymmetrical spherical;8;9;3;;y
1052;94;4271;2705;202;Upper silt;6;small spherical;green;pressed spherical;3;4;;;n
1052;94;4264;2711;201;Upper silt;3;double-conical, big;blue;double-conical;11;;;y;y
1052;94;4264;2711;202;Upper silt;6;small spherical;green;spherical;4;1.3;2;;n
1052;94;4469;2861;201;Pink - Work pit;8;multiple;green;double bead, segmented, pressed spherical single bead ;3;4;2;;n
1052;94;4469;2868;201;Pink - Work pit;3;double-conical, big;blue;double-conical;8;7;;;y
1052;94;4469;2874;201;Pink - Work pit;3;double-conical, big;blue;;8;8;3;y;y
1052;94;4469;2874;203;Pink - Work pit;3;double-conical, small;orange;spherical;6;7;3;y;y
1052;66;4374;2875;201;Pink - R;3;double-conical, big;orange;barrel-shaped;7;9;4;y;y
1052;95;4584;2877;201;Upper silt;5;small spherical;yellow;pressed spherical;3;3;;;n
1052;95;4584;2877;202;Upper silt;6;small spherical;green;pressed spherical;3;4;;n;y
1052;67;4374;2879;201;Pink - R;3;double-conical, small;orange;barrel-shaped;7;7;;n;y
1052;67;4593;2885;206;Pink - R;7;multiple;yellow;quintuple bead, segmented, spherical single beads;13;4;1;;y
1052;67;4555;2886;227;Pink - R;14;polychrome;brown, decor yellow and red;cylindrical;14;15;4;y;y
1052;67;4555;2886;228;Pink - R;15;winding marks;red;asymmetrically pressed spherical;8;8;;;n
1052;67;4555;2886;229;Pink - R;9;rectangular;red;rectangular;4;6;2;;n
1052;67;4555;2886;230;Pink - R;;not recognisable;red;;;8;4;n;y
1052;67;4555;2886;232;Pink - R;;not recognisable;red;fragm;;;;;y
1052;67;4555;2886;240;Pink - R;15;winding marks;red;asymmetrically pressed spherical;6;8;5;n;y
1052;95;4585;2888;202;Pink - Pit;15;winding marks;red;asymmetrical round to rectangular, hole not centred;7;10;4;;n
1052;95;4585;2888;203;Pink - Pit;15;winding marks;red;asymmetrical round to rectangular, hole not centred;5;10;4;;n
1052;95;4585;2888;204;Pink - Pit;5;small spherical;yellow;spherical;3;4;;n;y
1052;95;4585;2888;205;Pink - Pit;15;winding marks;red;asymmetrical round to rectangular, hole not centred;6;8;2;;y
1052;95;4585;2888;209;Pink - Pit;5;small spherical;yellow;spherical;3;4;;;y
1052;95;4589;2889;201;Pink - Pit;2;roll-shaped;yellow;barrel-shaped;9;6;2;;n
1052;95;4589;2890;201;Pink - Pit;5;small spherical;yellow;spherical;3;4;;;n
1052;66;4584;2894;201;Upper silt;7;multiple;yellow;triple bead, pressed spherical to spherical single beads ;9;4;;;n
1052;66;4584;2894;202;Upper silt;5;small spherical;yellow;spherical;3;4;;;n
1052;66;4584;2894;203;Upper silt;5;small spherical;yellow;spherical;3;4;;n;y
1052;95;3796;2896;208;Pink - R;7;multiple;yellow;missing piece, two small spherical beads fused together;5;4;;;n
1052;66;4374;2897;201;Pink - R;12;polychrome;white, fallen decor;cylindrical;8;7;4.5;n;y
1052;66;4374;2897;202;Pink - R;5;small spherical;yellow;spherical;5;5;2;;n
1052;66;4374;2897;203;Pink - R;5;small spherical;yellow;pressed spherical;3;;;;y
1052;66;4374;2897;208;Pink - R;6;small spherical;green;spherical;4;4;;;n
1052;66;4374;2897;211;Pink - R;6;small spherical;green;pressed spherical;;;;;y
1052;66;4374;2897;213;Pink - R;5;small spherical;yellow;spherical;3;3;;n;y
1052;66;4374;2897;220;Pink - R;3;barrel-shaped;orange;fragm;;;;;y
