Obj;Field;POS;Context;Number;Phase;HollowGlass;FlatGlass;Splitter;GlassChunk;Droplet;Slag;Tessera;Rod_yellow;Rod_orange;Rod_red;Rod_blue;Rod_white;Rod_greeen;Rod_Molten;Rod_Plychrome;Rod_Length;Rod_Dm;Pontil_yellow;Pontil_orange;Pontil_red;Pontil_bluee;Pontil_white;Pontil_green;OGW_yellow;OGW_orange;OGW_red;OGW_black;OGW_blue;OGW_green;OGW_white;Bead;RV;OvenPiece;Miscellaneous
44;J;17-19 und Gräberfeld;249;xx1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;
851;Pl.Fl 43-46;557;466;201;Pink - R;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1030;14;335;297;xx1;Oberer Silt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1030;8;655;359;xx1;Pink - R;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1030;13;365;399;201;Pink - R;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1030;10;633;441;201;Pink - R;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1030;10;633;441;202;Pink - R;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;12;458;312;201;Verfüllung Grubenhaus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;12;458;312;202;Verfüllung Grubenhaus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;12;602;622;xx1;Verfüllung Grubenhaus;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;
1052;12;602;622;xx2;Verfüllung Grubenhaus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
1052;18;1460;858;201;Oberer Silt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;
1052;19;1072;889;201;Pink -  R;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;18;1072;952;201;Pink -  R;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;18;1072;952;202;Pink -  R;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1052;18;1072;952;203;Pink -  R;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
