plotcode;Mixcode;Block;plot;Orientation;NO3--N [mg/kg];NH4+-N [mg/kg];Nmin [mg/kg];SWC [%];sowndiv;funcgr;numgras;numsherb;numtherb;numleg;grass;sherb;therb;leg;Achmil;Ajurep;Alopra;Antodo;Antsyl;Arrela;Avepub;Belper;Broere;Brohor;Campat;Carcar;Carpra;Cenjac;Cirole;Crebie;Cyncri;Dacglo;Daucar;Fespra;Fesrub;Galmol;Gerpra;Glehed;Hersph;Hollan;Knaarv;Latpra;Leoaut;Leohis;Leuvul;Lotcor;Luzcam;Medlup;Medvar;Onovic;Passat;Phlpra;Pimmaj;Plalan;Plamed;Poapra;Poatri;Priver;Pruvul;Ranacr;Ranrep;Rumace;Sanoff;Taroff;Trapra;Tricam;Tridub;Trifla;Trifra;Trihyb;Tripra;Trirep;Vercha;Viccra;monoculture;replication;eveness;dominance
B1A02;S08M07;B1;A02;NO;1.843585787;1.037780079;2.881365865;21.359;8;2;4;0;4;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B1A03;S08M11;B1;A03;SO;1.587876697;0.529292232;2.117168929;21.256;8;3;3;3;0;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
B1A04;S04M16;B1;A04;NO;1.703703704;0.50617284;2.209876543;23.457;4;4;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B1A05;S02M07;B1;A05;SO;1.336844597;0.185672861;1.522517458;23.039;2;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B1A06;S16M03;B1;A06;NO;1.507145247;0.281823908;1.788969155;23.267;16;2;8;0;8;0;1;0;1;0;1;0;1;1;1;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
B1A07;S02M06;B1;A07;SO;2.959211394;0.388093298;3.347304692;22.249;2;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B1A08;S01M16;B1;A08;NO;2.806863727;0.515791198;3.322654925;19.712;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B1A09;S01M01;B1;A09;SO;2.107820188;0.209549375;2.317369564;22.525;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
B1A11;S16M14;B1;A11;SO;3.60472358;0.568530229;4.173253809;20.238;16;1;0;0;16;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;1;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
B1A12;S08M04;B1;A12;SW;4.694508816;0.504785894;5.19929471;26.196;8;1;0;0;0;8;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0
