#,Created At,Updated At,if_Drehmoment,Drehmoment,Image_gewinde,Note_gewinde,Header,if_MV,Image_MV_without,Image_MV_with,if_Prüfen,Image_prüfen,Prüfen_woot
1,2023-11-16T22:22:26.173Z,2023-11-16T22:22:26.173Z,null,undefined,undefined ,undefined ,undefined,undefined,undefined,undefined,true,x.png,8. Elefantenhaut / Unebenheit
2,2023-11-16T22:30:43.819Z,2023-11-16T22:30:43.819Z,null,undefined,undefined ,undefined ,undefined,undefined,undefined,undefined,false,undefined,undefined
3,2023-11-16T22:37:13.094Z,2023-11-16T22:37:13.094Z,null,undefined,undefined ,undefined ,undefined,undefined,undefined,undefined,false,undefined,undefined
4,2023-11-16T22:51:28.921Z,2023-11-16T22:51:28.921Z,null,undefined,undefined ,undefined ,undefined,undefined,undefined,undefined,true,x.png,"2. Brennerspuren / (braune) Schlieren, 11. Bruch / Verzug"
5,2023-11-16T22:59:25.489Z,2023-11-16T22:59:25.489Z,null,undefined,undefined ,undefined ,undefined,undefined,undefined,undefined,false,undefined,undefined
6,2023-11-16T23:09:56.096Z,2023-11-16T23:09:56.096Z,null,undefined,undefined ,undefined ,undefined,undefined,undefined,undefined,false,undefined,undefined
7,2023-11-16T23:32:37.340Z,2023-11-16T23:32:37.340Z,null,undefined,undefined ,undefined ,undefined,undefined,undefined,undefined,false,undefined,undefined
8,2023-11-16T23:37:12.434Z,2023-11-16T23:37:12.434Z,null,undefined,undefined ,undefined ,undefined,undefined,undefined,undefined,false,undefined,undefined
9,2023-11-17T00:00:34.415Z,2023-11-17T00:00:34.415Z,null,undefined,undefined ,undefined ,undefined,undefined,undefined,undefined,true,x.png,11. Bruch / Verzug
10,2023-11-17T00:21:43.169Z,2023-11-17T00:21:43.169Z,true,2,x.png ,1 mm vertieft,false,true,x2.png,x3.png,false,undefined,undefined
