#,Created At,Updated At,if_Vp,vp_count_layer_pcs,vp_count_layer,vp_count_layer2
1,2023-11-16T22:22:27.123Z,2023-11-16T22:22:27.123Z,true ,100,1,0
2,2023-11-16T22:30:44.608Z,2023-11-16T22:30:44.608Z,true ,100,1,0
3,2023-11-16T22:37:14.340Z,2023-11-16T22:37:14.340Z,true ,16,3,0
4,2023-11-16T22:51:30.722Z,2023-11-16T22:51:30.722Z,true ,60,3,0
5,2023-11-16T22:59:27.379Z,2023-11-16T22:59:27.379Z,true ,9,9,0
6,2023-11-16T23:10:00.334Z,2023-11-16T23:10:00.334Z,true ,21,21,3
7,2023-11-16T23:32:37.975Z,2023-11-16T23:32:37.975Z,true ,21,3,12
8,2023-11-16T23:37:13.353Z,2023-11-16T23:37:13.353Z,false ,undefined,undefined,undefined
9,2023-11-17T00:00:35.455Z,2023-11-17T00:00:35.455Z,true ,42,2,0
10,2023-11-17T00:21:45.524Z,2023-11-17T00:21:45.524Z,false ,undefined,undefined,undefined
