study_id,participant_id,phase,condition,hit,fa
1,1,conditioning,CSm,0.63,0.21
1,1,conditioning,CSp,0.72,0.14
1,1,post-conditioning,CSm,0.6,0.21
1,1,post-conditioning,CSp,0.67,0.14
1,1,pre-conditioning,CSm,0.87,0.21
1,1,pre-conditioning,CSp,0.7,0.14
1,2,conditioning,CSm,0.63,0.23
1,2,conditioning,CSp,0.83,0.17
1,2,post-conditioning,CSm,0.63,0.23
1,2,post-conditioning,CSp,0.7,0.17
1,2,pre-conditioning,CSm,0.87,0.23
1,2,pre-conditioning,CSp,0.5,0.17
1,3,conditioning,CSm,0.57,0.17
1,3,conditioning,CSp,0.73,0.24
1,3,post-conditioning,CSm,0.47,0.17
1,3,post-conditioning,CSp,0.6,0.24
1,3,pre-conditioning,CSm,0.67,0.17
1,3,pre-conditioning,CSp,0.8,0.24
1,4,conditioning,CSm,0.73,0.19
1,4,conditioning,CSp,0.63,0.2
1,4,post-conditioning,CSm,0.67,0.19
1,4,post-conditioning,CSp,0.63,0.2
1,4,pre-conditioning,CSm,0.87,0.19
1,4,pre-conditioning,CSp,0.6,0.2
1,5,conditioning,CSm,0.7,0.03
1,5,conditioning,CSp,0.63,0.04
1,5,post-conditioning,CSm,0.63,0.03
1,5,post-conditioning,CSp,0.5,0.04
1,5,pre-conditioning,CSm,0.67,0.03
1,5,pre-conditioning,CSp,0.67,0.04
1,6,conditioning,CSm,0.87,0.31
1,6,conditioning,CSp,0.83,0.24
1,6,post-conditioning,CSm,0.57,0.31
1,6,post-conditioning,CSp,0.53,0.24
1,6,pre-conditioning,CSm,0.73,0.31
1,6,pre-conditioning,CSp,0.7,0.24
1,7,conditioning,CSm,0.83,0.2
1,7,conditioning,CSp,0.77,0.29
1,7,post-conditioning,CSm,0.63,0.2
1,7,post-conditioning,CSp,0.77,0.29
1,7,pre-conditioning,CSm,0.73,0.2
1,7,pre-conditioning,CSp,0.73,0.29
1,8,conditioning,CSm,0.73,0.17
1,8,conditioning,CSp,0.87,0.22
1,8,post-conditioning,CSm,0.63,0.17
1,8,post-conditioning,CSp,0.8,0.22
1,8,pre-conditioning,CSm,0.77,0.17
1,8,pre-conditioning,CSp,0.7,0.22
1,9,conditioning,CSm,0.9,0.54
1,9,conditioning,CSp,0.73,0.26
1,9,post-conditioning,CSm,0.77,0.54
1,9,post-conditioning,CSp,0.57,0.26
1,9,pre-conditioning,CSm,0.83,0.54
1,9,pre-conditioning,CSp,0.83,0.26
1,10,conditioning,CSm,0.7,0.39
1,10,conditioning,CSp,0.57,0.24
1,10,post-conditioning,CSm,0.67,0.39
1,10,post-conditioning,CSp,0.47,0.24
1,10,pre-conditioning,CSm,0.93,0.39
1,10,pre-conditioning,CSp,0.67,0.24
1,11,conditioning,CSm,0.77,0.23
1,11,conditioning,CSp,0.93,0.21
1,11,post-conditioning,CSm,0.57,0.23
1,11,post-conditioning,CSp,0.87,0.21
1,11,pre-conditioning,CSm,0.7,0.23
1,11,pre-conditioning,CSp,0.86,0.21
1,12,conditioning,CSm,0.5,0.34
1,12,conditioning,CSp,0.4,0.28
1,12,post-conditioning,CSm,0.5,0.34
1,12,post-conditioning,CSp,0.43,0.28
1,12,pre-conditioning,CSm,0.6,0.34
1,12,pre-conditioning,CSp,0.53,0.28
1,13,conditioning,CSm,0.3,0.12
1,13,conditioning,CSp,0.67,0.15
1,13,post-conditioning,CSm,0.2,0.12
1,13,post-conditioning,CSp,0.53,0.15
1,13,pre-conditioning,CSm,0.4,0.12
1,13,pre-conditioning,CSp,0.52,0.15
1,14,conditioning,CSm,0.6,0.23
1,14,conditioning,CSp,0.8,0.3
1,14,post-conditioning,CSm,0.77,0.23
1,14,post-conditioning,CSp,0.8,0.3
1,14,pre-conditioning,CSm,0.9,0.23
1,14,pre-conditioning,CSp,0.97,0.3
1,15,conditioning,CSm,0.6,0.14
1,15,conditioning,CSp,0.77,0.14
1,15,post-conditioning,CSm,0.6,0.14
1,15,post-conditioning,CSp,0.6,0.14
1,15,pre-conditioning,CSm,0.6,0.14
1,15,pre-conditioning,CSp,0.8,0.14
1,16,conditioning,CSm,0.47,0.08
1,16,conditioning,CSp,0.57,0.21
1,16,post-conditioning,CSm,0.57,0.08
1,16,post-conditioning,CSp,0.73,0.21
1,16,pre-conditioning,CSm,0.63,0.08
1,16,pre-conditioning,CSp,0.9,0.21
1,17,conditioning,CSm,0.63,0.11
1,17,conditioning,CSp,0.97,0.13
1,17,post-conditioning,CSm,0.83,0.11
1,17,post-conditioning,CSp,0.73,0.13
1,17,pre-conditioning,CSm,0.9,0.11
1,17,pre-conditioning,CSp,0.8,0.13
1,18,conditioning,CSm,0.7,0.17
1,18,conditioning,CSp,0.9,0.4
1,18,post-conditioning,CSm,0.73,0.17
1,18,post-conditioning,CSp,0.73,0.4
1,18,pre-conditioning,CSm,0.73,0.17
1,18,pre-conditioning,CSp,0.9,0.4
1,19,conditioning,CSm,0.87,0.41
1,19,conditioning,CSp,0.93,0.51
1,19,post-conditioning,CSm,0.83,0.41
1,19,post-conditioning,CSp,0.93,0.51
1,19,pre-conditioning,CSm,0.7,0.41
1,19,pre-conditioning,CSp,0.87,0.51
1,20,conditioning,CSm,0.53,0.18
1,20,conditioning,CSp,0.7,0.19
1,20,post-conditioning,CSm,0.7,0.18
1,20,post-conditioning,CSp,0.73,0.19
1,20,pre-conditioning,CSm,0.6,0.18
1,20,pre-conditioning,CSp,0.83,0.19
1,21,conditioning,CSm,0.67,0.43
1,21,conditioning,CSp,0.63,0.3
1,21,post-conditioning,CSm,0.73,0.43
1,21,post-conditioning,CSp,0.73,0.3
1,21,pre-conditioning,CSm,0.7,0.43
1,21,pre-conditioning,CSp,0.87,0.3
1,22,conditioning,CSm,0.53,0.16
1,22,conditioning,CSp,0.77,0.17
1,22,post-conditioning,CSm,0.4,0.16
1,22,post-conditioning,CSp,0.73,0.17
1,22,pre-conditioning,CSm,0.73,0.16
1,22,pre-conditioning,CSp,0.73,0.17
1,23,conditioning,CSm,0.53,0.18
1,23,conditioning,CSp,0.4,0.2
1,23,post-conditioning,CSm,0.73,0.18
1,23,post-conditioning,CSp,0.67,0.2
1,23,pre-conditioning,CSm,0.6,0.18
1,23,pre-conditioning,CSp,0.77,0.2
1,24,conditioning,CSm,0.97,0.43
1,24,conditioning,CSp,0.63,0.28
1,24,post-conditioning,CSm,0.9,0.43
1,24,post-conditioning,CSp,0.73,0.28
1,24,pre-conditioning,CSm,0.93,0.43
1,24,pre-conditioning,CSp,0.83,0.28
1,25,conditioning,CSm,0.7,0.27
1,25,conditioning,CSp,0.9,0.38
1,25,post-conditioning,CSm,0.43,0.27
1,25,post-conditioning,CSp,0.67,0.38
1,25,pre-conditioning,CSm,0.7,0.27
1,25,pre-conditioning,CSp,0.77,0.38
1,26,conditioning,CSm,0.77,0.37
1,26,conditioning,CSp,0.53,0.44
1,26,post-conditioning,CSm,0.73,0.37
1,26,post-conditioning,CSp,0.67,0.44
1,26,pre-conditioning,CSm,0.73,0.37
1,26,pre-conditioning,CSp,0.7,0.44
1,27,conditioning,CSm,0.63,0.37
1,27,conditioning,CSp,0.63,0.43
1,27,post-conditioning,CSm,0.57,0.37
1,27,post-conditioning,CSp,0.57,0.43
1,27,pre-conditioning,CSm,0.63,0.37
1,27,pre-conditioning,CSp,0.47,0.43
1,28,conditioning,CSm,0.83,0.16
1,28,conditioning,CSp,0.9,0.31
1,28,post-conditioning,CSm,0.83,0.16
1,28,post-conditioning,CSp,0.87,0.31
1,28,pre-conditioning,CSm,0.83,0.16
1,28,pre-conditioning,CSp,0.97,0.31
1,29,conditioning,CSm,0.48,0.3
1,29,conditioning,CSp,0.52,0.32
1,29,post-conditioning,CSm,0.57,0.3
1,29,post-conditioning,CSp,0.67,0.32
1,29,pre-conditioning,CSm,0.6,0.3
1,29,pre-conditioning,CSp,0.83,0.32
1,30,conditioning,CSm,0.37,0.07
1,30,conditioning,CSp,0.87,0.31
1,30,post-conditioning,CSm,0.23,0.07
1,30,post-conditioning,CSp,0.8,0.31
1,30,pre-conditioning,CSm,0.5,0.07
1,30,pre-conditioning,CSp,0.83,0.31
1,31,conditioning,CSm,0.57,0.13
1,31,conditioning,CSp,0.8,0.33
1,31,post-conditioning,CSm,0.67,0.13
1,31,post-conditioning,CSp,0.77,0.33
1,31,pre-conditioning,CSm,0.6,0.13
1,31,pre-conditioning,CSp,0.77,0.33
1,32,conditioning,CSm,0.37,0.13
1,32,conditioning,CSp,0.6,0.23
1,32,post-conditioning,CSm,0.33,0.13
1,32,post-conditioning,CSp,0.93,0.23
1,32,pre-conditioning,CSm,0.53,0.13
1,32,pre-conditioning,CSp,0.6,0.23
1,33,conditioning,CSm,0.53,0.27
1,33,conditioning,CSp,0.83,0.19
1,33,post-conditioning,CSm,0.57,0.27
1,33,post-conditioning,CSp,0.53,0.19
1,33,pre-conditioning,CSm,0.87,0.27
1,33,pre-conditioning,CSp,0.7,0.19
1,34,conditioning,CSm,0.77,0.48
1,34,conditioning,CSp,0.77,0.17
1,34,post-conditioning,CSm,0.67,0.48
1,34,post-conditioning,CSp,0.53,0.17
1,34,pre-conditioning,CSm,0.73,0.48
1,34,pre-conditioning,CSp,0.62,0.17
1,35,conditioning,CSm,0.6,0
1,35,conditioning,CSp,0.6,0.1
1,35,post-conditioning,CSm,0.7,0
1,35,post-conditioning,CSp,0.67,0.1
1,35,pre-conditioning,CSm,0.8,0
1,35,pre-conditioning,CSp,0.7,0.1
1,36,conditioning,CSm,0.73,0.2
1,36,conditioning,CSp,0.73,0.14
1,36,post-conditioning,CSm,0.76,0.2
1,36,post-conditioning,CSp,0.7,0.14
1,36,pre-conditioning,CSm,0.77,0.2
1,36,pre-conditioning,CSp,0.7,0.14
1,37,conditioning,CSm,0.83,0.27
1,37,conditioning,CSp,0.6,0.11
1,37,post-conditioning,CSm,0.5,0.27
1,37,post-conditioning,CSp,0.48,0.11
1,37,pre-conditioning,CSm,0.67,0.27
1,37,pre-conditioning,CSp,0.7,0.11
1,38,conditioning,CSm,0.73,0.48
1,38,conditioning,CSp,0.7,0.26
1,38,post-conditioning,CSm,0.57,0.48
1,38,post-conditioning,CSp,0.7,0.26
1,38,pre-conditioning,CSm,0.7,0.48
1,38,pre-conditioning,CSp,0.9,0.26
1,39,conditioning,CSm,0.57,0.27
1,39,conditioning,CSp,0.53,0.33
1,39,post-conditioning,CSm,0.57,0.27
1,39,post-conditioning,CSp,0.67,0.33
1,39,pre-conditioning,CSm,0.8,0.27
1,39,pre-conditioning,CSp,0.76,0.33
1,40,conditioning,CSm,0.87,0.28
1,40,conditioning,CSp,0.73,0.26
1,40,post-conditioning,CSm,0.87,0.28
1,40,post-conditioning,CSp,0.9,0.26
1,40,pre-conditioning,CSm,0.9,0.28
1,40,pre-conditioning,CSp,0.83,0.26
1,41,conditioning,CSm,0.73,0.18
1,41,conditioning,CSp,0.87,0.32
1,41,post-conditioning,CSm,0.6,0.18
1,41,post-conditioning,CSp,0.57,0.32
1,41,pre-conditioning,CSm,0.83,0.18
1,41,pre-conditioning,CSp,0.77,0.32
1,42,conditioning,CSm,0.7,0.36
1,42,conditioning,CSp,0.83,0.27
1,42,post-conditioning,CSm,0.7,0.36
1,42,post-conditioning,CSp,0.77,0.27
1,42,pre-conditioning,CSm,0.87,0.36
1,42,pre-conditioning,CSp,0.87,0.27
1,43,conditioning,CSm,0.57,0.26
1,43,conditioning,CSp,0.8,0.28
1,43,post-conditioning,CSm,0.77,0.26
1,43,post-conditioning,CSp,0.5,0.28
1,43,pre-conditioning,CSm,0.7,0.26
1,43,pre-conditioning,CSp,0.67,0.28
1,44,conditioning,CSm,0.93,0.1
1,44,conditioning,CSp,0.87,0.13
1,44,post-conditioning,CSm,0.63,0.1
1,44,post-conditioning,CSp,0.7,0.13
1,44,pre-conditioning,CSm,0.83,0.1
1,44,pre-conditioning,CSp,0.8,0.13
2,45,conditioning,CSm,0.53,0.11
2,45,conditioning,CSp,0.83,0.26
2,45,post-conditioning,CSm,0.27,0.11
2,45,post-conditioning,CSp,0.33,0.26
2,45,pre-conditioning,CSm,0.63,0.11
2,45,pre-conditioning,CSp,0.7,0.26
2,46,conditioning,CSm,0.4,0.06
2,46,conditioning,CSp,0.5,0.17
2,46,post-conditioning,CSm,0.67,0.06
2,46,post-conditioning,CSp,0.67,0.17
2,46,pre-conditioning,CSm,0.4,0.06
2,46,pre-conditioning,CSp,0.6,0.17
2,47,conditioning,CSm,0.47,0.21
2,47,conditioning,CSp,0.83,0.13
2,47,post-conditioning,CSm,0.4,0.21
2,47,post-conditioning,CSp,0.6,0.13
2,47,pre-conditioning,CSm,0.63,0.21
2,47,pre-conditioning,CSp,0.77,0.13
2,48,conditioning,CSm,0.63,0.39
2,48,conditioning,CSp,0.77,0.27
2,48,post-conditioning,CSm,0.47,0.39
2,48,post-conditioning,CSp,0.57,0.27
2,48,pre-conditioning,CSm,0.9,0.39
2,48,pre-conditioning,CSp,0.73,0.27
2,49,conditioning,CSm,0.5,0.13
2,49,conditioning,CSp,0.93,0.24
2,49,post-conditioning,CSm,0.63,0.13
2,49,post-conditioning,CSp,0.63,0.24
2,49,pre-conditioning,CSm,0.73,0.13
2,49,pre-conditioning,CSp,0.97,0.24
2,50,conditioning,CSm,0.57,0.18
2,50,conditioning,CSp,0.63,0.28
2,50,post-conditioning,CSm,0.53,0.18
2,50,post-conditioning,CSp,0.57,0.28
2,50,pre-conditioning,CSm,0.73,0.18
2,50,pre-conditioning,CSp,0.6,0.28
2,51,conditioning,CSm,0.7,0.1
2,51,conditioning,CSp,0.9,0.1
2,51,post-conditioning,CSm,0.43,0.1
2,51,post-conditioning,CSp,0.67,0.1
2,51,pre-conditioning,CSm,0.17,0.1
2,51,pre-conditioning,CSp,0.57,0.1
2,52,conditioning,CSm,0.23,0.11
2,52,conditioning,CSp,0.73,0.23
2,52,post-conditioning,CSm,0.2,0.11
2,52,post-conditioning,CSp,0.43,0.23
2,52,pre-conditioning,CSm,0.4,0.11
2,52,pre-conditioning,CSp,0.43,0.23
2,53,conditioning,CSm,0.57,0.09
2,53,conditioning,CSp,0.8,0.38
2,53,post-conditioning,CSm,0.6,0.09
2,53,post-conditioning,CSp,0.53,0.38
2,53,pre-conditioning,CSm,0.8,0.09
2,53,pre-conditioning,CSp,0.87,0.38
2,54,conditioning,CSm,0.77,0.17
2,54,conditioning,CSp,0.4,0.14
2,54,post-conditioning,CSm,0.43,0.17
2,54,post-conditioning,CSp,0.4,0.14
2,54,pre-conditioning,CSm,0.47,0.17
2,54,pre-conditioning,CSp,0.5,0.14
2,55,conditioning,CSm,0.8,0.32
2,55,conditioning,CSp,0.77,0.26
2,55,post-conditioning,CSm,0.73,0.32
2,55,post-conditioning,CSp,0.67,0.26
2,55,pre-conditioning,CSm,0.7,0.32
2,55,pre-conditioning,CSp,0.7,0.26
2,56,conditioning,CSm,0.47,0.26
2,56,conditioning,CSp,0.4,0.27
2,56,post-conditioning,CSm,0.3,0.26
2,56,post-conditioning,CSp,0.4,0.27
2,56,pre-conditioning,CSm,0.53,0.26
2,56,pre-conditioning,CSp,0.23,0.27
2,57,conditioning,CSm,0.67,0.12
2,57,conditioning,CSp,0.47,0.23
2,57,post-conditioning,CSm,0.63,0.12
2,57,post-conditioning,CSp,0.6,0.23
2,57,pre-conditioning,CSm,0.67,0.12
2,57,pre-conditioning,CSp,0.7,0.23
2,58,conditioning,CSm,0.97,0.6
2,58,conditioning,CSp,0.87,0.14
2,58,post-conditioning,CSm,0.87,0.6
2,58,post-conditioning,CSp,0.77,0.14
2,58,pre-conditioning,CSm,0.97,0.6
2,58,pre-conditioning,CSp,0.87,0.14
2,59,conditioning,CSm,0.67,0.28
2,59,conditioning,CSp,0.93,0.28
2,59,post-conditioning,CSm,0.67,0.28
2,59,post-conditioning,CSp,0.6,0.28
2,59,pre-conditioning,CSm,0.9,0.28
2,59,pre-conditioning,CSp,0.5,0.28
2,60,conditioning,CSm,0.63,0.37
2,60,conditioning,CSp,0.67,0.43
2,60,post-conditioning,CSm,0.4,0.37
2,60,post-conditioning,CSp,0.43,0.43
2,60,pre-conditioning,CSm,0.63,0.37
2,60,pre-conditioning,CSp,0.5,0.43
2,61,conditioning,CSm,0.5,0.34
2,61,conditioning,CSp,0.6,0.14
2,61,post-conditioning,CSm,0.57,0.34
2,61,post-conditioning,CSp,0.33,0.14
2,61,pre-conditioning,CSm,0.7,0.34
2,61,pre-conditioning,CSp,0.53,0.14
2,62,conditioning,CSm,0.77,0.32
2,62,conditioning,CSp,0.7,0.22
2,62,post-conditioning,CSm,0.7,0.32
2,62,post-conditioning,CSp,0.57,0.22
2,62,pre-conditioning,CSm,0.77,0.32
2,62,pre-conditioning,CSp,0.7,0.22
2,63,conditioning,CSm,0.4,0.18
2,63,conditioning,CSp,0.5,0.37
2,63,post-conditioning,CSm,0.5,0.18
2,63,post-conditioning,CSp,0.7,0.37
2,63,pre-conditioning,CSm,0.3,0.18
2,63,pre-conditioning,CSp,0.57,0.37
2,64,conditioning,CSm,0.47,0.19
2,64,conditioning,CSp,0.67,0.29
2,64,post-conditioning,CSm,0.23,0.19
2,64,post-conditioning,CSp,0.5,0.29
2,64,pre-conditioning,CSm,0.5,0.19
2,64,pre-conditioning,CSp,0.47,0.29
2,65,conditioning,CSm,0.5,0.22
2,65,conditioning,CSp,0.67,0.37
2,65,post-conditioning,CSm,0.4,0.22
2,65,post-conditioning,CSp,0.63,0.37
2,65,pre-conditioning,CSm,0.47,0.22
2,65,pre-conditioning,CSp,0.57,0.37
2,66,conditioning,CSm,0.47,0.08
2,66,conditioning,CSp,0.77,0.24
2,66,post-conditioning,CSm,0.37,0.08
2,66,post-conditioning,CSp,0.7,0.24
2,66,pre-conditioning,CSm,0.63,0.08
2,66,pre-conditioning,CSp,0.87,0.24
2,67,conditioning,CSm,0.53,0.3
2,67,conditioning,CSp,0.53,0.1
2,67,post-conditioning,CSm,0.5,0.3
2,67,post-conditioning,CSp,0.43,0.1
2,67,pre-conditioning,CSm,0.63,0.3
2,67,pre-conditioning,CSp,0.7,0.1
2,68,conditioning,CSm,0.33,0.12
2,68,conditioning,CSp,0.5,0.24
2,68,post-conditioning,CSm,0.3,0.12
2,68,post-conditioning,CSp,0.6,0.24
2,68,pre-conditioning,CSm,0.5,0.12
2,68,pre-conditioning,CSp,0.73,0.24
2,69,conditioning,CSm,0.7,0.28
2,69,conditioning,CSp,0.6,0.13
2,69,post-conditioning,CSm,0.53,0.28
2,69,post-conditioning,CSp,0.6,0.13
2,69,pre-conditioning,CSm,0.6,0.28
2,69,pre-conditioning,CSp,0.63,0.13
2,70,conditioning,CSm,0.47,0.19
2,70,conditioning,CSp,0.3,0.06
2,70,post-conditioning,CSm,0.57,0.19
2,70,post-conditioning,CSp,0.67,0.06
2,70,pre-conditioning,CSm,0.77,0.19
2,70,pre-conditioning,CSp,0.67,0.06
2,71,conditioning,CSm,0.7,0.33
2,71,conditioning,CSp,0.5,0.11
2,71,post-conditioning,CSm,0.73,0.33
2,71,post-conditioning,CSp,0.6,0.11
2,71,pre-conditioning,CSm,0.77,0.33
2,71,pre-conditioning,CSp,0.83,0.11
2,72,conditioning,CSm,0.87,0.31
2,72,conditioning,CSp,0.9,0.26
2,72,post-conditioning,CSm,0.77,0.31
2,72,post-conditioning,CSp,0.77,0.26
2,72,pre-conditioning,CSm,0.53,0.31
2,72,pre-conditioning,CSp,0.77,0.26
2,73,conditioning,CSm,0.67,0.43
2,73,conditioning,CSp,0.3,0.06
2,73,post-conditioning,CSm,0.6,0.43
2,73,post-conditioning,CSp,0.33,0.06
2,73,pre-conditioning,CSm,0.73,0.43
2,73,pre-conditioning,CSp,0.4,0.06
2,74,conditioning,CSm,0.37,0.46
2,74,conditioning,CSp,0.27,0.34
