study_id,participant_id,phase,condition,hit,fa
2,001,conditioning,CSm,0.53,0.11
2,001,conditioning,CSp,0.83,0.26
2,001,post-conditioning,CSm,0.27,0.11
2,001,post-conditioning,CSp,0.33,0.26
2,001,pre-conditioning,CSm,0.63,0.11
2,001,pre-conditioning,CSp,0.7,0.26
2,002,conditioning,CSm,0.4,0.06
2,002,conditioning,CSp,0.5,0.17
2,002,post-conditioning,CSm,0.67,0.06
2,002,post-conditioning,CSp,0.67,0.17
2,002,pre-conditioning,CSm,0.4,0.06
2,002,pre-conditioning,CSp,0.6,0.17
2,003,conditioning,CSm,0.47,0.21
2,003,conditioning,CSp,0.83,0.13
2,003,post-conditioning,CSm,0.4,0.21
2,003,post-conditioning,CSp,0.6,0.13
2,003,pre-conditioning,CSm,0.63,0.21
2,003,pre-conditioning,CSp,0.77,0.13
2,004,conditioning,CSm,0.63,0.39
2,004,conditioning,CSp,0.77,0.27
2,004,post-conditioning,CSm,0.47,0.39
2,004,post-conditioning,CSp,0.57,0.27
2,004,pre-conditioning,CSm,0.9,0.39
2,004,pre-conditioning,CSp,0.73,0.27
2,005,conditioning,CSm,0.5,0.13
2,005,conditioning,CSp,0.93,0.24
2,005,post-conditioning,CSm,0.63,0.13
2,005,post-conditioning,CSp,0.63,0.24
2,005,pre-conditioning,CSm,0.73,0.13
2,005,pre-conditioning,CSp,0.97,0.24
2,006,conditioning,CSm,0.57,0.18
2,006,conditioning,CSp,0.63,0.28
2,006,post-conditioning,CSm,0.53,0.18
2,006,post-conditioning,CSp,0.57,0.28
2,006,pre-conditioning,CSm,0.73,0.18
2,006,pre-conditioning,CSp,0.6,0.28
2,007,conditioning,CSm,0.7,0.1
2,007,conditioning,CSp,0.9,0.1
2,007,post-conditioning,CSm,0.43,0.1
2,007,post-conditioning,CSp,0.67,0.1
2,007,pre-conditioning,CSm,0.17,0.1
2,007,pre-conditioning,CSp,0.57,0.1
2,008,conditioning,CSm,0.23,0.11
2,008,conditioning,CSp,0.73,0.23
2,008,post-conditioning,CSm,0.2,0.11
2,008,post-conditioning,CSp,0.43,0.23
2,008,pre-conditioning,CSm,0.4,0.11
2,008,pre-conditioning,CSp,0.43,0.23
2,009,conditioning,CSm,0.57,0.09
2,009,conditioning,CSp,0.8,0.38
2,009,post-conditioning,CSm,0.6,0.09
2,009,post-conditioning,CSp,0.53,0.38
2,009,pre-conditioning,CSm,0.8,0.09
2,009,pre-conditioning,CSp,0.87,0.38
2,010,conditioning,CSm,0.77,0.17
2,010,conditioning,CSp,0.4,0.14
2,010,post-conditioning,CSm,0.43,0.17
2,010,post-conditioning,CSp,0.4,0.14
2,010,pre-conditioning,CSm,0.47,0.17
2,010,pre-conditioning,CSp,0.5,0.14
2,011,conditioning,CSm,0.8,0.32
2,011,conditioning,CSp,0.77,0.26
2,011,post-conditioning,CSm,0.73,0.32
2,011,post-conditioning,CSp,0.67,0.26
2,011,pre-conditioning,CSm,0.7,0.32
2,011,pre-conditioning,CSp,0.7,0.26
2,012,conditioning,CSm,0.47,0.26
2,012,conditioning,CSp,0.4,0.27
2,012,post-conditioning,CSm,0.3,0.26
2,012,post-conditioning,CSp,0.4,0.27
2,012,pre-conditioning,CSm,0.53,0.26
2,012,pre-conditioning,CSp,0.23,0.27
2,013,conditioning,CSm,0.67,0.12
2,013,conditioning,CSp,0.47,0.23
2,013,post-conditioning,CSm,0.63,0.12
2,013,post-conditioning,CSp,0.6,0.23
2,013,pre-conditioning,CSm,0.67,0.12
2,013,pre-conditioning,CSp,0.7,0.23
2,014,conditioning,CSm,0.97,0.6
2,014,conditioning,CSp,0.87,0.14
2,014,post-conditioning,CSm,0.87,0.6
2,014,post-conditioning,CSp,0.77,0.14
2,014,pre-conditioning,CSm,0.97,0.6
2,014,pre-conditioning,CSp,0.87,0.14
2,015,conditioning,CSm,0.67,0.28
2,015,conditioning,CSp,0.93,0.28
2,015,post-conditioning,CSm,0.67,0.28
2,015,post-conditioning,CSp,0.6,0.28
2,015,pre-conditioning,CSm,0.9,0.28
2,015,pre-conditioning,CSp,0.5,0.28
2,016,conditioning,CSm,0.63,0.37
2,016,conditioning,CSp,0.67,0.43
2,016,post-conditioning,CSm,0.4,0.37
2,016,post-conditioning,CSp,0.43,0.43
2,016,pre-conditioning,CSm,0.63,0.37
2,016,pre-conditioning,CSp,0.5,0.43
2,017,conditioning,CSm,0.5,0.34
2,017,conditioning,CSp,0.6,0.14
2,017,post-conditioning,CSm,0.57,0.34
2,017,post-conditioning,CSp,0.33,0.14
2,017,pre-conditioning,CSm,0.7,0.34
2,017,pre-conditioning,CSp,0.53,0.14
2,018,conditioning,CSm,0.77,0.32
2,018,conditioning,CSp,0.7,0.22
2,018,post-conditioning,CSm,0.7,0.32
2,018,post-conditioning,CSp,0.57,0.22
2,018,pre-conditioning,CSm,0.77,0.32
2,018,pre-conditioning,CSp,0.7,0.22
2,019,conditioning,CSm,0.4,0.18
2,019,conditioning,CSp,0.5,0.37
2,019,post-conditioning,CSm,0.5,0.18
2,019,post-conditioning,CSp,0.7,0.37
2,019,pre-conditioning,CSm,0.3,0.18
2,019,pre-conditioning,CSp,0.57,0.37
2,020,conditioning,CSm,0.47,0.19
2,020,conditioning,CSp,0.67,0.29
2,020,post-conditioning,CSm,0.23,0.19
2,020,post-conditioning,CSp,0.5,0.29
2,020,pre-conditioning,CSm,0.5,0.19
2,020,pre-conditioning,CSp,0.47,0.29
2,021,conditioning,CSm,0.5,0.22
2,021,conditioning,CSp,0.67,0.37
2,021,post-conditioning,CSm,0.4,0.22
2,021,post-conditioning,CSp,0.63,0.37
2,021,pre-conditioning,CSm,0.47,0.22
2,021,pre-conditioning,CSp,0.57,0.37
2,022,conditioning,CSm,0.47,0.08
2,022,conditioning,CSp,0.77,0.24
2,022,post-conditioning,CSm,0.37,0.08
2,022,post-conditioning,CSp,0.7,0.24
2,022,pre-conditioning,CSm,0.63,0.08
2,022,pre-conditioning,CSp,0.87,0.24
2,023,conditioning,CSm,0.53,0.3
2,023,conditioning,CSp,0.53,0.1
2,023,post-conditioning,CSm,0.5,0.3
2,023,post-conditioning,CSp,0.43,0.1
2,023,pre-conditioning,CSm,0.63,0.3
2,023,pre-conditioning,CSp,0.7,0.1
2,024,conditioning,CSm,0.33,0.12
2,024,conditioning,CSp,0.5,0.24
2,024,post-conditioning,CSm,0.3,0.12
2,024,post-conditioning,CSp,0.6,0.24
2,024,pre-conditioning,CSm,0.5,0.12
2,024,pre-conditioning,CSp,0.73,0.24
2,025,conditioning,CSm,0.7,0.28
2,025,conditioning,CSp,0.6,0.13
2,025,post-conditioning,CSm,0.53,0.28
2,025,post-conditioning,CSp,0.6,0.13
2,025,pre-conditioning,CSm,0.6,0.28
2,025,pre-conditioning,CSp,0.63,0.13
2,026,conditioning,CSm,0.47,0.19
2,026,conditioning,CSp,0.3,0.06
2,026,post-conditioning,CSm,0.57,0.19
2,026,post-conditioning,CSp,0.67,0.06
2,026,pre-conditioning,CSm,0.77,0.19
2,026,pre-conditioning,CSp,0.67,0.06
2,027,conditioning,CSm,0.7,0.33
2,027,conditioning,CSp,0.5,0.11
2,027,post-conditioning,CSm,0.73,0.33
2,027,post-conditioning,CSp,0.6,0.11
2,027,pre-conditioning,CSm,0.77,0.33
2,027,pre-conditioning,CSp,0.83,0.11
2,028,conditioning,CSm,0.87,0.31
2,028,conditioning,CSp,0.9,0.26
2,028,post-conditioning,CSm,0.77,0.31
2,028,post-conditioning,CSp,0.77,0.26
2,028,pre-conditioning,CSm,0.53,0.31
2,028,pre-conditioning,CSp,0.77,0.26
2,029,conditioning,CSm,0.67,0.43
2,029,conditioning,CSp,0.3,0.06
2,029,post-conditioning,CSm,0.6,0.43
2,029,post-conditioning,CSp,0.33,0.06
2,029,pre-conditioning,CSm,0.73,0.43
2,029,pre-conditioning,CSp,0.4,0.06
2,030,conditioning,CSm,0.37,0.46
2,030,conditioning,CSp,0.27,0.34
2,030,post-conditioning,CSm,0.43,0.46
2,030,post-conditioning,CSp,0.33,0.34
2,030,pre-conditioning,CSm,0.5,0.46
2,030,pre-conditioning,CSp,0.37,0.34
2,031,conditioning,CSm,0.63,0.27
2,031,conditioning,CSp,0.67,0.31
2,031,post-conditioning,CSm,0.57,0.27
2,031,post-conditioning,CSp,0.63,0.31
2,031,pre-conditioning,CSm,0.6,0.27
2,031,pre-conditioning,CSp,0.7,0.31
2,032,conditioning,CSm,0.57,0.23
2,032,conditioning,CSp,0.63,0.42
2,032,post-conditioning,CSm,0.73,0.23
2,032,post-conditioning,CSp,0.77,0.42
2,032,pre-conditioning,CSm,0.77,0.23
2,032,pre-conditioning,CSp,0.93,0.42
2,033,conditioning,CSm,0.87,0.4
2,033,conditioning,CSp,0.83,0.37
2,033,post-conditioning,CSm,0.57,0.4
2,033,post-conditioning,CSp,0.4,0.37
2,033,pre-conditioning,CSm,0.67,0.4
2,033,pre-conditioning,CSp,0.7,0.37
2,034,conditioning,CSm,0.63,0.26
2,034,conditioning,CSp,0.77,0.26
2,034,post-conditioning,CSm,0.8,0.26
2,034,post-conditioning,CSp,0.83,0.26
2,034,pre-conditioning,CSm,0.77,0.26
2,034,pre-conditioning,CSp,0.77,0.26
2,035,conditioning,CSm,0.47,0.31
2,035,conditioning,CSp,0.67,0.4
2,035,post-conditioning,CSm,0.53,0.31
2,035,post-conditioning,CSp,0.63,0.4
2,035,pre-conditioning,CSm,0.63,0.31
2,035,pre-conditioning,CSp,0.7,0.4
2,036,conditioning,CSm,0.6,0.16
2,036,conditioning,CSp,0.77,0.16
2,036,post-conditioning,CSm,0.37,0.16
2,036,post-conditioning,CSp,0.67,0.16
2,036,pre-conditioning,CSm,0.53,0.16
2,036,pre-conditioning,CSp,0.47,0.16
2,037,conditioning,CSm,0.77,0.56
2,037,conditioning,CSp,0.83,0.27
2,037,post-conditioning,CSm,0.6,0.56
2,037,post-conditioning,CSp,0.7,0.27
2,037,pre-conditioning,CSm,0.9,0.56
2,037,pre-conditioning,CSp,0.9,0.27
2,038,conditioning,CSm,0.47,0.28
2,038,conditioning,CSp,0.6,0.17
2,038,post-conditioning,CSm,0.5,0.28
2,038,post-conditioning,CSp,0.4,0.17
2,038,pre-conditioning,CSm,0.6,0.28
2,038,pre-conditioning,CSp,0.33,0.17
2,039,conditioning,CSm,0.43,0.28
2,039,conditioning,CSp,0.57,0.1
2,039,post-conditioning,CSm,0.57,0.28
2,039,post-conditioning,CSp,0.53,0.1
2,039,pre-conditioning,CSm,0.57,0.28
2,039,pre-conditioning,CSp,0.43,0.1
2,040,conditioning,CSm,0.33,0.18
2,040,conditioning,CSp,0.5,0.39
2,040,post-conditioning,CSm,0.37,0.18
2,040,post-conditioning,CSp,0.53,0.39
2,040,pre-conditioning,CSm,0.5,0.18
2,040,pre-conditioning,CSp,0.7,0.39
2,041,conditioning,CSm,0.7,0.11
2,041,conditioning,CSp,0.73,0.18
2,041,post-conditioning,CSm,0.5,0.11
2,041,post-conditioning,CSp,0.67,0.18
2,041,pre-conditioning,CSm,0.57,0.11
2,041,pre-conditioning,CSp,0.43,0.18
2,042,conditioning,CSm,0.27,0.17
2,042,conditioning,CSp,0.77,0.4
2,042,post-conditioning,CSm,0.17,0.17
2,042,post-conditioning,CSp,0.47,0.4
2,042,pre-conditioning,CSm,0.27,0.17
2,042,pre-conditioning,CSp,0.6,0.4
2,043,conditioning,CSm,0.53,0.1
2,043,conditioning,CSp,0.83,0.26
2,043,post-conditioning,CSm,0.4,0.1
2,043,post-conditioning,CSp,0.47,0.26
2,043,pre-conditioning,CSm,0.33,0.1
2,043,pre-conditioning,CSp,0.37,0.26
2,044,conditioning,CSm,0.83,0.59
2,044,conditioning,CSp,0.53,0.43
2,044,post-conditioning,CSm,0.63,0.59
2,044,post-conditioning,CSp,0.5,0.43
2,044,pre-conditioning,CSm,0.57,0.59
2,044,pre-conditioning,CSp,0.57,0.43
2,046,conditioning,CSm,0.7,0.26
2,046,conditioning,CSp,0.63,0.17
2,046,post-conditioning,CSm,0.6,0.26
2,046,post-conditioning,CSp,0.6,0.17
2,046,pre-conditioning,CSm,0.83,0.26
2,046,pre-conditioning,CSp,0.87,0.17
2,047,conditioning,CSm,0.73,0.19
2,047,conditioning,CSp,0.93,0.03
2,047,post-conditioning,CSm,0.6,0.19
2,047,post-conditioning,CSp,0.77,0.03
2,047,pre-conditioning,CSm,0.63,0.19
