text,response,count
"Dort ist kein Aldi, sondern %%.",lidl,28
"Dort ist kein Aldi, sondern %%.",rewe,6
"Dort ist kein Aldi, sondern %%.",lidel,3
"Dort ist kein Aldi, sondern %%.",edeka,2
"Dort ist kein Aldi, sondern %%.",norma,2
"Dort ist kein Aldi, sondern %%.",cafe,1
"Dort ist kein Aldi, sondern %%.",haus,1
"Dort ist kein Aldi, sondern %%.",hofer,1
"Dort ist kein Aldi, sondern %%.",obi,1
"Dort ist kein Aldi, sondern %%.",penny,1
"Dort ist kein Aldi, sondern %%.",spitzensupermarkt,1
"Dort ist kein Alligator, sondern %%.",krokodil,27
"Dort ist kein Alligator, sondern %%.",nilpferd,3
"Dort ist kein Alligator, sondern %%.",schlange,2
"Dort ist kein Alligator, sondern %%.",blatt,1
"Dort ist kein Alligator, sondern %%.",delfin,1
"Dort ist kein Alligator, sondern %%.",ente,1
"Dort ist kein Alligator, sondern %%.",giraffe,1
"Dort ist kein Alligator, sondern %%.",komodovaran,1
"Dort ist kein Alligator, sondern %%.",komodoveran,1
"Dort ist kein Alligator, sondern %%.",leguan,1
"Dort ist kein Alligator, sondern %%.",lowe,1
"Dort ist kein Alligator, sondern %%.",maus,1
"Dort ist kein Alligator, sondern %%.",nielpferd,1
"Dort ist kein Alligator, sondern %%.",prinzessin,1
"Dort ist kein Alligator, sondern %%.",rapper,1
"Dort ist kein Alligator, sondern %%.",rochen,1
"Dort ist kein Alligator, sondern %%.",schwein,1
"Dort ist kein Alligator, sondern %%.",spinne,1
"Dort ist kein Apfel, sondern %%.",birne,23
"Dort ist kein Apfel, sondern %%.",banane,8
"Dort ist kein Apfel, sondern %%.",orange,4
"Dort ist kein Apfel, sondern %%.",pflaume,2
"Dort ist kein Apfel, sondern %%.",ananas,1
"Dort ist kein Apfel, sondern %%.",aprikose,1
"Dort ist kein Apfel, sondern %%.",arbeit,1
"Dort ist kein Apfel, sondern %%.",bauernmilch,1
"Dort ist kein Apfel, sondern %%.",gemüse,1
"Dort ist kein Apfel, sondern %%.",mandarine,1
"Dort ist kein Apfel, sondern %%.",mohrrübe,1
"Dort ist kein Apfel, sondern %%.",nektarine,1
"Dort ist kein Apfel, sondern %%.",tomate,1
"Dort ist kein Apfel, sondern %%.",zitrone,1
"Dort ist kein Arzt, sondern %%.",ärztin,7
"Dort ist kein Arzt, sondern %%.",krankenschwester,7
"Dort ist kein Arzt, sondern %%.",psychologe,4
"Dort ist kein Arzt, sondern %%.",apotheke,2
"Dort ist kein Arzt, sondern %%.",heilpraktiker,2
"Dort ist kein Arzt, sondern %%.",pfleger,2
"Dort ist kein Arzt, sondern %%.",ärtztin,1
"Dort ist kein Arzt, sondern %%.",bauarbeiter,1
"Dort ist kein Arzt, sondern %%.",bestatter,1
"Dort ist kein Arzt, sondern %%.",doktor,1
"Dort ist kein Arzt, sondern %%.",dr.,1
"Dort ist kein Arzt, sondern %%.",fisch,1
"Dort ist kein Arzt, sondern %%.",homöopath,1
"Dort ist kein Arzt, sondern %%.",jourist,1
"Dort ist kein Arzt, sondern %%.",kind,1
"Dort ist kein Arzt, sondern %%.",könig,1
"Dort ist kein Arzt, sondern %%.",krankenhelfer,1
"Dort ist kein Arzt, sondern %%.",krankenpfleger,1
"Dort ist kein Arzt, sondern %%.",mensch,1
"Dort ist kein Arzt, sondern %%.",optiker,1
"Dort ist kein Arzt, sondern %%.",patient,1
"Dort ist kein Arzt, sondern %%.",pfarrer,1
"Dort ist kein Arzt, sondern %%.",postfiliale,1
"Dort ist kein Arzt, sondern %%.",psychotherapeut,1
"Dort ist kein Arzt, sondern %%.",putzfrau,1
"Dort ist kein Arzt, sondern %%.",sommersprosse,1
"Dort ist kein Arzt, sondern %%.",sprechstundenhilfe,1
"Dort ist kein Arzt, sondern %%.",therapeut,1
"Dort ist kein Arzt, sondern %%.",therapeutin,1
"Dort ist kein Balkon, sondern %%.",terasse,11
"Dort ist kein Balkon, sondern %%.",terrasse,11
"Dort ist kein Balkon, sondern %%.",garten,5
"Dort ist kein Balkon, sondern %%.",fenster,4
"Dort ist kein Balkon, sondern %%.",haus,4
"Dort ist kein Balkon, sondern %%.",abhang,1
"Dort ist kein Balkon, sondern %%.",alleinherrscher,1
"Dort ist kein Balkon, sondern %%.",character(0),1
"Dort ist kein Balkon, sondern %%.",geländer,1
"Dort ist kein Balkon, sondern %%.",hauswand,1
"Dort ist kein Balkon, sondern %%.",journalist,1
"Dort ist kein Balkon, sondern %%.",mauer,1
"Dort ist kein Balkon, sondern %%.",todessturz,1
"Dort ist kein Balkon, sondern %%.",treppe,1
"Dort ist kein Balkon, sondern %%.",wand,1
"Dort ist kein Balkon, sondern %%.",wintergarten,1
"Dort ist kein Balkon, sondern %%.",zimmer,1
"Dort ist kein Baum, sondern %%.",busch,19
"Dort ist kein Baum, sondern %%.",strauch,4
"Dort ist kein Baum, sondern %%.",blume,3
"Dort ist kein Baum, sondern %%.",pflanze,2
"Dort ist kein Baum, sondern %%.",wald,2
"Dort ist kein Baum, sondern %%.",wurzel,2
"Dort ist kein Baum, sondern %%.",ast,1
"Dort ist kein Baum, sondern %%.",boris palmer,1
"Dort ist kein Baum, sondern %%.",büsche,1
"Dort ist kein Baum, sondern %%.",feld,1
"Dort ist kein Baum, sondern %%.",gras,1
"Dort ist kein Baum, sondern %%.",großgewächs,1
"Dort ist kein Baum, sondern %%.",jonas,1
"Dort ist kein Baum, sondern %%.",laterne,1
"Dort ist kein Baum, sondern %%.",löwenzahn,1
"Dort ist kein Baum, sondern %%.",stein,1
"Dort ist kein Baum, sondern %%.",tanne,1
"Dort ist kein Baum, sondern %%.",tisch,1
"Dort ist kein Baum, sondern %%.",wiese,1
"Dort ist kein Baum, sondern %%.",wurzeln,1
"Dort ist kein Baum, sondern %%.",wurzlen,1
"Dort ist kein Berg, sondern %%.",hügel,16
"Dort ist kein Berg, sondern %%.",tal,13
"Dort ist kein Berg, sondern %%.",see,2
"Dort ist kein Berg, sondern %%.",tunnel,2
"Dort ist kein Berg, sondern %%.",baum,1
"Dort ist kein Berg, sondern %%.",bogenschütze,1
"Dort ist kein Berg, sondern %%.",felsen,1
"Dort ist kein Berg, sondern %%.",fisch,1
"Dort ist kein Berg, sondern %%.",fluss,1
"Dort ist kein Berg, sondern %%.",landschaft,1
"Dort ist kein Berg, sondern %%.",meer,1
"Dort ist kein Berg, sondern %%.",schloss,1
"Dort ist kein Berg, sondern %%.",schlucht,1
"Dort ist kein Berg, sondern %%.",schriftsteller,1
"Dort ist kein Berg, sondern %%.",wand,1
"Dort ist kein Berg, sondern %%.",wölbung,1
"Dort ist kein Berg, sondern %%.",zwerg,1
"Dort ist kein Berg, sondern %%.",zwerg.,1
"Dort ist kein Bett, sondern %%.",sofa,11
"Dort ist kein Bett, sondern %%.",schrank,7
"Dort ist kein Bett, sondern %%.",couch,4
"Dort ist kein Bett, sondern %%.",stuhl,4
"Dort ist kein Bett, sondern %%.",matratze,3
"Dort ist kein Bett, sondern %%.",tisch,3
"Dort ist kein Bett, sondern %%.",boden,2
"Dort ist kein Bett, sondern %%.",liege,2
"Dort ist kein Bett, sondern %%.",luftmatratze,2
"Dort ist kein Bett, sondern %%.",schreibtisch,2
"Dort ist kein Bett, sondern %%.",feldbett,1
"Dort ist kein Bett, sondern %%.",hängematte,1
"Dort ist kein Bett, sondern %%.",jungfräulichkeit,1
"Dort ist kein Bett, sondern %%.",kommode,1
"Dort ist kein Bett, sondern %%.",maus,1
"Dort ist kein Bett, sondern %%.",sessel,1
"Dort ist kein Bett, sondern %%.",teppich,1
"Dort ist kein Bier, sondern %%.",wein,25
"Dort ist kein Bier, sondern %%.",radler,4
