shape;polymer;concentration;shoot;root;CO2;WSA
Fibers;PP;0.1;110;75;0.919464;2.906.977
Fibers;PP;0.1;73;54;;2.936.047
Fibers;PP;0.1;189;61.2;;2.619.048
Fibers;PP;0.1;99;46.3;0.800037;1.676.301
Fibers;PP;0.1;86;16. Jun;0.773289;2.189.349
Fibers;PP;0.1;183;7;;228.169
Fibers;PP;0.1;109;6;0.789853;2.831.858
Fibers;PP;0.2;130;42.4;1.010.573;4.300.699
Fibers;PP;0.2;139;30. Jun;;3.632.813
Fibers;PP;0.2;276;85;;3.986.254
Fibers;PP;0.2;136;65;0.899917;2.507.645
Fibers;PP;0.2;106;33.3;0.946827;1.928.783
Fibers;PP;0.2;135;47.2;0.830295;367.052
Fibers;PP;0.2;143;78.8;;2.521.246
Fibers;PP;0.3;169;33.7;0.671362;245.098
Fibers;PP;0.3;220;55;0.829732;2.942.943
Fibers;PP;0.3;146;46.7;0.809877;4.498.567
Fibers;PP;0.3;90;52;0.788577;4.398.827
Fibers;PP;0.3;181;24. Jun;;4.040.698
Fibers;PP;0.3;136;58.4;;4.961.832
Fibers;PP;0.3;104;79.3;;4.434.783
Fibers;PP;0.4;254;68.5;0.718539;2.602.339
Fibers;PP;0.4;142;74.2;;2.874.618
Fibers;PP;0.4;193;79.13;;2.462.006
Fibers;PP;0.4;138;69.9;;340.176
Fibers;PP;0.4;254;64;0.553802;309.198
Fibers;PP;0.4;210;113.6;0.733087;303.207
Fibers;PP;0.4;160;84.6;0.593156;4.179.104
Fibers;PES;0.1;120;46.4;0.686493;2.091.691
Fibers;PES;0.1;102;79.7;;3.994.253
Fibers;PES;0.1;87;61;0.753356;2.953.216
Fibers;PES;0.1;87;53.3;0.677268;257.971
Fibers;PES;0.1;93;51.3;;44.8
Fibers;PES;0.1;95;46.9;0.686611;2.363.112
Fibers;PES;0.1;64;28. Aug;;2.683.616
Fibers;PES;0.2;107;63.5;0.780094;2.886.297
Fibers;PES;0.2;133;44.8;0.799983;3.313.783
Fibers;PES;0.2;100;46.3;;3.936.782
Fibers;PES;0.2;144;90.5;0.973892;3.953.488
Fibers;PES;0.2;113;50.4;;3.313.953
Fibers;PES;0.2;131;50;;46
Fibers;PES;0.2;90;87.5;1.170.576;3.048.433
Fibers;PES;0.3;93;81.7;0.675771;380.531
Fibers;PES;0.3;97;66.8;0.661559;3.558.824
Fibers;PES;0.3;115;88;;4.273.256
Fibers;PES;0.3;97;36.2;0.752821;4.180.791
Fibers;PES;0.3;135;67.3;0.652379;4.040.115
Fibers;PES;0.3;75;24. Feb;;3.529.412
Fibers;PES;0.3;168;53.8;;4.205.882
Fibers;PES;0.4;235;64.1;0.870567;3.679.525
Fibers;PES;0.4;173;95.6;;3.487.032
Fibers;PES;0.4;181;100.6;;3.531.157
Fibers;PES;0.4;174;115.8;0.843763;372.549
Fibers;PES;0.4;158;56.8;;3.913.043
Fibers;PES;0.4;115;53.1;0.883899;3.093.093
Fibers;PES;0.4;160;91.6;0.886031;3.532.934
Fibers;PA;0.1;205;52.4;0.967238;3.096.591
Fibers;PA;0.1;97;43.7;;2.235.294
Fibers;PA;0.1;65;34;1.106.108;3.926.554
Fibers;PA;0.1;121;87.6;;3.631.124
Fibers;PA;0.1;144;29. Jan;118.149;2.522.796
Fibers;PA;0.1;98;54.8;0.924145;3.965.015
Fibers;PA;0.1;93;37.9;;380.117
Fibers;PA;0.2;100;86.7;;1.685.393
Fibers;PA;0.2;155;60.6;0.716251;3.901.734
Fibers;PA;0.2;97;59.2;;2.455.621
Fibers;PA;0.2;82;80;0.808854;5.511.364
Fibers;PA;0.2;85;42.7;0.733561;2.971.429
Fibers;PA;0.2;49;26;0.760037;2.982.456
Fibers;PA;0.2;130;50.3;;2.844.828
Fibers;PA;0.3;92;75.8;;3.115.727
Fibers;PA;0.3;146;64.6;0.603183;3.403.614
Fibers;PA;0.3;114;100.5;0.629145;4.227.405
Fibers;PA;0.3;98;53.8;;3.821.839
Fibers;PA;0.3;76;88.8;0.563065;3.440.233
Fibers;PA;0.3;89;56;0.68386;2.991.914
Fibers;PA;0.3;71;32.5;;204.023
Fibers;PA;0.4;125;121.6;;4.147.059
Fibers;PA;0.4;93;84.5;;3.853.211
Fibers;PA;0.4;102;121;0.751833;2.403.561
Fibers;PA;0.4;166;99.4;0.950197;3.228.571
Fibers;PA;0.4;55;81.3;;3.173.653
Fibers;PA;0.4;108;72.1;0.877427;2.794.118
Fibers;PA;0.4;137;125.8;1.012.872;3.323.171
Films;PE;0.1;229;102.7;;3.863.636
Films;PE;0.1;147;125.8;0.800884;4.482.759
Films;PE;0.1;145;76;;4.255.952
Films;PE;0.1;140;108.8;0.589538;4.580.838
Films;PE;0.1;112;115.3;1.054.496;4.726.225
Films;PE;0.1;115;87.8;0.703271;5.255.255
Films;PE;0.1;117;119.8;;2.358.209
Films;PE;0.2;147;108.8;;3.539.823
Films;PE;0.2;133;66.5;0.506786;5.216.138
Films;PE;0.2;129;90.7;0.488019;4.190.751
Films;PE;0.2;79;141.3;0.568616;3.089.888
Films;PE;0.2;101;106.5;;3.053.892
Films;PE;0.2;101;129;0.589369;5.086.705
Films;PE;0.2;126;102.7;;2.801.205
Films;PE;0.3;214;150;0.821748;3.391.813
Films;PE;0.3;149;96.2;0.905956;4.227.405
Films;PE;0.3;166;84.7;;408.805
Films;PE;0.3;129;77.5;0.759563;4.672.619
