Character,Race,Gender,Realm
Aragorn,Men,Male,Gondor
Arwen,Elf,Female,Rivendell
Bilbo,Hobbit,Male,The Shire
Boromir,Men,Male,Gondor
Bosun,Men,Male,Gondor
Celeborn,Elf,Male,Lothl—rien
Crowd,Men,Mixed,
Damrod,Men,Male,Ithilien
Deagol,Hobbit,Male,Vales of Anduin
Denethor,Men,Male,Gondor
Elrond,Elf,Male,Rivendell
Eomer,Men,Male,Rohan
Eothain,Men,Male,Rohan
Eowyn,Men,Female,Rohan
Faramir,Men,Male,Gondor
Farmer Maggot,Hobbit,Male,The Shire
Figwit,Elf,Male,Rivendell
Freda,Men,Female,Rohan
Frodo,Hobbit,Male,The Shire
Gaffer,Hobbit,Male,The Shire
Galadriel,Elf,Female,Lothl—rien
Gamling,Men,Male,Rohan
Gandalf,Ainur,Male,Valinor
Gatekeeper,Men,Male,Gondor
Gimli,Dwarf,Male,Lonely Mountain
Gollum,Hobbit,Male,Misty Mountains
Gondor Man,Men,Male,Gondor
Gothmog,Orc,Male,Mordor
Grima Wormtongue,Men,Male,Rohan
Grimhold,Men,Male,Rohan
Grishnakh,Orc,Male,Mordor
Grobag,Orc,Male,Mordor
Haldir,Elf,Male,Lothl—rien
Haleth,Men,Male,Rohan
Hama,Men,Male,Rohan
Hobbit Kids,Hobbit,Mixed,The Shire
Hobbits,Hobbit,Mixed,The Shire
Innkeeper,Men,Male,Bree
Irolas,Men,Male,Gondor
Isildur,Men,Male,Gondor
King Of The Dead,Dead,Male,The Paths of the Dead
Legolas,Elf,Male,Mirkwood
Lobelia Sackville-Baggins,Hobbit,Female,The Shire
Lurtz,Orc,Male,Isengard
Madril,Men,Male,Gondor
Man,Men,Male,Gondor
Mauhur,Orc,Male,Isengard
Mercenary,Men,Male,Gondor
Merry,Hobbit,Male,The Shire
Morwen,Men,Female,Rohan
Mouth Of Sauron,Men,Male,Mordor
Mrs. Bracegirdle,Hobbit,Female,The Shire
Nazgul,Men ,Male,Mordor
Orc,Orc,Male,Mordor
Pippin,Hobbit,Male,The Shire
Proudfoot,Hobbit,Male,The Shire
Rohan Maiden,Men,Female,Rohan
Rohan Warrior,Men,Male,Rohan
Rosie,Hobbit,Female,The Shire
Sam,Hobbit,Male,The Shire
Sandyman,Hobbit,Male,The Shire
Saruman,Ainur,Male,Isengard
Shagrat,Orc,Male,Mordor
Smeagol,Gollum,Male,Vales of Anduin
Snaga,Orc,Male,Mordor
Ted,Hobbit,Male,The Shire
Theoden,Men,Male,Rohan
Treebeard,Ent,Male,Fangorn
Ugluk,Orc,Male,Isengard
Uruk-hai,Orc,,Isengard
Voice Of Sauron,Ainur,Male,Mordor
Voice Of The Ring,Ainur,,
Wild Man,Men,Male,Dunland
Witch King,Men,Male,Mordor
