Destillerie:;Region:;Distrikt:;Hersteller:;Version:;Punkte:;Buch vom:;Adresse:;Telefon;Website;E-Mail
Aberfeldy;Highlands;Midlands;United Distillers;Aberfeldy 15 year old 43% (Flora und Fauna);77;M.J. 1994;Aberfeldy, Perthshire, PH15 2EB;0044/18 87-82 03 30;;
Aberfeldy;Highlands;Midlands;United Distillers;Gordon MacPhail Connoisseurs Choice 1975;76;M.J. 1994;Aberfeldy, Perthshire, PH15 2EB;0044/18 87-82 03 30;;
Aberfeldy;Highlands;Midlands;Dewar`s (Baccardi);Aberfeldy 14-year-old 59,5% Adelphi;77;M. J. 1999;Aberfeldy, Perthshire, PH15 2EB;0044/18 87-82 03 30;;
Aberfeldy;Highlands;Midlands;Dewar`s (Baccardi);Aberfeldy 1980 62% Fassstärke;77;M. J. 1999;Aberfeldy, Perthshire, PH15 2EB;0044/18 87-82 03 30;;
Aberfeldy;Highlands;Midlands;Dewar`s (Baccardi);Aberfeldy 1978 59,3% Scott`s Selection;75;M. J. 1999;Aberfeldy, Perthshire, PH15 2EB;0044/18 87-82 03 30;;
Aberfeldy;Highlands;östliche Highlands;Dewar`s (Baccardi);Aberfeldy 12 -year-old 40%;76;  M.J. 2010;Aberfeldy, Perthshire, PH15 2EB;0044/18 87-82 03 30;www.dewars.com;worldofwhisky@dewars.com
Aberfeldy;Highlands;östliche Highlands;Dewar`s (Baccardi);Aberfeldy 21-year-old 40%;77;  M.J. 2010;Aberfeldy, Perthshire, PH15 2EB;0044/18 87-82 03 30;www.dewars.com;worldofwhisky@dewars.com
Aberfeldy;Highlands;östliche Highlands;Dewar`s (Baccardi);Aberfeldy 1994 13-yer-old Duncan Taylor N.C.2 46%;73;  M.J. 2010;Aberfeldy, Perthshire, PH15 2EB;0044/18 87-82 03 30;www.dewars.com;worldofwhisky@dewars.com
Aberfeldy;Highlands;östliche Highlands;Dewar`s (Baccardi);Aberfeldy 16-year old Bits-of Strange 55,1%;90;M.J. 2015;Aberfeldy, Perthshire, PH15 2EB;0044/18 87-82 03 30;www.dewars.com;worldofwhisky@dewars.com
Aberlour;Highlands;Speyside;Pernod/Campbell Distillers;Aberlour 10-year-old 40%;83;M.J. 1994;Aberlour, Banffshire, AB3 9PJ;0044/1340-881249;www.aberlour.co.uk;
Aberlour;Highlands;Speyside;Pernod/Campbell Distillers;Aberlour Antique 43%;84;M.J. 1994;Aberlour, Banffshire, AB3 9PJ;0044/1340-881249;www.aberlour.co.uk;
Aberlour;Highlands;Speyside;Pernod/Campbell Distillers;Aberlour 100% Proof;84;M.J. 1994;Aberlour, Banffshire, AB3 9PJ;0044/1340-881249;www.aberlour.co.uk;
Aberlour;Highlands;Speyside;Pernod/Campbell Distillers;Aberlour 1970 43%;85;M.J. 1994;Aberlour, Banffshire, AB3 9PJ;0044/1340-881249;www.aberlour.co.uk;
Aberlour;Highlands;Speyside;Pernod/Campbell Distillers;Aberlour a`bunahd59,6%;86;M. J. 1999;Aberlour, Banffshire, AB3 9PJ;0044/1340-881249;www.aberlour.co.uk;
Aberlour;Highlands;Speyside;Pernod/Campbell Distillers;Aberlour 12-year old in sherry gereift 43%;84;M. J. 1999;Aberlour, Banffshire, AB3 9PJ;0044/1340-881249;www.aberlour.co.uk;
Aberlour;Highlands;Speyside;Pernod/Campbell Distillers;Aberlour Cuvée Marie d`Ecosse, 15-year old 43%;83;M. J. 1999;Aberlour, Banffshire, AB3 9PJ;0044/1340-881249;www.aberlour.co.uk;
Aberlour;Highlands;Speyside;Pernod/Campbell Distillers;Aberlour15-year old sherry wood finish 40%;84;M. J. 1999;Aberlour, Banffshire, AB3 9PJ;0044/1340-881249;www.aberlour.co.uk;
Aberlour;Highlands;Speyside;Pernod/Campbell Distillers;Aberlour18-year old 43%;84;M. J. 1999;Aberlour, Banffshire, AB3 9PJ;0044/1340-881249;www.aberlour.co.uk;
Aberlour;Highlands;Speyside;Pernod/Campbell Distillers;Aberlour 21-year old 43%;85;M. J. 1999;Aberlour, Banffshire, AB3 9PJ;0044/1340-881249;www.aberlour.co.uk;
Aberlour;Highlands;Speyside;Pernod/Campbell Distillers;Aberlour 30-year old 43%;85;M. J. 1999;Aberlour, Banffshire, AB3 9PJ;0044/1340-881249;www.aberlour.co.uk;
