species,common_name,family,order,migratory.strategy,breeding.biome,bird.group,abundance.category,ts_source,firstyear,lastyear,year_est1,year_est2,popest,popse,Loss_mean,Loss_sd,Loss_lci95,Loss_med,Loss_uci95,total_proportional_change,annual rate of change
Bubo scandiacus,Snowy Owl,Strigidae,STRIGIFORMES,Partial migrant within Europe,"Tundra, mires and moorland",landbirds,Rare,Article12,1980,2017,2014,2017,5,3.87755102,-1.336004457,11.559215,-28.66842926,0.157354507,14.60755665,0.867132501,0.996154346
Xenus cinereus,Terek Sandpiper,Scolopacidae,CHARADRIIFORMES,Long-distance migrant,"Tundra, mires and moorland",shorebirds,Rare,Article12,1980,2017,2014,2017,13,0.946374509,34.65469489,5.137701225,25.2781416,34.39496531,45.52118214,0.263023757,0.964548763
Anser erythropus,Lesser White-fronted Goose,Anatidae,ANSERIFORMES,Short-distance migrant,"Tundra, mires and moorland",waterfowl,Rare,Article12,1980,2017,2014,2017,41,3.710619596,-21.10507277,7.374290555,-37.43831751,-20.45962339,-8.464499379,1.937648873,1.018038474
Apus affinis,Little Swift,Apodidae,CAPRIMULGIFORMES,Partial migrant within Europe,"mediterranean forest, shrubland and rocky habitats",landbirds,Rare,Article12,1980,2017,2003,2017,45,12.95613553,-96.81110971,46.09209235,-210.3201339,-88.73522544,-30.62647417,13.14214432,1.07209735
Clanga clanga,Greater Spotted Eagle,Accipitridae,ACCIPITRIFORMES,Short-distance migrant,Unclassified,landbirds,Rare,Article12,1980,2017,2014,2017,47,2.136845136,17.94849096,51.0959581,-100.5342631,21.44121325,106.6177874,0.659953184,0.98883078
Fulica cristata,Red-knobbed Coot,Rallidae,GRUIFORMES,Resident,Inland wetlands,waterbirds,Rare,Article12,1980,2017,2014,2017,65,9.425431711,-1.385015501,13.21868412,-29.47476783,-0.738500968,23.31596956,1.006807522,1.00018338
Tringa stagnatilis,Marsh Sandpiper,Scolopacidae,CHARADRIIFORMES,Long-distance migrant,Inland wetlands,shorebirds,Rare,Article12,1980,2017,2014,2017,133,11.39886167,-96.52558422,23.29500903,-147.7335084,-94.34214053,-56.91727094,2.888746159,1.029085846
Spilopelia senegalensis,Laughing Dove,Columbidae,COLUMBIFORMES,Resident,agricultural and grassland,landbirds,Rare,Article12,1980,2017,2014,2017,139,7.809915436,-132.7331647,13.26649673,-160.4132123,-132.0618602,-108.3749274,7.74666197,1.056890817
Pterodroma madeira,Zino's Petrel,Procellariidae,PROCELLARIIFORMES,Short-distance migrant,Marine,waterbirds,Rare,Article12,1980,2017,2014,2017,145,4.59609213,-37.07370381,7.017428674,-51.23290862,-37.03611143,-23.53060001,1.336924837,1.007878769
Marmaronetta angustirostris,Marbled Teal,Anatidae,ANSERIFORMES,Partial migrant within Europe,Unclassified,waterfowl,Rare,Article12,1980,2017,2017,2017,152,1.427347826,75.32379306,3.088319428,69.37767806,75.29924771,81.45409283,0.668818798,0.989187472
Vanellus spinosus,Spur-winged Lapwing,Charadriidae,CHARADRIIFORMES,Partial migrant within Europe,Coastal,shorebirds,Rare,Article12,1980,2017,2014,2017,205,21.28693225,-136.0519898,32.80199367,-208.2474851,-133.4947659,-79.56429125,2.444215541,1.024448797
Falco rusticolus,Gyrfalcon,Falconidae,FALCONIFORMES,Partial migrant within Europe,"Tundra, mires and moorland",landbirds,Rare,Article12,1980,2017,2014,2017,221,7.431350571,143.4510731,24.10865976,96.96533022,143.1112861,191.6485819,0.60161946,0.986360623
Emberiza cineracea,Cinereous Bunting,Emberizidae,PASSERIFORMES,Short-distance migrant,"mediterranean forest, shrubland and rocky habitats",landbirds,Rare,Article12,1980,2017,2015,2015,254,39.4035791,-126.7312539,67.56712693,-290.0192199,-115.2995751,-27.99593347,1.820592594,1.016325395
Falco biarmicus,Lanner Falcon,Falconidae,FALCONIFORMES,Resident,agricultural and grassland,landbirds,Rare,Article12,1980,2017,2014,2016,303,3.155473524,13.39007027,6.069068291,1.442073082,13.48652032,25.33213476,0.957624261,0.99883042
Pterodroma deserta,Desertas Petrel,Procellariidae,PROCELLARIIFORMES,Long-distance migrant,Marine,waterbirds,Rare,Article12,1980,2017,2014,2017,340,7.021683673,-0.018448231,11.92334668,-23.57206973,0.006759408,22.99876014,1.000361578,1.000009771
Gypaetus barbatus,Bearded Vulture,Accipitridae,ACCIPITRIFORMES,Resident,montane grassland,landbirds,Rare,Article12,1980,2017,2017,2017,464,6.22321258,-298.6895991,6.217225426,-311.115168,-298.7109189,-286.5635269,2.808704583,1.028304616
Falco cherrug,Saker Falcon,Falconidae,FALCONIFORMES,Partial migrant within Europe,agricultural and grassland,landbirds,Rare,Article12,1980,2017,2014,2017,551,16.76168491,-360.4203438,39.03816812,-440.7194348,-358.8190638,-288.3197683,2.596118097,1.02611954
Apus caffer,White-rumped Swift,Apodidae,CAPRIMULGIFORMES,Short-distance migrant,"mediterranean forest, shrubland and rocky habitats",landbirds,Rare,Article12,1980,2017,2008,2016,593,33.76073011,-249.8284979,53.95328931,-365.0588707,-247.5262747,-151.6046599,1.640966829,1.013476092
Oxyura leucocephala,White-headed Duck,Anatidae,ANSERIFORMES,Partial migrant within Europe,Inland wetlands,waterfowl,Rare,Article12,1980,2017,2014,2017,617,19.29937333,-310.2404057,26.90009215,-364.1936302,-309.8013969,-258.7235389,1.954774268,1.018280615
Aquila heliaca,Eastern Imperial Eagle,Accipitridae,ACCIPITRIFORMES,Partial migrant within Europe,Unclassified,landbirds,Rare,Article12,1980,2017,2014,2017,644,31.10610339,-514.8075868,44.32468193,-605.4241461,-512.9874879,-432.8467826,3.840099984,1.03703411
Phylloscopus borealis,Arctic Warbler,Phylloscopidae,PASSERIFORMES,Long-distance migrant,Boreal and temperate forests,landbirds,Rare,Article12,1980,2017,2014,2017,801,288.3212056,603.4022814,553.4453929,-342.2705667,540.9542957,1860.114161,0.557457208,0.984330296
Tadorna ferruginea,Ruddy Shelduck,Anatidae,ANSERIFORMES,Partial migrant within Europe,Inland wetlands,waterfowl,Rare,Article12,1980,2017,2015,2017,893,160.9154599,-195.8907478,246.3087469,-749.8784855,-173.0732228,235.63658,1.236052695,1.005744083
Otis tarda,Great Bustard,Otididae,OTIDIFORMES,Partial migrant within Europe,agricultural and grassland,landbirds,Rare,Article12,1980,2017,2014,2017,941,2904.854291,-1173.137109,1407.85989,-4658.572924,-637.3564837,-0.549531846,2.800125222,1.028219598
Pyrrhula murina,Azores Bullfinch,Fringillidae,PASSERIFORMES,Resident,unknown,landbirds,Rare,Article12,1980,2017,2017,2017,971,233.0115334,-827.8308297,205.4608018,-1238.000448,-825.8143595,-437.0611755,7.423349199,1.05567376
Aquila adalberti,Spanish Imperial Eagle,Accipitridae,ACCIPITRIFORMES,Resident,"mediterranean forest, shrubland and rocky habitats",landbirds,Rare,Article12,1980,2017,2017,2017,1075,14.53612731,-886.9054002,12.68752202,-911.7667831,-886.9743037,-861.9315332,5.720705186,1.048266266
Sitta krueperi,Krueper's Nuthatch,Sittidae,PASSERIFORMES,Resident,"mediterranean forest, shrubland and rocky habitats",landbirds,Rare,Article12,1980,2017,2015,2015,1195,43.54109654,-1161.215567,92.29911891,-1353.208579,-1157.102985,-990.8847661,7.605294119,1.056364861
Motacilla citreola,Citrine Wagtail,Motacillidae,PASSERIFORMES,Long-distance migrant,"Tundra, mires and moorland",landbirds,Rare,Article12,1980,2017,2014,2017,1246,81.6603168,-1402.11581,197.3074621,-1824.04032,-1388.172558,-1058.051154,22.55176462,1.087858593
Oenanthe pleschanka,Pied Wheatear,Muscicapidae,PASSERIFORMES,Long-distance migrant,agricultural and grassland,landbirds,Rare,Article12,1980,2017,2014,2017,1712,236.0591028,-40.50749486,341.9821275,-773.6287118,-23.43840187,598.4031402,1.013808728,1.000370724
Strix nebulosa,Great Grey Owl,Strigidae,STRIGIFORMES,Resident,Boreal and temperate forests,landbirds,Rare,Article12,1980,2017,2014,2017,2108,249.1560025,-168.6347103,368.303505,-931.8365746,-158.8776485,516.7733033,1.077824876,1.002027594
