catNo;epoch;type;typeDesc;typeCertain;location;locationType;paintedSurface;material
1;cypro-archaic;1a;Grave stelae with guard animals, with two antithetical lions;1;Amathus;grave;;local white limestone
2;cypro-archaic;1a;Grave stelae with guard animals, with two antithetical lions;1;unknown;unknown;;local white limestone
3;cypro-archaic;1a;Grave stelae with guard animals, with two antithetical lions;1;unknown;unknown;;local white limestone
4;cypro-archaic;1a;Grave stelae with guard animals, with two antithetical lions;1;Amathus;not specified;;local white limestone
5;cypro-archaic;1a;Grave stelae with guard animals, with two antithetical lions;1;Athienou;not specified;;local white limestone
6;cypro-archaic;1a;Grave stelae with guard animals, with two antithetical lions;1;Golgoi;not specified;;local white limestone
7;cypro-archaic;1a;Grave stelae with guard animals, with two antithetical lions;1;Golgoi-Athienou;spolia;lions/sphinxes;local white limestone
8;cypro-archaic;1a;Grave stelae with guard animals, with two antithetical lions;1;Idalion;not specified;;local white limestone
9;cypro-archaic;1a;Grave stelae with guard animals, with two antithetical lions;1;Idalion;not specified;;local white limestone
10;cypro-archaic;1a;Grave stelae with guard animals, with two antithetical lions;1;Idalion;not specified;;local white limestone
11;cypro-archaic;1a;Grave stelae with guard animals, with two antithetical lions;1;Golgoi;not specified;;local white limestone
12;cypro-archaic;1a;Grave stelae with guard animals, with two antithetical lions;1;probably Idalion;not specified;;local white limestone
13;cypro-archaic;1b;Grave stelae with guard animals, crowned by two sphinxes;1;Golgoi;necropolis;;local white limestone
14;cypro-archaic;1b;Grave stelae with guard animals, crowned by two sphinxes;1;Golgoi;necropolis;symbols/decor;local white limestone
15;cypro-classical;1b;Grave stelae with guard animals, crowned by two sphinxes;1;Golgoi;not specified;;local white limestone
16;cypro-classical;1b;Grave stelae with guard animals, crowned by two sphinxes;1;Golgoi;necropolis;lions/sphinxes, symbols/decor;local white limestone
17;cypro-classical;2a;Symposium niche crowned by lion;1;unknown;unknown;;local white limestone
18;cypro-classical;2a;Symposium niche crowned by lion;1;unknown;unknown;;local white limestone
19;cypro-classical;2a;Symposium niche crowned by lion;1;unknown;unknown;;local white limestone
20;cypro-classical;2a;Symposium niche crowned by lion;1;Golgoi;not specified;lions/sphinxes;local white limestone
21;cypro-classical;2a;Symposium niche crowned by lion;1;Golgoi (Athienou);not specified;plane;local white limestone
22;cypro-classical;2a;Symposium niche crowned by lion;1;Golgoi;necropolis;;local white limestone
23;cypro-classical;2a;Symposium niche crowned by lion;1;Golgoi;not specified;;local white limestone
24;cypro-classical;2a;Symposium niche crowned by lion;1;unknown;unknown;plane;local yellow-white limestone
25;cypro-classical;2a;Symposium niche crowned by lion;1;Golgoi;necropolis;figure/clothing;local white limestone
26;cypro-classical;2a?;Symposium niche crowned by lion;0;Golgoi;necropolis;;local white limestone
27;cypro-classical;2a?;Symposium niche crowned by lion;0;Golgoi;not specified;;local white limestone
28;cypro-classical;2a?;Symposium niche crowned by lion;0;Salamis;necropolis;;local white limestone
29;cypro-classical;2b;Double niche with symposium scene;1;Golgoi;not specified;;local white limestone
30;cypro-classical;2b;Double niche with symposium scene;1;Politiko-Koufos bei Tamassos;necropolis;;local white limestone
31;hellenistic;2b;Double niche with symposium scene;1;Golgoi (?);not specified;;local white limestone
32;cypro-classical;2b;Double niche with symposium scene;1;Golgoi;necropolis;;local yellow-white limestone
33;hellenistic;2b;Double niche with symposium scene;1;unknown;unknown;plane;local white limestone
34;hellenistic;2b?;Double niche with symposium scene;0;Golgoi (?);not specified;wide stripes;local yellow-white limestone
35;hellenistic;2b?;Double niche with symposium scene;0;Golgoi;necropolis;;local white limestone
36;hellenistic;2b?;Double niche with symposium scene;0;Golgoi (?);not specified;;local white limestone
37;hellenistic;2b?;Double niche with symposium scene;0;Salamis;necropolis;crossed stripes;local white limestone
38;hellenistic;2c;Wide symposium niche with high relief;1;Golgoi;necropolis;;local white limestone
39;julian-claudian;2c;Wide symposium niche with high relief;1;unknown;unknown;;local white limestone
40;julian-claudian;2c;Wide symposium niche with high relief;1;unknown;unknown;;local white limestone
41;julian-claudian;2c;Wide symposium niche with high relief;1;Golgoi;necropolis;;local yellow-white limestone
42;julian-claudian;2c;Wide symposium niche with high relief;1;unknown;unknown;;local white limestone
43;julian-claudian;2c;Wide symposium niche with high relief;1;Golgoi;necropolis;;local white limestone
44;julian-claudian;2c;Wide symposium niche with high relief;1;Tremithusa (near Golgoi);not specified;;local white limestone
45;cypro-classical;2;Wide symposium niche with high relief, Fragment;0;unknown;unknown;;local white limestone
46;cypro-classical;2;Wide symposium niche with high relief, Fragment;0;Salamis;necropolis;;local white limestone
47;hellenistic;2;Wide symposium niche with high relief, Fragment;0;Golgoi;necropolis;;local white limestone
48;hellenistic;2;Wide symposium niche with high relief, Fragment;0;Golgoi;necropolis;;local yellow-white limestone
49;hellenistic;2;Wide symposium niche with high relief, Fragment;0;unknown;unknown;;local limestone
50;hellenistic;2;Wide symposium niche with high relief, Fragment;0;Golgoi;necropolis;;local white limestone
51;julian-claudian;2;Wide symposium niche with high relief, Fragment;0;Golgoi;necropolis;;local white limestone
52;julian-claudian;2;Wide symposium niche with high relief, Fragment;0;Golgoi;necropolis;;local white limestone
