"Cell.ID","Time.point","Intensity","Area"
0,0,23587.0638297872,656
1,0,23062.1838111298,1183.5
2,0,23103.4088176353,502
3,0,23656.3266666667,443.5
5,0,24177.922705314,204
6,0,27079.7256637168,113
7,0,23209.7823050058,856
8,0,24042.2693409742,352
0,1,22298.2311178248,663
1,1,21733.3703703704,1104
2,1,21817.7564870259,501.5
3,1,22306.4429530201,440
5,1,22841.08,195.5
6,1,25943.8350515464,97.5
7,1,21889.8768699655,869
8,1,22684.9475218659,344.5
0,2,21178.5113808801,662
1,2,20513.7630901288,1158
2,2,20669.0515463918,483
3,2,21127.6450116009,428.5
5,2,21843.5528846154,204
6,2,25185.2272727273,88.5
7,2,20700.0396825397,879.5
8,2,21468.0988700565,357.5
0,3,20205.395280236,674
1,3,19520.2798245614,1137
2,3,19652.9007936508,506
3,3,20058.0429864253,441
5,3,20920.0895522388,198
6,3,24029.2142857143,84
7,3,19659.0605726872,905.5
8,3,20439.5754985755,351.5
0,4,19414.8049853372,681.5
1,4,18671.8371478873,1134.5
2,4,18834.3992322457,519
3,4,19208.0623655914,466
5,4,19965.1783783784,182
6,4,22927.5679012346,80
7,4,18845.9145673603,913.5
8,4,19635.4302325581,348
0,5,18670.4028368794,704
1,5,17963.1050691244,1090
2,5,18135.4052419355,498
3,5,18424.7186813187,451
5,5,19270.3510638298,184.5
6,5,22066.5,80
7,5,18144.5431235431,854
8,5,18844.5125348189,359.5
0,6,18048.5183016105,684
1,6,17332.5729927007,1091.5
2,6,17469.0154440154,516
3,6,17877.0701357466,442.5
5,6,18685.9226519337,178.5
6,6,21130.4875,80.5
7,6,17512.9350057013,880
8,6,18222.4972375691,364
0,7,17561.7837037037,673.5
1,7,16811.6379468378,1087
2,7,16936.7783985102,533
3,7,17306.3680851064,464.5
5,7,18147.1497005988,164
6,7,20507.1558441558,78.5
7,7,16966.6818181818,883
8,7,17664.5522788204,375
0,8,17072.6595419847,656.5
1,8,16341.71918443,1082.5
2,8,16510.6964285714,502.5
3,8,16807.9625,476.5
5,8,17697.84,198.5
6,8,19948.5844155844,76.5
7,8,16495.1943539631,921
8,8,17178.654155496,376
0,9,16659.5359661495,704
1,9,15951.4303086997,1064.5
2,9,16097.1276595745,514.5
3,9,16404.6911447084,459.5
5,9,17240.5628140704,195.5
6,9,19346.8082191781,72.5
7,9,16096.3683060109,919
8,9,16787.2326203209,377
9,9,15388.1639344262,124
0,10,16327.7009873061,708
1,10,15560.9223214286,1125
2,10,15714.3454198473,525
3,10,16006.1807228916,493.5
5,10,16964.2222222222,221.5
6,10,18733.3947368421,77
7,10,15724.5421286031,901
8,10,16431.422459893,373
9,10,15011.6869565217,115.5
