von,bis,"leicht (s)","tief (s)","rem (s)","wach (s)",Aufwachen,"Dauer des Schlafs (s)","Dauer bis zum Wachwerden (s)","Schnarchen (s)",Schnarchepisoden,"Durchschnittliche Herzfrequenz","Herzfrequenz (min)","Herzfrequenz (max)","Night events"
2024-02-07T00:15:00+01:00,2024-02-07T08:05:00+01:00,6120,21960,0,120,0,120,0,0,0,54,50,64,
2024-02-08T00:09:00+01:00,2024-02-08T08:01:00+01:00,20400,7800,0,120,0,120,0,0,0,52,48,65,
2024-02-09T01:50:00+01:00,2024-02-09T08:00:00+01:00,13620,8460,0,120,0,120,0,0,0,53,50,66,
2024-02-10T01:18:00+01:00,2024-02-10T09:50:00+01:00,15120,15480,0,120,0,120,0,0,0,54,49,78,
2024-02-11T01:39:00+01:00,2024-02-11T08:36:00+01:00,18000,6900,0,120,0,120,0,0,0,54,50,66,
2024-02-12T00:20:00+01:00,2024-02-12T07:49:00+01:00,14760,12060,0,120,0,120,0,0,0,55,50,63,
2024-02-13T01:48:00+01:00,2024-02-13T08:38:00+01:00,15240,9240,0,120,0,120,0,0,0,58,52,64,
2024-02-13T23:41:00+01:00,2024-02-14T08:01:00+01:00,14700,15180,0,120,0,120,0,0,0,55,49,71,
2024-02-15T01:14:00+01:00,2024-02-15T08:04:00+01:00,13620,10740,0,240,0,120,120,0,0,55,51,68,
2024-02-16T01:03:00+01:00,2024-02-16T08:01:00+01:00,15720,9060,0,300,1,120,0,0,0,61,54,68,
2024-02-19T01:26:00+01:00,2024-02-19T08:42:00+01:00,17040,9000,0,120,0,120,0,0,0,56,52,65,
2024-02-19T22:52:00+01:00,2024-02-20T07:24:00+01:00,19740,10260,0,720,1,120,0,0,0,54,50,65,
2024-02-21T00:11:00+01:00,2024-02-21T07:11:00+01:00,16740,6780,0,1680,3,120,0,0,0,59,53,86,
2024-02-22T02:34:00+01:00,2024-02-22T08:00:00+01:00,11700,7080,0,780,2,120,0,0,0,62,54,71,
2024-02-22T23:53:00+01:00,2024-02-23T08:00:00+01:00,15420,13680,0,120,0,120,0,0,0,58,52,67,
2024-02-24T03:04:00+01:00,2024-02-24T08:15:00+01:00,9300,8760,0,600,1,120,0,0,0,57,53,66,
2024-02-25T04:23:00+01:00,2024-02-25T09:18:00+01:00,9299,7741,0,660,1,120,0,0,0,61,56,74,
2024-02-25T23:46:00+01:00,2024-02-26T08:49:00+01:00,16200,16260,0,120,0,120,0,0,0,59,52,66,
2024-02-26T23:49:00+01:00,2024-02-27T08:32:00+01:00,19800,11460,0,120,0,120,0,0,0,57,49,75,
2024-02-28T00:42:00+01:00,2024-02-28T08:39:00+01:00,17460,11040,0,120,0,120,0,0,0,58,49,69,
2024-02-29T00:06:00+01:00,2024-02-29T07:17:00+01:00,13860,11340,0,660,1,120,0,0,0,54,48,66,
2024-02-29T23:30:00+01:00,2024-03-01T08:09:00+01:00,19200,11340,0,600,1,120,0,0,0,57,52,66,
2024-03-01T22:56:00+01:00,2024-03-02T08:29:00+01:00,15000,12780,0,2340,6,120,0,0,0,55,49,70,
2024-03-03T01:58:00+01:00,2024-03-03T08:37:00+01:00,14640,9180,0,120,0,120,0,0,0,59,53,71,
2024-03-03T23:28:00+01:00,2024-03-04T08:23:00+01:00,21780,10199,0,121,0,121,0,0,0,58,52,68,
2024-03-06T01:40:00+01:00,2024-03-06T08:09:00+01:00,13800,9420,0,120,0,120,0,0,0,59,54,70,
2024-03-07T01:02:00+01:00,2024-03-07T07:24:00+01:00,13560,8760,0,600,1,120,0,0,0,60,52,70,
