Datum;Uhrzeit;ST;Mannschaft 1;Mannschaft 2;Gastgeber;Austragungsort/Ergebnis;Austragungsort;Ergebnis;Saison;Spielrunde;Geschlecht;Satzpunkte;Ballpunkte;Spieldauer;Zuschauerzahl;Satzpunkte 1;:;Satzpunkte 2;Satz 1 - Ballpunkte 1;:;Satz 1 - Ballpunkte 2;Satz 1 - Satzdauer;Satz 2 - Ballpunkte 1;:;Satz 2 - Ballpunkte 2;Satz 2 - Satzdauer;Satz 3 - Ballpunkte 1;:;Satz 3 - Ballpunkte 2;Satz 3 - Satzdauer;Satz 4 - Ballpunkte 1;:;Satz 4 - Ballpunkte 2;Satz 4 - Satzdauer;Satz 5 - Ballpunkte 1;:;Satz 5 - Ballpunkte 2;Satz 5 - Satzdauer
03.02.2023;20:00:00;Spieltag 1;WWK Volleys Herrsching;TSV Haching München;WWK Volleys Herrsching;3:1 / 97:79;BMW Park (81373 München);3:1 / 97:79;2022/23;1. Bundesliga Männer Zwischenrunde 5-9;männlich;03:01;97:79;101;1000;3;:;1;25;:;23;28;25;:;15;22;22;:;25;27;25;:;16;24;;;;
04.02.2023;17:30:00;Spieltag 1;Energiequelle Netzhoppers KW-Bestensee;Helios GRIZZLYS Giesen;Energiequelle Netzhoppers KW-Bestensee;0:3 / 60:75;Landkost-Arena Bestensee (15741 Bestensee);0:3 / 60:75;2022/23;1. Bundesliga Männer Zwischenrunde 5-9;männlich;00:03;60:75;81;291;0;:;3;20;:;25;25;22;:;25;28;18;:;25;28;;;;;;;;
05.02.2023;17:30:00;Spieltag 1;VCO Berlin;Helios GRIZZLYS Giesen;VCO Berlin;0:3 / 51:75;Sportforum Berlin (13053 Berlin);0:3 / 51:75;2022/23;1. Bundesliga Männer Zwischenrunde 5-9;männlich;00:03;51:75;66;65;0;:;3;19;:;25;20;16;:;25;23;16;:;25;23;;;;;;;;
12.02.2023;15:00:00;Spieltag 2;TSV Haching München;Helios GRIZZLYS Giesen;TSV Haching München;0:3 / 53:75;Geothermie Arena (82008 Unterhaching);0:3 / 53:75;2022/23;1. Bundesliga Männer Zwischenrunde 5-9;männlich;00:03;53:75;73;150;0;:;3;15;:;25;24;19;:;25;26;19;:;25;23;;;;;;;;
18.02.2023;17:30:00;Spieltag 3;Energiequelle Netzhoppers KW-Bestensee;TSV Haching München;Energiequelle Netzhoppers KW-Bestensee;3:1 / 101:90;Landkost-Arena Bestensee (15741 Bestensee);3:1 / 101:90;2022/23;1. Bundesliga Männer Zwischenrunde 5-9;männlich;03:01;101:90;107;322;3;:;1;25;:;20;23;25;:;20;26;26;:;28;29;25;:;22;29;;;;
18.02.2023;20:00:00;Spieltag 3;Helios GRIZZLYS Giesen;WWK Volleys Herrsching;Helios GRIZZLYS Giesen;2:3 / 105:112;Volksbank-Arena Hildesheim (31137 Hildesheim);2:3 / 105:112;2022/23;1. Bundesliga Männer Zwischenrunde 5-9;männlich;02:03;105:112;136;1456;2;:;3;25;:;23;30;25;:;23;31;24;:;26;31;20;:;25;28;11;:;15;16
19.02.2023;14:00:00;Spieltag 3;VCO Berlin;TSV Haching München;VCO Berlin;0:3 / 64:75;Sportforum Berlin (13053 Berlin);0:3 / 64:75;2022/23;1. Bundesliga Männer Zwischenrunde 5-9;männlich;00:03;64:75;79;87;0;:;3;23;:;25;25;18;:;25;25;23;:;25;29;;;;;;;;
22.02.2023;20:00:00;Spieltag 2;WWK Volleys Herrsching;Energiequelle Netzhoppers KW-Bestensee;WWK Volleys Herrsching;2:3 / 98:105;BMW Park (81373 München);2:3 / 98:105;2022/23;1. Bundesliga Männer Zwischenrunde 5-9;männlich;02:03;98:105;114;1000;2;:;3;25;:;23;28;13;:;25;21;25;:;17;23;23;:;25;27;12;:;15;15
04.03.2023;17:30:00;Spieltag 4;Helios GRIZZLYS Giesen;Energiequelle Netzhoppers KW-Bestensee;Helios GRIZZLYS Giesen;3:0 / 79:68;Volksbank-Arena Hildesheim (31137 Hildesheim);3:0 / 79:68;2022/23;1. Bundesliga Männer Zwischenrunde 5-9;männlich;03:00;79:68;88;1311;3;:;0;28;:;26;31;26;:;24;31;25;:;18;26;;;;;;;;
05.03.2023;17:00:00;Spieltag 4;TSV Haching München;WWK Volleys Herrsching;TSV Haching München;0:3 / 61:75;Geothermie Arena (82008 Unterhaching);0:3 / 61:75;2022/23;1. Bundesliga Männer Zwischenrunde 5-9;männlich;00:03;61:75;79;400;0;:;3;23;:;25;27;19;:;25;29;19;:;25;23;;;;;;;;
