Datum;Uhrzeit;ST;Mannschaft 1;Mannschaft 2;Gastgeber;Austragungsort/Ergebnis;Austragungsort;Ergebnis;Saison;Spielrunde;Geschlecht;Satzpunkte;Ballpunkte;Spieldauer;Zuschauerzahl;Satzpunkte 1;:;Satzpunkte 2;Satz 1 - Ballpunkte 1;:;Satz 1 - Ballpunkte 2;Satz 1 - Satzdauer;Satz 2 - Ballpunkte 1;:;Satz 2 - Ballpunkte 2;Satz 2 - Satzdauer;Satz 3 - Ballpunkte 1;:;Satz 3 - Ballpunkte 2;Satz 3 - Satzdauer;Satz 4 - Ballpunkte 1;:;Satz 4 - Ballpunkte 2;Satz 4 - Satzdauer;Satz 5 - Ballpunkte 1;:;Satz 5 - Ballpunkte 2;Satz 5 - Satzdauer
08.10.2022;17:30:00;Spieltag 1;Energiequelle Netzhoppers KW-Bestensee;Helios GRIZZLYS Giesen;Energiequelle Netzhoppers KW-Bestensee;2:3 / 109:106;Landkost-Arena Bestensee (15741 Bestensee);2:3 / 109:106;2022/23;1. Bundesliga Männer;männlich;02:03;109:106;134;415;2;:;3;26;:;28;29;25;:;18;28;23;:;25;32;25;:;20;28;10;:;15;17
08.10.2022;20:00:00;Spieltag 1;WWK Volleys Herrsching;SWD powervolleys Düren;WWK Volleys Herrsching;3:1 / 92:82;BMW Park (81373 München);3:1 / 92:82;2022/23;1. Bundesliga Männer;männlich;03:01;92:82;112;900;3;:;1;17;:;25;27;25;:;17;27;25;:;20;29;25;:;20;29;;;;
09.10.2022;16:00:00;Spieltag 1;TSV Haching München;BERLIN RECYCLING Volleys;TSV Haching München;0:3 / 62:78;Geothermie Arena (82008 Unterhaching);0:3 / 62:78;2022/23;1. Bundesliga Männer;männlich;00:03;62:78;82;150;0;:;3;21;:;25;29;15;:;25;23;26;:;28;30;;;;;;;;
09.10.2022;17:30:00;Spieltag 1;SVG Lüneburg;VCO Berlin;SVG Lüneburg;3:0 / 75:42;LKH Arena (21339 Lüneburg);3:0 / 75:42;2022/23;1. Bundesliga Männer;männlich;03:00;75:42:00;68;1050;3;:;0;25;:;9;20;25;:;15;23;25;:;18;25;;;;;;;;
15.10.2022;17:30:00;Spieltag 2;Helios GRIZZLYS Giesen;TSV Haching München;Helios GRIZZLYS Giesen;3:0 / 75:44;Volksbank-Arena Hildesheim (31137 Hildesheim);3:0 / 75:44;2022/23;1. Bundesliga Männer;männlich;03:00;75:44:00;78;976;3;:;0;25;:;14;28;25;:;12;23;25;:;18;27;;;;;;;;
15.10.2022;20:00:00;Spieltag 2;SWD powervolleys Düren;Energiequelle Netzhoppers KW-Bestensee;SWD powervolleys Düren;3:0 / 75:56;Arena Kreis Düren (52349 Düren);3:0 / 75:56;2022/23;1. Bundesliga Männer;männlich;03:00;75:56:00;79;1000;3;:;0;25;:;18;29;25;:;19;26;25;:;19;24;;;;;;;;
16.10.2022;13:00:00;Spieltag 2;VCO Berlin;WWK Volleys Herrsching;VCO Berlin;1:3 / 82:97;Sportforum Berlin (13053 Berlin);1:3 / 82:97;2022/23;1. Bundesliga Männer;männlich;01:03;82:97;102;78;1;:;3;16;:;25;24;25;:;22;26;18;:;25;25;23;:;25;27;;;;
16.10.2022;16:00:00;Spieltag 2;BERLIN RECYCLING Volleys;VfB Friedrichshafen;BERLIN RECYCLING Volleys;3:1 / 104:92;Max-Schmeling-Halle (10437 Berlin);3:1 / 104:92;2022/23;1. Bundesliga Männer;männlich;03:01;104:92;118;5238;3;:;1;24;:;26;29;30;:;28;36;25;:;16;23;25;:;22;30;;;;
19.10.2022;19:00:00;Spieltag 3;TSV Haching München;VfB Friedrichshafen;TSV Haching München;0:3 / 53:75;Geothermie Arena (82008 Unterhaching);0:3 / 53:75;2022/23;1. Bundesliga Männer;männlich;00:03;53:75;70;150;0;:;3;20;:;25;27;17;:;25;21;16;:;25;22;;;;;;;;
19.10.2022;19:30:00;Spieltag 3;Helios GRIZZLYS Giesen;SWD powervolleys Düren;Helios GRIZZLYS Giesen;2:3 / 99:106;Volksbank-Arena Hildesheim (31137 Hildesheim);2:3 / 99:106;2022/23;1. Bundesliga Männer;männlich;02:03;99:106;137;836;2;:;3;16;:;25;26;25;:;19;29;23;:;25;31;25;:;22;31;10;:;15;20
