Last Name;First Name;First Name Last Name;Last Name First Name;Height;Gender;Date of Birth;Jersey Number;Nationality;Position
Baxp”hler;Noah;Noah Baxp”hler;Baxp”hler, Noah;209;m„nnlich;13.08.1993;18;de;Mittelblock
Colito;Augusto Renato;Augusto Renato Colito;Colito, Augusto Renato;196;Mann;23.01.1997;1;Spanien;Diagonal
Engelmann;Linus Jonas;Linus Jonas Engelmann;Engelmann, Linus Jonas;193;m„nnlich;01.02.2002;11;Deutschland;Auáenangriff
Gnth”r;Jakob;Jakob Gnth”r;Gnth”r, Jakob;212;m„nnlich;21.09.1995;12;GER;middle
Iribarne Fernandez;Francisco Javier;Francisco Javier Iribarne Fernandez;Iribarne Fernandez, Francisco Javier;197;male;13.07.1998;4;Spanien;Auáenangriff
Ivanov;Fedor;Fedor Ivanov;Ivanov, Fedor;195;m„nnlich;01.12.2000;13;Finland;Zuspiel
Karlitzek;Lorenz;Lorenz Karlitzek;Karlitzek, Lorenz;195;m„nnlich;17.02.1999;15;Deutschland;outside
K”ykk„;Voitto Aleksi;Voitto Aleksi K”ykk„;K”ykk„, Voitto Aleksi;179;m„nnlich;03.06.1999;9;Finnland;Libero
Mantha;Jori Alexander;Jori Alexander Mantha;Mantha, Jori Alexander;192;1;27.11.1992;3;Kanada;Auáenangriff
R”ling;Jan;Jan R”ling;R”ling, Jan;189;m„nnlich;15.09.1999;10;ger;Setter
Seybering;David;David Seybering;Seybering, David;204;m„nnlich;19.12.1995;8;Deutschland;Mittelblock
Wagner;Hauke;Hauke Wagner;Wagner, Hauke;198;1;30.05.1987;5;Deutschland;Diagonal
Stein;Itamar;Itamar Stein;Stein, Itamar;199;m„nnlich;12.02.1983;;Israel;head coach
Poikela;Antti;Antti Poikela;Poikela, Antti;191;m„nnlich;06.04.1989;;Finnland;Co-Trainer
Kucera;Sascha;Sascha Kucera;Kucera, Sascha;185;m„nnlich;25.08.1978;;Deutschland;Co-Trainer (Scout)
Persson;Vanessa;Vanessa Persson;Persson, Vanessa;keine Angabe;Frau;22.01.1983;;ger;Co-Trainer (Scout)
Urbanek;Stefan;Dr. Stefan Urbanek;Dr. Urbanek, Stefan;175;m„nnlich;29.03.1989;;Deutschland;Co-Trainer (Scout)
R”ssig;Stefan;Dr. Stefan R”ssig;Dr. R”ssig, Stefan;190;m„nnlich;13.09.1960;;Deutschland;Arzt
Doliwa;Simon Luca;Simon Luca Doliwa;Doliwa, Simon Luca;999;m„nnlich;04.09.1994;;ger;Physiotherapeut
Heldt;Konstantin;Konstantin Heldt;Heldt, Konstantin;0;m„nnlich;02.02.1998;;Deutschland;Physiotherapeut
Peters;Marcus;Marcus Peters;Peters, Marcus;0;m„nnlich;09.10.1987;;Deutschland;Physiotherapeut
Urbanek;Stefan;Dr. Stefan Urbanek;Dr. Urbanek, Stefan;175;m„nnlich;29.03.1989;;Deutschland;Statistiker
