Last Name;First Name;First Name Last Name;Last Name First Name;Height;Gender;Date of Birth;Jersey Number;Nationality;Position
B?hme;Yann Niclas;Yann Niclas B?hme;B?hme, Yann Niclas;204;Mann;02.08.1997;10;de;Diagonal
Cowell;Colton Mark;Colton Mark Cowell;Cowell, Colton Mark;185;m?nnlich;04.03.1997;17;Vereinigte Staaten von Amerika;Au†enangriff
Eshenko;Pearson;Pearson Eshenko;Eshenko, Pearson;204;m?nnlich;16.10.1997;2;Canada;Mittelblock
Ewert;Jordan;Jordan Ewert;Ewert, Jordan;194;m?nnlich;18.03.1997;4;Vereinigte Staaten von Amerika;Au†enangriff
Gerken;Hannes;Hannes Gerken;Gerken, Hannes;187;1;29.05.1998;9;DE;Zuspiel
Ketrzynski;Xander Wolf Wassenaar;Xander Wolf Wassenaar Ketrzynski;Ketrzynski, Xander Wolf Wassenaar;208;m?nnlich;27.01.2000;11;Kanada;middle blocker
Maase;Lukas;Lukas Maase;Maase, Lukas;212;m?nnlich;28.08.1998;12;GER;opposite hitter
Mohwinkel;Theo;Theo Mohwinkel;Mohwinkel, Theo;196;m?nnlich;22.11.2002;8;Deutschland;Universal
Schnitzer;Jordan Ralph;Jordan Ralph Schnitzer;Schnitzer, Jordan Ralph;198;male;28.07.1999;16;Kanada;Mittelblock
van de Kamp;Auke;Auke van de Kamp;van de Kamp, Auke;202;m?nnlich;31.07.1995;5;Holland;Au†enangriff
Worsley;Gage Thomas;Gage Thomas Worsley;Worsley, Gage Thomas;188;m?nnlich;21.10.1998;6;Vereinigte Staaten von Amerika;Libero
Worsley;Joseph;Joseph Worsley;Worsley, Joseph;185;m?nnlich;16.06.1997;1;USA;setter
HÅbner;Stefan;Stefan HÅbner;HÅbner, Stefan;200;m?nnlich;13.06.1975;;Deutschland;coach (headcoach)
Hinz;S?hnke;S?hnke Hinz;Hinz, S?hnke;999;1;27.02.1969;;Deutschland;Co-Trainer
Pompe;Matthias;Matthias Pompe;Pompe, Matthias;198;m?nnlich;15.02.1984;;de;Co-Trainer
Schlesinger;Bernd;Bernd Schlesinger;Schlesinger, Bernd;0;m?nnlich;10.03.1959;;Deutschland;Co-Trainer
Knospe;Christian;Christian Knospe;Knospe, Christian;176;1;16.05.1990;;Deutschland;Co-Trainer (Scout)
Becker;Daniel;Daniel Becker;Becker, Daniel;0;m?nnlich;10.10.1980;;ger;Arzt
Buller;Thomas;Dr. Thomas Buller;Dr. Buller, Thomas;NA;m?nnlich;14.07.1963;;Deutschland;Arzt
Schulz;Christian;Christian Schulz;Schulz, Christian;keine Angabe;m?nnlich;23.09.1968;;Deutschland;Arzt
Hofferbert;Nele;Nele Hofferbert;Hofferbert, Nele;0;2;02.02.1998;;Deutschland;Physiotherapeut
Kahlen;Lisa;Lisa Kahlen;Kahlen, Lisa;172;2;26.10.1995;;DE;Physiotherapeut
Kuke;Thomas;Thomas Kuke;Kuke, Thomas;999;m?nnlich;26.05.1969;;Deutschland;Physiotherapeut
Nitschke;Ulf;Ulf Nitschke;Nitschke, Ulf;0;m?nnlich;24.07.1973;;Deutschland;Physiotherapeut
Knospe;Christian;Christian Knospe;Knospe, Christian;176;Mann;16.05.1990;;Deutschland;Statistiker
