Last Name;First Name;First Name Last Name;Last Name First Name;Height;Gender;Date of Birth;Jersey Number;Nationality;Position
Bann;Blair;Blair Bann;Bann, Blair;195;m„nnlich;26.02.1988;8;Kanada;Libero
Biernat;Mateusz;Mateusz Biernat;Biernat, Mateusz;195;m„nnlich;19.05.1992;5;Polen;Zuspiel
Brown;Andre;Andre Brown;Brown, Andre;206;Mann;24.08.1990;18;Kanada;middle blocker
B”hme;Marcus;Marcus B”hme;B”hme, Marcus;212;m„nnlich;25.08.1985;11;GER;Mittelblock
Cacic;Vojin;Vojin Cacic;Cacic, Vojin;202;Mann;31.03.1990;13;Montenegro;outside
Kohn;Simon;Simon Kohn;Kohn, Simon;190;m„nnlich;05.08.2004;16;Deutschland;Universal
Martinez Palacios;Miguel Angel;Miguel Angel Martinez Palacios;Martinez Palacios, Miguel Angel;200;1;23.10.2003;17;Kolumbien;Diagonal
Nedeljkovic;Aleksandar;Aleksandar Nedeljkovic;Nedeljkovic, Aleksandar;207;m„nnlich;27.10.1997;1;Serbien;Mittelblock
Pekovic;Nikola;Nikola Pekovic;Pekovic, Nikola;176;m„nnlich;06.03.1990;10;Serbia;Libero
Peter;Tim;Tim Peter;Peter, Tim;197;m„nnlich;08.09.1997;4;de;Auáenangriff
Superlak;Michal;Michal Superlak;Superlak, Michal;206;m„nnlich;16.11.1993;6;Polen;opoositte    hitter
Vicentin;Luciano;Luciano Vicentin;Vicentin, Luciano;197;m„nnlich;04.04.2000;7;Argentinien;Auáenangriff
Vincic;Dejan;Dejan Vincic;Vincic, Dejan;202;m„nnlich;15.09.1986;9;Slowenia;setter
?tern;?iga;?iga ?tern;?tern, ?iga;193;m„nnlich;02.01.1994;14;Slowenien;Auáenangriff
Lebedew;Mark;Mark Lebedew;Lebedew, Mark;0;m„nnlich;06.05.1967;;Australien;head of coaching
Sketcher;Liam;Liam Sketcher;Sketcher, Liam;keine Angabe;m„nnlich;11.02.1983;;Australien;Co-Trainer
Vemic;Radomir;Radomir Vemic;Vemic, Radomir;198;m„nnlich;28.04.1984;;Serbien;Co-Trainer (Scout)
Weber;Liane;Liane Weber;Weber, Liane;0;Frau;24.02.1986;;Deutschland;Co-Trainer (Scout)
Frei;Patrick;Patrick Frei;Frei, Patrick;999;m„nnlich;19.04.1973;;Deutschland;Arzt
Kees;Johann;Johann Kees;Kees, Johann;0;m„nnlich;07.01.1962;;Deutschland;Arzt
Suntheim;Patrick Volo;Patrick Volo Suntheim;Suntheim, Patrick Volo;999;m„nnlich;05.08.1974;;DE;Arzt
Bender;Isabell;Isabell Bender;Bender, Isabell;NA;m„nnlich;10.05.1994;;ger;Physiotherapeut
Keck;Johanna;Johanna Keck;Keck, Johanna;NA;female;21.04.1999;;Deutschland;Physiotherapeut
Klenk;Oliver;Oliver Klenk;Klenk, Oliver;0;m„nnlich;12.04.1979;;Deutschland;Physiotherapeut
Morgenroth;Marco;Marco Morgenroth;Morgenroth, Marco;999;male;07.06.1992;;Deutschland;Physiotherapeut
