Rank;Name;Position;Points overall;Errors overall;Points per Set;Sets played;Games played;Top-Scorer
7;Brand, Tobias ;Auﬂenangriff;67;54;3,5;19;5;13
7;Ewert, Jordan ;Auﬂenangriff;73;60;3,2;23;6;13
10;Kessel, Cody ;Auﬂenangriff;35;23;2,7;13;4;12
14;Carle, TimothÈe ;Auﬂenangriff;64;58;3,2;20;7;6
14;van de Kamp, Auke ;Auﬂenangriff;47;41;2,6;18;6;6
18;Schulz, Max ;Auﬂenangriff;19;14;3,2;6;2;5
19;Westphal, Dirk ;Auﬂenangriff;17;13;2,4;7;2;4
25;Karlitzek, Lorenz ;Auﬂenangriff;52;52;3,7;14;3;0
25;Ronkainen, Antti ;Auﬂenangriff;10;10;0,5;20;8;0
28;Andrae, Bjˆrn ;Auﬂenangriff;2;3;1;2;1;-1
28;Baumann, Felix ;Auﬂenangriff;1;2;0,3;3;2;-1
31;Nogueira Silva, Thiago Vanole;Auﬂenangriff;3;5;1,5;2;1;-2
40;Sagstetter, Jonas;Auﬂenangriff;10;13;1,7;6;2;-3
51;Cowell, Colton Mark ;Auﬂenangriff;13;19;1,2;11;5;-6
51;Iribarne Fernandez, Francisco Javier ;Auﬂenangriff;22;28;1,6;14;3;-6
51;Peter, Tim ;Auﬂenangriff;66;72;1,7;39;10;-6
55;Rˆhrs, Erik Johannes ;Auﬂenangriff;20;27;2,2;9;3;-7
55;Timmermann, Theo ;Auﬂenangriff;21;28;2,6;8;2;-7
55;Vicentin, Luciano ;Auﬂenangriff;128;135;3,6;36;10;-7
61;Mantha, Jori Alexander ;Auﬂenangriff;1;9;0,2;5;3;-8
62;Ernastowicz, Marcin ;Auﬂenangriff;31;41;1,9;16;5;-10
64;Cacic, Vojin ;Auﬂenangriff;36;49;2;18;6;-13
64;Rupprecht, Patrick ;Auﬂenangriff;8;21;1,3;6;2;-13
66;Schott, Ruben ;Auﬂenangriff;69;83;2,5;28;8;-14
45;Hurt, Albert;Auﬂenangriff;13;17;1,9;7;2;-4
1;Superlak, Michal ;Diagonal;159;123;4,0;40;10;36
2;Sotola, Marek ;Diagonal;120;86;4,6;26;7;34
3;Gevert, Sebasti·n ;Diagonal;60;39;3,8;16;5;21
4;Bˆhme, Yann Niclas ;Diagonal;54;35;3,9;14;6;19
7;van Tilburg, Stijn;Diagonal;35;22;5;7;2;13
11;John, Filip ;Diagonal;24;13;2,7;9;3;11
13;Colito, Augusto Renato ;Diagonal;34;26;3,8;9;2;8
14;Petrusic, Juro ;Diagonal;23;17;3,8;6;2;6
20;Krauchuk, Matheus ;Diagonal;12;9;4;3;1;3
23;Wagner, Hauke ;Diagonal;32;30;2,9;11;3;2
45;Maase, Lukas ;Diagonal;44;48;1,9;23;6;-4
55;Schumann, Philipp ;Diagonal;12;19;2;6;2;-7
63;Deweese, Randy ;Diagonal;14;25;1,8;8;2;-11
4;Ketrzynski, Xander Wolf Wassenaar ;Mittelblock;63;44;3,3;19;6;19
6;Mote, Nehemiah ;Mittelblock;63;46;2,4;26;7;17
12;Brehme, Anton 'Toni';Mittelblock;70;60;2,6;27;8;10
14;Presho, Kyler ;Mittelblock;17;11;2,1;8;2;6
20;Nedeljkovic, Aleksandar ;Mittelblock;61;58;1,8;33;10;3
23;van der Ent, Luuc ;Mittelblock;46;44;2,4;19;5;2
25;Gehringer, Paul ;Mittelblock;1;1;1;1;1;0
31;Bˆhme, Marcus ;Mittelblock;10;12;1,3;8;2;-2
31;Gumenjuk, Mark ;Mittelblock;6;8;1,2;5;2;-2
31;Pettersson, David ;Mittelblock;30;32;1,6;19;5;-2
40;Ilic, Djordje ;Mittelblock;14;17;2;7;2;-3
40;Seybering, David ;Mittelblock;6;9;1;6;3;-3
45;Baxpˆhler, Noah ;Mittelblock;13;17;1;13;3;-4
45;Eshenko, Pearson ;Mittelblock;12;16;0,9;14;5;-4
51;Chamberlain, Max ;Mittelblock;12;18;1,5;8;2;-6
55;G¸nthˆr, Jakob ;Mittelblock;19;26;1,4;14;3;-7
66;Rˆsler, Sebastian Lucas ;Mittelblock;4;18;0,7;6;2;-14
66;Schnitzer, Jordan Ralph ;Mittelblock;24;38;1,8;13;4;-14
70;Brown, Andre ;Mittelblock;69;87;1,7;40;10;-18
40;Borris, Maciej;Mittelblock;19;22;2,7;7;2;-3
20;Tille, Johannes ;Zuspiel;31;28;1,2;26;7;3
28;Rˆling, Jan ;Zuspiel;1;2;0,1;11;3;-1
31;Biernat, Mateusz ;Zuspiel;6;8;0,4;17;8;-2
31;Burggr‰f, Eric ;Zuspiel;4;6;0,3;14;5;-2
31;Ivanov, Fedor ;Zuspiel;15;17;1,1;14;3;-2
31;Keturakis, Byron ;Zuspiel;12;14;1,5;8;2;-2
31;Trinidad, ¡ngel ;Zuspiel;6;8;0,8;8;5;-2
40;Kocian-Falkenbach, Tomas ;Zuspiel;14;17;0,8;17;5;-3
45;Paduretu, Eric ;Zuspiel;1;5;0,3;4;2;-4
50;Shaw, James Walker;Zuspiel;7;12;1;7;2;-5
55;Vincic, Dejan ;Zuspiel;14;21;0,4;33;9;-7
69;Worsley, Joe;Zuspiel;11;26;0,5;23;6;-15
