Rank	Name	Position	Team	Country	Points overall	Errors overall	Points per Set	Sets played	Games played	Top-Scorer
1	Superlak, Michal 	Diagonal	Friedrichshafen 		159	123	4,0	40	10	36
2	Sotola, Marek 	Diagonal	Berlin 		120	86	4,6	26	7	34
3	Gevert, Sebasti†n 	Diagonal	DÅren 		60	39	3,8	16	5	21
4	Bîhme, Yann Niclas 	Diagonal	LÅneburg 		54	35	3,9	14	6	19
4	Ketrzynski, Xander Wolf Wassenaar 	Mittelblock	LÅneburg 		63	44	3,3	19	6	19
6	Mote, Nehemiah 	Mittelblock	Berlin 		63	46	2,4	26	7	17
7	Brand, Tobias 	Au·enangriff	DÅren 		67	54	3,5	19	5	13
7	Ewert, Jordan 	Au·enangriff	LÅneburg 		73	60	3,2	23	6	13
7	van Tilburg, Stijn	Diagonal	Herrsching 		35	22	5	7	2	13
10	Kessel, Cody 	Au·enangriff	Berlin 		35	23	2,7	13	4	12
11	John, Filip 	Diagonal	DÅren 		24	13	2,7	9	3	11
12	Brehme, Anton 	Mittelblock	Berlin 		70	60	2,6	27	8	10
13	Colito, Augusto Renato 	Diagonal	Giesen 		34	26	3,8	9	2	8
14	Carle, TimothÇe 	Au·enangriff	Berlin 		64	58	3,2	20	7	6
14	Petrusic, Juro 	Diagonal	Haching MÅnchen 		23	17	3,8	6	2	6
14	Presho, Kyler 	Mittelblock	KînigsWusterh. 		17	11	2,1	8	2	6
14	van de Kamp, Auke 	Au·enangriff	LÅneburg 		47	41	2,6	18	6	6
18	Schulz, Max 	Au·enangriff	KînigsWusterh. 		19	14	3,2	6	2	5
19	Westphal, Dirk 	Au·enangriff	KînigsWusterh. 		17	13	2,4	7	2	4
20	Krauchuk, Matheus 	Diagonal	Berlin 		12	9	4	3	1	3
20	Nedeljkovic, Aleksandar 	Mittelblock	Friedrichshafen 		61	58	1,8	33	10	3
20	Tille, Johannes 	Zuspiel	Berlin 		31	28	1,2	26	7	3
23	Wagner, Hauke 	Diagonal	Giesen 		32	30	2,9	11	3	2
