Rank;Name;Position;Team;Country;Points overall;Errors overall;Points per Set;Sets played;Games played;Top-Scorer
1;Superlak, Michal ;Diagonal;Friedrichshafen ;;236;144;4,5;53;14;92
2;Ewert, Jordan ;Außenangriff;Lüneburg ;;244;159;4,2;58;16;85
3;Gevert, Sebastián ;Diagonal;Düren ;;173;92;4,0;43;13;81
4;Brand, Tobias ;Außenangriff;Düren ;;218;139;4,0;54;14;79
5;Sotola, Marek ;Diagonal;Berlin ;;198;120;4,4;45;14;78
6;Hurt, Albert;Außenangriff;Herrsching ;;218;145;4,0;55;16;73
7;Colito, Augusto Renato ;Diagonal;Giesen ;;171;121;3,2;53;16;50
8;John, Filip ;Diagonal;Düren ;;111;64;2,6;43;14;47
9;Schott, Ruben ;Außenangriff;Berlin ;;122;81;3,1;39;12;41
10;Maase, Lukas ;Diagonal;Lüneburg ;;144;105;2,9;49;14;39
11;Wagner, Hauke ;Diagonal;Giesen ;;95;57;2,9;33;13;38
12;Böhme, Yann Niclas ;Diagonal;Lüneburg ;;93;63;3;31;13;30
13;Brehme, Anton ;Mittelblock;Berlin ;;125;97;2,7;46;15;28
14;Cowell, Colton Mark ;Außenangriff;Lüneburg ;;110;83;2,9;38;11;27
15;Peter, Tim ;Außenangriff;Friedrichshafen ;;117;90;2,8;42;12;27
16;Zeller, Quentin;Außenangriff;Haching München ;;108;81;2,3;46;16;27
17;Kessel, Cody ;Außenangriff;Berlin ;;83;57;2,8;30;14;26
18;Goralik, Yannick ;Mittelblock;KönigsWusterh. ;;103;80;1,7;60;16;23
19;Karlitzek, Lorenz ;Außenangriff;Giesen ;;199;177;3,6;55;15;22
20;Carle, Timothée ;Außenangriff;Berlin ;;130;109;3,5;37;12;21
21;Günthör, Jakob ;Mittelblock;Giesen ;;105;84;2,2;47;14;21
22;Nedeljkovic, Aleksandar ;Mittelblock;Friedrichshafen ;;105;86;2,3;46;14;19
23;Schnitzer, Jordan Ralph ;Mittelblock;Lüneburg ;;132;113;2,5;53;16;19
24;Böhme, Marcus ;Mittelblock;Friedrichshafen ;;93;75;2,0;46;13;18
