Last Name;First Name;First Name Last Name;Last Name First Name;Height;Gender;Date of Birth;Jersey Number;Nationality;Position
Brehme;Anton;Anton Brehme;Brehme, Anton;206;m„nnlich;10.08.1999;8;Deutschland;middle     blocker
Carle;Timoth‚e;Timoth‚e Carle;Carle, Timoth‚e;198;m„nnlich;30.11.1995;9;Frankreich;Auáenangriff
Dosanjh;Arshdeep;Arshdeep Dosanjh;Dosanjh, Arshdeep;205;m„nnlich;30.07.1996;4;Australien;Zuspiel
Kessel;Cody;Cody Kessel;Kessel, Cody;197;m„nnlich;03.12.1991;11;Vereinigte Staaten von Amerika;Auáenangriff
Kowalski;Adam;Adam Kowalski;Kowalski, Adam;180;m„nnlich;16.09.1994;1;Polen;Libero
Krauchuk;Matheus;Matheus Krauchuk;Krauchuk, Matheus;201;Male;04.11.1997;18;Brasilien;Diagonal
Mote;Nehemiah;Nehemiah Mote;Mote, Nehemiah;203;m„nnlich;21.06.1993;5;Australien;Mittelblock
Patch;Benjamin;Benjamin Patch;Patch, Benjamin;205;m„nnlich;21.06.1994;16;Vereinigte Staaten von Amerika;opposite 
Ronkainen;Antti;Antti Ronkainen;Ronkainen, Antti;191;m„nnlich;11.08.1996;3;Finnland;Auáenangriff
Schott;Ruben;Ruben Schott;Schott, Ruben;192;male;08.07.1994;13;ger;Auáenangriff
Sotola;Marek;Marek Sotola;Sotola, Marek;208;m„nnlich;05.11.1999;17;Tschechische Republik;Diagonal
Tille;Johannes;Johannes Tille;Tille, Johannes;184;m„nnlich;07.05.1997;6;Deutschland;setter
Trinidad;µngel;µngel Trinidad;Trinidad, µngel;192;m„nnlich;27.03.1993;10;Spain;Zuspiel
Tsuiki;Satoshi;Satoshi Tsuiki;Tsuiki, Satoshi;174;1;16.01.1992;2;Japan;Libero
?talekar;Sa?o;Sa?o ?talekar;?talekar, Sa?o;214;m„nnlich;03.05.1996;12;Slowenien;Mittelblock
Enard;C‚dric;C‚dric Enard;Enard, C‚dric;NA;m„nnlich;20.03.1976;;Frankreich;Cheftrainer
Oro;Lucio;Lucio Oro;Oro, Lucio;999;m„nnlich;19.04.1977;;Italien;Co-Trainer
Fronicke;Sophia;Sophia Fronicke;Fronicke, Sophia;170;female;17.04.1992;;Deutschland;Co-Trainer (Scout)
Miltner;Oliver;Dr. Oliver Miltner;Dr. Miltner, Oliver;0;m„nnlich;27.01.1964;;DE;Arzt
Fangmann;Antu;Antu Fangmann;Fangmann, Antu;0;m„nnlich;10.02.1995;;Deutschland;Physiotherapeut
Fronicke;Sophia;Sophia Fronicke;Fronicke, Sophia;170;Frau;17.04.1992;;Deutschland;Physiotherapeut
Zajac;Rafal;Rafal Zajac;Zajac, Rafal;keine Angabe;m„nnlich;02.01.1988;;Polen;Statistiker
