Last Name;First Name;First Name Last Name;Last Name First Name;Height;Gender;Date of Birth;Jersey Number;Nationality;Position
Barsemian;Raymond Sarkis;Raymond Sarkis Barsemian;Barsemian, Raymond Sarkis;198;m„nnlich;13.09.1997;2;Vereinigte Staaten von Amerika;opposite hitter
Baumann;Felix;Felix Baumann;Baumann, Felix;201;m„nnlich;07.03.2005;17;Deutschland;Auáenangriff
Berger;Gian-Luca;Gian-Luca Berger;Berger, Gian-Luca;185;m„nnlich;27.08.2002;16;Deutschland;Libero
Chamberlain;Max;Max Chamberlain;Chamberlain, Max;200;Mann;24.02.1997;5;Vereinigte Staaten von Amerika;Mittelblock
Deweese;Randy;Randy Deweese;Deweese, Randy;201;m„nnlich;05.06.1998;12;USA;Diagonal
Eckardt;Moritz;Moritz Eckardt;Eckardt, Moritz;185;m„nnlich;15.06.2001;15;Deutschland;Libero
Goralik;Yannick;Yannick Goralik;Goralik, Yannick;206;m„nnlich;23.10.1997;4;de;Middle Blocker
Keturakis;Byron;Byron Keturakis;Keturakis, Byron;200;1;11.01.1996;1;Kanada;Zuspiel
Presho;Kyler;Kyler Presho;Presho, Kyler;203;m„nnlich;08.08.1999;14;Vereinigte Staaten von Amerika;Mittelblock
Schmidgall;Mario;Mario Schmidgall;Schmidgall, Mario;206;m„nnlich;02.05.1998;3;Deutschland;Setter
Schulz;Max;Max Schulz;Schulz, Max;198;m„nnlich;25.08.2002;9;GER;Auáenangriff
Timmermann;Theo;Theo Timmermann;Timmermann, Theo;190;male;14.09.1996;11;Deutschland;Opposite
Westphal;Dirk;Dirk Westphal;Westphal, Dirk;203;m„nnlich;31.01.1986;8;Deutschland;Auáenangriff
Wasilkowski;Tomasz;Tomasz Wasilkowski;Wasilkowski, Tomasz;NA;1;20.07.1983;;Poland;Trainer
Gosztyla;Patryk;Patryk Gosztyla;Gosztyla, Patryk;999;m„nnlich;19.08.1993;;Polen;Co-Trainer
Wersinger;Britta;Britta Wersinger;Wersinger, Britta;165;Frau;15.04.1970;;ger;Co-Trainer (Scout)
Dragowsky;Kai;Kai Dragowsky;Dragowsky, Kai;0;m„nnlich;28.02.1970;;Deutschland;Arzt
H”hn;Winfried;Winfried H”hn;H”hn, Winfried;999;m„nnlich;18.03.1970;;Deutschland;Arzt
Ewald;David;David Ewald;Ewald, David;0;m„nnlich;29.12.1982;;Deutschland;Physiotherapeut
Rebsch;Gerold;Gerold Rebsch;Rebsch, Gerold;186;m„nnlich;16.04.1981;;Deutschland;Statistiker
