Last Name;First Name;First Name Last Name;Last Name First Name;Height;Gender;Date of Birth;Jersey Number;Nationality;Position
Andrae;Bj”rn;Bj”rn Andrae;Andrae, Bj”rn;200;m„nnlich;14.05.1981;8;Deutschland;Auáenangriff
Andrei;Michael;Michael Andrei;Andrei, Michael;208;m„nnlich;06.08.1985;11;Deutschland;Middle Blocker
Batanov;Ivan;Ivan Batanov;Batanov, Ivan;185;Mann;25.04.2000;1;Deutschland;Libero
Bernsmann;Leo;Leo Bernsmann;Bernsmann, Leo;187;m„nnlich;14.07.2004;16;DE;Libero
Brand;Tobias;Tobias Brand;Brand, Tobias;195;m„nnlich;09.07.1998;10;Deutschland;Auáenangriff
Burggr„f;Eric;Eric Burggr„f;Burggr„f, Eric;184;Mann;10.03.1999;12;Ger;Zuspiel
Ernastowicz;Marcin;Marcin Ernastowicz;Ernastowicz, Marcin;190;m„nnlich;31.07.1997;9;Polen;Outside Hitter
Gevert;Sebasti n;Sebasti n Gevert;Gevert, Sebasti n;204;m„nnlich;23.06.1988;13;Chile;Diagonal
John;Filip;Filip John;John, Filip;204;m„nnlich;01.08.2001;7;Deutschland;Opposite
Kocian-Falkenbach;Tomas;Tomas Kocian-Falkenbach;Kocian-Falkenbach, Tomas;192;male;27.03.1988;17;de;Setter
Pettersson;David;David Pettersson;Pettersson, David;206;m„nnlich;21.01.1994;14;Schweden;Mittelblock
R”hrs;Erik Johannes;Erik Johannes R”hrs;R”hrs, Erik Johannes;201;m„nnlich;24.04.2001;6;Deutschland;Auáenangriff
Urban;Melf;Melf Urban;Urban, Melf;203;m„nnlich;28.06.2001;4;Deutschland;Mittelblock
van der Ent;Luuc;Luuc van der Ent;van der Ent, Luuc;208;m„nnlich;27.07.1998;5;Holland;Mittelblock
Alber;Bj”rn-Arne;Bj”rn-Arne Alber;Alber, Bj”rn-Arne;190;m„nnlich;12.04.1981;;Deutschland;Coach
Werscheck;Bernd;Bernd Werscheck;Werscheck, Bernd;190;m„nnlich;27.02.1961;;Deutschland;Co-Trainer
Andrei;Michael;Michael Andrei;Andrei, Michael;208;m„nnlich;06.08.1985;;Deutschland;Co-Trainer (Scout)
Bednarek;Karolina;Karolina Bednarek;Bednarek, Karolina;190;Frau;31.10.1988;;Polen;Co-Trainer (Scout)
Lukowsky;Stefan;Dr. med. Stefan Lukowsky;Dr. med. Lukowsky, Stefan;190;m„nnlich;24.08.1967;;Deutschland;Arzt
Bednarek;Karolina;Karolina Bednarek;Bednarek, Karolina;190;2;31.10.1988;;Polen;Physiotherapeut
Runge;Jonas;Jonas Runge;Runge, Jonas;182;m„nnlich;16.01.1989;;Deutschland;Physiotherapeut
Kwiecinski;Kamil;Kamil Kwiecinski;Kwiecinski, Kamil;187;m„nnlich;02.05.1993;;Polen;Statistiker
Niklaus;Kai;Kai Niklaus;Niklaus, Kai;keine Angabe;m„nnlich;26.08.1990;;Deutschland;Statistiker
