Last Name;First Name;First Name Last Name;Last Name First Name;Height;Gender;Date of Birth;Jersey Number;Nationality;Position
Chefai;Mohamed;Mohamed Chefai;Chefai, Mohamed;190;Mann;13.09.1994;18;Tunesien;Libero
Gehringer;Paul;Paul Gehringer;Gehringer, Paul;198;m„nnlich;29.10.2000;4;Deutschland;Mittelblock
Gumenjuk;Mark;Mark Gumenjuk;Gumenjuk, Mark;196;m„nnlich;24.01.2000;12;GER;middle  blocker
Gnther;Daniel;Daniel Gnther;Gnther, Daniel;202;male;24.10.2005;10;Deutschland;Mittelblock
Krenkel;Florian;Florian Krenkel;Krenkel, Florian;193;m„nnlich;17.02.2001;3;ger;Auáenangriff
Mikul ss Koch;Marcell;Marcell Mikul ss Koch;Mikul ss Koch, Marcell;188;m„nnlich;23.10.2002;1;Ungarn;Setter
Paduretu;Eric;Eric Paduretu;Paduretu, Eric;182;m„nnlich;20.09.1999;17;Deutschland;Zuspiel
Petrusic;Juro;Juro Petrusic;Petrusic, Juro;197;Male;22.05.2003;11;Deutschland;Diagonal
Rupprecht;Patrick;Patrick Rupprecht;Rupprecht, Patrick;195;m„nnlich;28.05.2003;15;Deutschland;Auáenangriff
R”sler;Sebastian Lucas;Sebastian Lucas R”sler;R”sler, Sebastian Lucas;197;m„nnlich;02.11.2001;13;Deutschland;Mittelblock
Schumann;Philipp;Philipp Schumann;Schumann, Philipp;200;m„nnlich;02.05.1993;5;Deutschland;opposite
Takano;Mika Kenji;Mika Kenji Takano;Takano, Mika Kenji;180;1;03.05.2008;2;de;Libero
Katanovic;Adis;Adis Katanovic;Katanovic, Adis;194;m„nnlich;29.09.1977;;Bosnien und Herzegowina;Trainer
Paduretu;Mihai;Mihai Paduretu;Paduretu, Mihai;192;m„nnlich;18.01.1967;;Deutschland;chef trainer
Pochop;Stanislav;Stanislav Pochop;Pochop, Stanislav;202;m„nnlich;19.09.1966;;Tschechische Republik;Trainer
Tanase;Bogdan;Bogdan Tanase;Tanase, Bogdan;keine Angabe;m„nnlich;07.07.1981;;Rum„nien;Trainer
Katanovic;Adis;Adis Katanovic;Katanovic, Adis;194;m„nnlich;29.09.1977;;Bosnien und Herzegowina;Co-Trainer
Paduretu;Mihai;Mihai Paduretu;Paduretu, Mihai;192;1;18.01.1967;;Deutschland;Co-Trainer
Pochop;Stanislav;Stanislav Pochop;Pochop, Stanislav;202;m„nnlich;19.09.1966;;Tschechische Republik;Co-Trainer
Katanovic;Adis;Adis Katanovic;Katanovic, Adis;194;m„nnlich;29.09.1977;;Bosnien und Herzegowina;Co-Trainer (Scout)
R”ttinger;Michael Heinrich;Dr. med. Michael Heinrich R”ttinger;Dr. med. R”ttinger, Michael Heinrich;0;m„nnlich;25.02.1968;;Deutschland;Arzt
Stahl;Thomas;Dr. Thomas Stahl;Dr. Stahl, Thomas;NA;m„nnlich;08.12.1954;;Deutschland;Arzt
Thiel;Stephan;Dr. Stephan Thiel;Dr. Thiel, Stephan;999;m„nnlich;11.12.1964;;Deutschland;Arzt
Friedrich;Carolin;Carolin Friedrich;Friedrich, Carolin;999;Frau;23.02.1988;;Deutschland;Physiotherapeut
Iannucci;Guerino;Guerino Iannucci;Iannucci, Guerino;NA;m„nnlich;16.02.1968;;ger;Physiotherapeut
Kahlmann;Frank;Frank Kahlmann;Kahlmann, Frank;0;m„nnlich;11.01.1968;;Deutschland;Statistiker
Milovancevic;Aleksandar;Aleksandar Milovancevic;Milovancevic, Aleksandar;194;m„nnlich;29.04.1986;;Serbia;Statistiker
Tanase;Bogdan;Bogdan Tanase;Tanase, Bogdan;keine Angabe;m„nnlich;07.07.1981;;Rum„nien;Statistiker
