Last Name;First Name;First Name Last Name;Last Name First Name;Height;Gender;Date of Birth;Jersey Number;Nationality;Position
Amedegnato;Djifa Julien;Djifa Julien Amedegnato;Amedegnato, Djifa Julien;198;m„nnlich;17.09.2003;1;Deutschland;Zuspiel
Baumann;Felix;Felix Baumann;Baumann, Felix;201;m„nnlich;07.03.2005;2;Deutschland;Auáenangriff
Eckardt;Marius;Marius Eckardt;Eckardt, Marius;182;Mann;02.09.2003;10;Deutschland;Libero
Hemmer;Felix;Felix Hemmer;Hemmer, Felix;196;m„nnlich;25.06.2004;14;Deutschland;Opposite Hitter
Homberger;Lovis;Lovis Homberger;Homberger, Lovis;204;m„nnlich;11.02.2004;5;Deutschland;Diagonal
Jung;Anton;Anton Jung;Jung, Anton;199;m„nnlich;20.03.2003;8;Deutschland;Auáenangriff
Jung;Fabian;Fabian Jung;Jung, Fabian;199;1;03.06.2003;13;Deutschland;Mittelblock
Kirsch;Benjamin;Benjamin Kirsch;Kirsch, Benjamin;204;m„nnlich;03.04.2006;14;GER;Middle Blocker
Klehm;Karl-Lennart;Karl-Lennart Klehm;Klehm, Karl-Lennart;200;m„nnlich;25.07.2003;9;Deutschland;Mittelblock
Kunstmann;Joscha;Joscha Kunstmann;Kunstmann, Joscha;200;m„nnlich;20.07.2003;11;Deutschland;Diagonal
Kvrzic;Milan;Milan Kvrzic;Kvrzic, Milan;193;m„nnlich;16.05.2004;4;Deutschland;Setter
K”nig;Maximilian;Maximilian K”nig;K”nig, Maximilian;200;Mann;15.01.2005;3;Deutschland;Mittelblock
M”ller;Carl;Carl M”ller;M”ller, Carl;207;m„nnlich;26.01.2004;7;Deutschland;Mittelblock
Nissen;Maximilian;Maximilian Nissen;Nissen, Maximilian;206;m„nnlich;06.01.2003;6;GER;Auáenangriff
Trpe;Tim;Tim Trpe;Trpe, Tim;177;Mann;28.07.2005;18;Deutschland;Libero
Welsch;Laurenz;Laurenz Welsch;Welsch, Laurenz;195;m„nnlich;20.06.2003;12;Deutschland;Universal
Wiesner;Jannes;Jannes Wiesner;Wiesner, Jannes;196;m„nnlich;18.07.2003;17;Deutschland;Auáenangriff
Ilott;Daniel John;Daniel John Ilott;Ilott, Daniel John;NA;m„nnlich;27.01.1975;;Australie;Trainer
Baudach;Johannes;Johannes Baudach;Baudach, Johannes;999;m„nnlich;25.12.1989;;Deutschland;Co-Trainer
Nestke;Andreas;Andreas Nestke;Nestke, Andreas;0;m„nnlich;29.05.1953;;Deutschland;Co-Trainer
Petrov;Viktor;Viktor Petrov;Petrov, Viktor;0;m„nnlich;08.04.1993;;Bulgarien;Co-Trainer
Reinhardt;Sebastian;Sebastian Reinhardt;Reinhardt, Sebastian;999;m„nnlich;14.04.1985;;Deutschland;Co-Trainer
von K„nel;Dominic;Dominic von K„nel;von K„nel, Dominic;197;m„nnlich;21.02.1994;;Deutschland;Co-Trainer
Baudach;Johannes;Johannes Baudach;Baudach, Johannes;NA;m„nnlich;25.12.1989;;Deutschland;Co-Trainer (Scout)
Frommann;Boje;Boje Frommann;Frommann, Boje;NA;m„nnlich;25.07.1999;;Deutschland;Co-Trainer (Scout)
K”nig;Shyann;Shyann K”nig;K”nig, Shyann;166;Frau;20.02.2000;;Deutschland;Co-Trainer (Scout)
Petrov;Viktor;Viktor Petrov;Petrov, Viktor;0;m„nnlich;08.04.1993;;Bulgarien;Co-Trainer (Scout)
Reinhardt;Sebastian;Sebastian Reinhardt;Reinhardt, Sebastian;177;m„nnlich;14.04.1985;;Deutschland;Co-Trainer (Scout)
von K„nel;Dominic;Dominic von K„nel;von K„nel, Dominic;197;m„nnlich;21.02.1994;;Deutschland;Co-Trainer (Scout)
Dahl;Justin;Justin Dahl;Dahl, Justin;999;m„nnlich;30.09.1998;;DE;Physiotherapeut
Fronicke;Sophia;Sophia Fronicke;Fronicke, Sophia;170;female;17.04.1992;;Deutschland;Physiotherapeut
Kornprobst;Fabian;Fabian Kornprobst;Kornprobst, Fabian;NA;m„nnlich;16.10.1997;;GER;Physiotherapeut
Pusheva;Anna;Anna Pusheva;Pusheva, Anna;0;weiblich;25.12.1999;;Bulgarien;Physiotherapeut
Sakelaris;Alexandros;Alexandros Sakelaris;Sakelaris, Alexandros;keine Angabe;male;18.12.1991;;Deutschland;Physiotherapeut
Scholz;Jenny-Katrin;Jenny-Katrin Scholz;Scholz, Jenny-Katrin;0;weiblich;28.10.2000;;GER;Physiotherapeut
Sekudlareh;Wojciech;Wojciech Sekudlareh;Sekudlareh, Wojciech;NA;m„nnlich;22.10.1992;;Polen;Physiotherapeut
Suhnel;Alyssa-Manique;Alyssa-Manique Suhnel;Suhnel, Alyssa-Manique;keine Angabe;weiblich;06.05.1999;;Deutschland;Physiotherapeut
Rebsch;Gerold;Gerold Rebsch;Rebsch, Gerold;186;m„nnlich;16.04.1981;;Deutschland;Statistiker
