Last Name;First Name;First Name Last Name;Last Name First Name;Height;Gender;Date of Birth;Jersey Number;Nationality;Position
Brandt;Severin;Severin Brandt;Brandt, Severin;185;m„nnlich;06.02.2004;13;Deutschland;Zuspiel
Dustinac;Enes;Enes Dustinac;Dustinac, Enes;205;male;05.02.1992;5;Serbia;Mittelblock
Engemann;Norbert;Norbert Engemann;Engemann, Norbert;201;m„nnlich;17.09.1997;10;Deutschland;Middle blocker
Graven;Leonard;Leonard Graven;Graven, Leonard;180;m„nnlich;22.04.2004;17;Deutschland;Libero
Ilic;Djordje;Djordje Ilic;Ilic, Djordje;208;m„nnlich;23.09.1994;1;Serbien;Mittelblock
Kaminski;Jonas;Jonas Kaminski;Kaminski, Jonas;196;Mann;08.05.1996;8;Deutschland;Diagonal
Tille;Ferdinand;Ferdinand Tille;Tille, Ferdinand;185;m„nnlich;08.12.1988;7;DE;Libero
Welsch;Laurenz;Laurenz Welsch;Welsch, Laurenz;195;m„nnlich;20.06.2003;12;Deutschland;Outside Hitter
Ranner;Thomas;Thomas Ranner;Ranner, Thomas;203;m„nnlich;31.07.1987;;Deutschland;Trainer
Hauser;Maximilian;Maximilian Hauser;Hauser, Maximilian;188;Mann;01.01.1984;;GER;Co-Trainer
Lindemann;Uwe;Uwe Lindemann;Lindemann, Uwe;keine Angabe;m„nnlich;28.07.1965;;Deutschland;Co-Trainer
Lindemann;Uwe;Uwe Lindemann;Lindemann, Uwe;999;m„nnlich;28.07.1965;;Deutschland;Co-Trainer (Scout)
Mattes;Michael;Michael Mattes;Mattes, Michael;190;m„nnlich;29.03.1959;;™sterreich;Co-Trainer (Scout)
Altmann;Daniel;Daniel Altmann;Altmann, Daniel;0;m„nnlich;15.01.1995;;Deutschland;Arzt
Kugler;Andreas;Dr Andreas Kugler;Dr Kugler, Andreas;0;m„nnlich;16.04.1963;;Deutschland;Arzt
B”ddecker;Christopher;Christopher B”ddecker;B”ddecker, Christopher;193;m„nnlich;16.12.1982;;Deutschland;Physiotherapeut
Hausner;Lena;Lena Hausner;Hausner, Lena;NA;Frau;02.05.2004;;ger;Physiotherapeut
Lcke;Robin;Robin Lcke;Lcke, Robin;0;m„nnlich;30.10.1992;;de;Physiotherapeut
Mattes;Christoph;Christoph Mattes;Mattes, Christoph;191;m„nnlich;19.01.1998;;Deutschland;Physiotherapeut
Mattes;Michael;Michael Mattes;Mattes, Michael;190;m„nnlich;29.03.1959;;™sterreich;Statistiker
Nestler;Eric;Eric Nestler;Nestler, Eric;175;m„nnlich;09.03.1996;;Deutschland;Statistiker
