Rank	Name	Position	Points overall	Errors overall	Points per Set	Sets played	Games played	Top-Scorer
45	Homberger, Lovis 	Diagonal	1	1	0,5	2	2	0
42	Engelmann, Linus Jonas 	Au·enangriff	4	3	0,7	6	4	1
53	Rîling, Jan 	Zuspiel	1	4	0,0	28	11	-3
58	Kirsch, Benjamin 	Mittelblock	2	6	0,3	7	4	-4
61	Kînig, Maximilian 	Mittelblock	2	7	0,5	4	2	-5
62	Engemann, Norbert 	Mittelblock	5	11	0,5	11	6	-6
69	Brandt, Severin 	Zuspiel	2	11	0,1	15	10	-9
56	Dosanjh, Arshdeep 	Zuspiel	9	13	0,6	14	7	-4
44	Urban, Melf 	Mittelblock	15	14	1,4	11	6	1
50	Trinidad, µngel 	Zuspiel	14	15	0,7	19	6	-1
55	Andrae, Bjîrn 	Au·enangriff	13	17	1,4	9	3	-4
78	Gerken, Hannes 	Zuspiel	4	17	0,1	27	11	-13
46	Kohn, Simon 	Universal	19	19	1,1	18	10	0
64	GÅnther, Daniel 	Mittelblock	12	19	1,1	11	7	-7
75	Gehringer, Paul 	Mittelblock	8	20	0,4	18	7	-12
60	Ferch, Iven Fietje	Mittelblock	17	22	1,3	13	7	-5
25	Martinez Palacios, Miguel	Diagonal	45	28	3,8	12	7	17
49	Cacic, Vojin 	Au·enangriff	29	30	1,1	26	9	-1
88	Kvrzic, Milan 	Zuspiel	8	31	0,2	35	13	-23
90	Paduretu, Eric 	Zuspiel	7	32	0,2	33	13	-25
66	Vincic, Dejan 	Zuspiel	27	34	0,8	35	10	-7
74	Mîller, Carl 	Mittelblock	26	37	1,5	17	9	-11
76	Biernat, Mateusz 	Zuspiel	24	37	0,8	32	11	-13
86	Schmidgall, Mario 	Zuspiel	18	37	0,4	44	15	-19
52	Mohwinkel, Theo 	Universal	35	38	2,1	17	7	-3
65	Krenkel, Florian 	Au·enangriff	32	39	1	32	14	-7
41	van de Kamp, Auke 	Au·enangriff	44	41	2	22	9	3
33	Presho, Kyler 	Mittelblock	53	42	1,8	29	11	11
39	Seybering, David 	Mittelblock	48	43	1,7	28	10	5
40	Wiesner, Jannes 	Au·enangriff	47	44	2,2	21	10	3
31	Krauchuk, Matheus 	Diagonal	57	46	2,3	25	11	11
100	Amedegnato, Djifa 	Zuspiel	10	46	0,2	45	16	-36
85	BurggrÑf, Eric 	Zuspiel	28	47	0,5	57	16	-19
93	Jung, Fabian 	Mittelblock	19	48	0,6	34	14	-29
95	Mikul†ss Koch, Marcell 	Zuspiel	19	48	0,4	46	16	-29
63	Rîhrs, Erik Johannes 	Au·enangriff	43	49	1,4	31	11	-6
94	Kocian-Falkenbach, Tomas 	Zuspiel	20	49	0,5	39	12	-29
91	Tille, Johannes 	Zuspiel	26	51	0,5	49	16	-25
51	Nissen, Maximilian 	Au·enangriff	50	52	1,4	37	16	-2
79	Keturakis, Byron 	Zuspiel	41	54	0,8	50	14	-13
28	Mote, Nehemiah 	Mittelblock	69	56	2,0	34	11	13
11	Wagner, Hauke 	Diagonal	95	57	2,9	33	13	38
17	Kessel, Cody 	Au·enangriff	83	57	2,8	30	14	26
27	Ronkainen, Antti 	Au·enangriff	71	57	1,4	50	16	14
35	Pettersson, David 	Mittelblock	67	57	2,1	32	11	10
30	Iribarne Fernandez, Francisco  	Au·enangriff	69	58	1,9	37	14	11
87	Ivanov, Fedor 	Zuspiel	36	59	0,8	43	12	-23
