title,type,creator,year
Ronde wierookdoos,wierookdoos,lacquerer,1923
Schotel met een voorstelling van de kruisiging,schotel,anonymous,1780
Zwaardmesheft,kozuka,anonymous,1500
Zwaardstootplaat,tsuba,Shoami Ietake,1600
Zwaardstootplaat,tsuba,anonymous,1600
Fragment van een deurpost,beeldhouwwerk,anonymous,200
Pot met een spiraalpatroon,pot,anonymous,-3000
Hemelnimf,beeldhouwwerk,anonymous,1600
Votiefstoepa,beeldhouwwerk,anonymous,1600
Ronde doos met bloemranken,doos,anonymous,1650
Wrijfprent,wrijfprent,NA,1900
Kalligrafie,rolschildering,Zhang Jian,1900
Conische kom met een ingegrifte bloemranken,kom,anonymous,1127
Doos,doos,anonymous,1800
Gedichtblad,surimono,anonymous,1850
Chushingura scenes,tekening,anonymous,1875
Japans-Chinese schetsen van Mokyo,boek,"Ryôtai, Tatebe",1770
Benkei,rolschildering,"Toshihide, Migita",1880
Doek,doek,anonymous,1900
Jas,jas,anonymous,1900
Schotel met geschulpte rand,schotel,anonymous,1000
Hoofd van slapende Vishnu,beeldhouwwerk,anonymous,1100
Beeld van een godin,beeldhouwwerk,anonymous,1775
Javaanse kris,kris,anonymous,1800
Sculptuur van een stier,beeldhouwwerk,anonymous,-206
Fragment textiel,textiel,anonymous,1681
Textielfragment,textiel,anonymous,1848
Conische kom met drie ingegrifte medaillons,kom,anonymous,960
"Kraaikop met Chinese dames, bomen en een vogel op een rots",kraaikop,anonymous,1600
Ondiepe theekom met een bruin glazuur en witte rand,theekom,anonymous,960
Theekom met een grijsrood glazuur,kom,anonymous,1575
Vaas met sangi-motief,vaas,anonymous,1700
Stoftheebus met een groenbruin glazuur,chaire,anonymous,1700
Theekom met personen en bloemtakken,theekom,anonymous,1775
Schaal,schaal,Yutokusai,1873
"Kanagawa, bergopwaarts",prent,"Hiroshige (I), Utagawa",1828
Kimono op een standaard,surimono,anonymous,1800
Deksel van suikerpot met het wapen van de familie Romswinckel,deksel,anonymous,1765
Kop met Chinese dames en bloemtakken,kop,anonymous,1875
Eivormige dekselpot met perzikbloesem op 'crackled ice',pot,anonymous,1680
Bord met een familiewapen en Europese band met schelpmotief,bord (vaatwerk),anonymous,1750
Schotel met het portret van Lieve Geelvinck,schotel,anonymous,1760
Klokvormige kop met het wapen van de familie Edwards,kop,anonymous,1740
Peervormige melkkan met een familiewapen en bloemranken,kan,anonymous,1725
Oorkop met een Europees paar zittend in een landschap,kop,anonymous,1775
Deksel van peervormige melkkan met Europeanen in een landschap en twee bloemtakken,deksel,anonymous,1775
Kop met vier dames in een landschap,kop,anonymous,1750
Baluster wandvaas met twee personen in een landschap,vaas,anonymous,1800
Kop met antiquiteiten en bloemtakken,kop,anonymous,1725
Schotel met twee mensen voor een paviljoen en bloemtakken,schotel,anonymous,1775
Schotel met twee vechtende hanen tussen bloeiende planten,kop-en-schotel,anonymous,1725
Schotel met bloemenmand en vaas,schotel,anonymous,1725
Kop met afhangende bloemtakken en een bruin glazuur,kop,anonymous,1740
"Theepot met takken in reliëf, een guirlande en bloeiende planten",theepot,anonymous,1675
Cilindrische doos in de vorm van een krekelkooi,doos,anonymous,1675
Kom met vogels en bloemtakken,kom,anonymous,1670
Rechthoekige theebus bedekt met lichtblauw glazuur en antiquiteiten in cartouches,theebus,anonymous,1760
Deksel van dekselpot met bloemen en gestileerde ranken,deksel,anonymous,1700
"Schotel met rotsen, bloemtakken en vogels",schotel,anonymous,1700
Theepot van rood steengoed,theepot,anonymous,1800
Plaque met het bezoek van een mandarijn,schildering,anonymous,1770
Rolwagenvaas met een gezelschap in een landschap,vaas,anonymous,1620
Eivormige dekselpot met perzikbloesems op 'crackled ice' en antiquiteiten,dekselpot,anonymous,1680
Klokvormige kom met opengewerkte wand en bloemtakken in medaillons,kom,anonymous,1635
Bord met rivierlandschap en bloemtakken,bord (vaatwerk),anonymous,1740
Handsieraad,sieraad,anonymous,1750
Klokvormige kom met een bloemtak en bloemranken,kom,anonymous,1400
"Schaal met een vogel op een rots, bloemtakken en gelukssymbolen",schaal,anonymous,1650
Driepoot voor watervat,driepoot,anonymous,1200
Een schip op volle zee,albumblad,anonymous,1700
Schotel met het alliantiewapen van de families Victor en Van Overstraten,schotel,anonymous,1775
"Comfoor, geschilderd email op koper",komfoor,anonymous,1740
Deksel van peervormige melkkan uit het 'Swellengrebel theeservies' met een dubbel gekroond monogram en band met bloemranken,deksel,anonymous,1740
Vrouwen maru obi met Rinpa waaiers,obi,anonymous,1920
Mannen haori met ‘Hideyoshi’s volharding’,kimono,anonymous,1920
Onderkimono voor mannen,kimono,anonymous,1920
