"Date","Open","High","Low","Close","Adj.Close","Volume"
"2014-06-20",4.7975,4.815,4.695,4.7325,4.505627,35314800
"2014-06-23",4.67,4.68,4.615,4.6775,4.453262,41420000
"2014-06-24",4.67,4.7075,4.585,4.605,4.384239,27578000
"2014-06-25",4.6175,4.655,4.575,4.6525,4.429461,21542000
"2014-06-26",4.6525,4.655,4.575,4.59,4.369957,25690800
"2014-06-27",4.585,4.6225,4.5575,4.595,4.374718,30282000
"2014-06-30",4.5775,4.6475,4.5775,4.635,4.412799,18051200
"2014-07-01",4.63,4.715,4.615,4.6875,4.462784,32118000
"2014-07-02",4.67,4.69,4.6425,4.67,4.446123,17928400
"2014-07-03",4.6275,4.725,4.6275,4.7125,4.486585,13689200
"2014-07-07",4.72,4.7225,4.6675,4.675,4.450882,12749600
"2014-07-08",4.6625,4.6825,4.5925,4.6375,4.41518,22194000
"2014-07-09",4.6775,4.7975,4.6425,4.7775,4.548469,38766800
"2014-07-10",4.6875,4.7725,4.65,4.7525,4.524667,26630800
"2014-07-11",4.7575,4.7775,4.74,4.7625,4.534186,19118800
"2014-07-14",4.7825,4.835,4.765,4.8225,4.591311,27263600
"2014-07-15",4.83,4.855,4.7975,4.8425,4.610354,39544000
"2014-07-16",4.8625,4.9,4.81,4.8375,4.605594,31972800
"2014-07-17",4.7825,4.875,4.7825,4.825,4.593691,32483200
"2014-07-18",4.725,4.7625,4.6025,4.61,4.389,56781600
"2014-07-21",4.5925,4.67,4.5925,4.6375,4.41518,24336400
"2014-07-22",4.6725,4.6975,4.6075,4.6175,4.396139,29881600
"2014-07-23",4.62,4.6225,4.515,4.52,4.303313,29735200
"2014-07-24",4.545,4.5575,4.495,4.5275,4.310453,25457600
"2014-07-25",4.5125,4.5225,4.44,4.4475,4.234289,26613200
"2014-07-28",4.4675,4.4675,4.355,4.43,4.217628,33035200
"2014-07-29",4.4325,4.505,4.43,4.445,4.231909,21797200
"2014-07-30",4.4725,4.5325,4.46,4.52,4.303313,24618400
"2014-07-31",4.465,4.5,4.3675,4.375,4.165265,40188000
"2014-08-01",4.375,4.4475,4.36,4.4225,4.210488,21988400
"2014-08-04",4.4175,4.455,4.39,4.4125,4.200967,24172400
"2014-08-05",4.4,4.48,4.3625,4.415,4.203347,29813600
"2014-08-06",4.385,4.465,4.3525,4.41,4.198587,22345600
"2014-08-07",4.4475,4.4875,4.335,4.365,4.155744,40769600
"2014-08-08",4.555,4.775,4.555,4.75,4.522286,89434800
"2014-08-11",4.755,4.775,4.7125,4.725,4.498486,34462400
"2014-08-12",4.7225,4.75,4.6725,4.725,4.498486,29615200
"2014-08-13",4.7325,4.7925,4.7025,4.7525,4.524667,25659600
"2014-08-14",4.77,4.77,4.68,4.7,4.474684,25599200
"2014-08-15",4.715,4.7875,4.67,4.76,4.531809,36979600
"2014-08-18",4.78,4.83,4.7325,4.825,4.593691,28407600
"2014-08-19",4.805,4.8675,4.7875,4.8425,4.630747,24826000
"2014-08-20",4.825,4.8475,4.8,4.8125,4.602058,22146800
"2014-08-21",4.8,4.825,4.76,4.7675,4.559027,27279600
"2014-08-22",4.7625,4.81,4.7325,4.77,4.561417,25122400
"2014-08-25",4.79,4.8225,4.7675,4.7775,4.56859,15338000
"2014-08-26",4.79,4.8725,4.7725,4.8625,4.649872,26963600
"2014-08-27",4.8325,4.87,4.8,4.8075,4.597277,18297200
"2014-08-28",4.7975,4.8575,4.7825,4.8475,4.635529,17970400
"2014-08-29",4.865,4.8725,4.8125,4.8625,4.649872,20793200
"2014-09-02",4.875,4.875,4.83,4.875,4.661825,19263600
"2014-09-03",4.9,4.9375,4.8675,4.92,4.704859,25945600
"2014-09-04",4.9125,5.0375,4.91,5.0075,4.788532,49183200
"2014-09-05",5.0025,5.025,4.96,4.9925,4.774189,25379200
"2014-09-08",4.9875,4.9975,4.9275,4.9475,4.731156,31928800
"2014-09-09",4.925,4.9575,4.88,4.885,4.67139,19858800
"2014-09-10",4.9125,4.92,4.8575,4.9025,4.688125,17237600
"2014-09-11",4.8675,4.885,4.8,4.8525,4.64031,25072000
"2014-09-12",4.8825,4.8825,4.775,4.78,4.570981,26253600
"2014-09-15",4.795,4.8025,4.695,4.715,4.508821,29415200
"2014-09-16",4.7025,4.81,4.6875,4.785,4.57576,21993600
"2014-09-17",4.7725,4.8325,4.75,4.7875,4.578153,17358400
NA,NA,NA,NA,NA,NA,NA
"2014-09-19",4.875,4.88,4.7625,4.77,4.561417,60131600
"2014-09-22",4.8675,4.8675,4.7175,4.7225,4.515994,22146400
"2014-09-23",4.6975,4.755,4.68,4.7025,4.496868,19614400
"2014-09-24",4.7,4.745,4.695,4.73,4.523168,15959200
"2014-09-25",4.725,4.7375,4.6175,4.6275,4.425148,29844000
"2014-09-26",4.6425,4.6725,4.6225,4.6375,4.434711,24118800
"2014-09-29",4.6,4.6625,4.555,4.63,4.42754,20854000
"2014-09-30",4.61,4.645,4.5575,4.6125,4.410805,27720400
"2014-10-01",4.62,4.6525,4.555,4.5675,4.367772,35097600
"2014-10-02",4.56,4.5825,4.4425,4.5475,4.348647,28899600
"2014-10-03",4.575,4.6375,4.5575,4.5575,4.358209,23914000
"2014-10-06",4.575,4.6125,4.5,4.53,4.331912,19903200
"2014-10-07",4.51,4.555,4.4775,4.4825,4.286489,30189600
"2014-10-08",4.4775,4.5875,4.4425,4.565,4.365382,26017200
"2014-10-09",4.545,4.55,4.44,4.4775,4.281707,30695600
"2014-10-10",4.4425,4.4575,4.21,4.2125,4.028297,69137600
"2014-10-13",4.24,4.325,4.1925,4.1975,4.013952,39762800
"2014-10-14",4.255,4.4125,4.23,4.295,4.107188,37662000
"2014-10-15",4.2325,4.3825,4.205,4.36,4.169346,40442800
"2014-10-16",4.2825,4.4125,4.2725,4.3625,4.171736,35111600
"2014-10-17",4.415,4.465,4.3375,4.355,4.164565,29071600
"2014-10-20",4.355,4.4325,4.325,4.3925,4.200425,20033600
