"Cell.ID","Time.point","Intensity","Area"
0,0,13965.6128440367,545
1,0,18489.7421052632,188.5
2,0,12720.375,479
3,0,16707.5051282051,389.5
4,0,21172.0204081633,394
5,0,12054.1039426523,551.5
6,0,16564.1040462428,348
7,0,23054.9854014599,141.5
8,0,14201.5762195122,331
9,0,11698.5732217573,471.5
10,0,16087.6787709497,357
11,0,13425.4083769634,191
13,0,11240.8797250859,577.5
14,0,14284.7433751743,712.5
15,0,11186.8388106416,638
0,1,13904.943738657,552.5
1,1,17595.0297029703,204
2,1,12558.2024048096,500.5
3,1,16675.2358974359,389
4,1,21095.4086294416,394.5
5,1,11904.3032159265,644
6,1,16398.0914285714,351.5
7,1,22936.0736196319,162.5
8,1,14210.9442724458,325.5
9,1,11649.9195171026,496.5
10,1,16198.4075144509,347
11,1,13496.9611111111,177.5
12,1,15511.2790697674,87.5
13,1,11187.7473684211,573.5
14,1,14591.5048387097,613
15,1,11091.2360446571,628
0,2,13846.4901256733,556
1,2,18731.0207253886,193
2,2,12518.2703777336,499.5
3,2,16601.0535714286,391.5
4,2,21065.3569620253,394.5
5,2,11919.9600614439,645
6,2,16240.3296089385,360.5
7,2,23065.3962264151,159
8,2,14158.5061349693,328.5
9,2,11638.1480730223,489.5
10,2,16041.4630681818,354.5
11,2,13437.9891891892,185
12,2,15561.6219512195,81.5
13,2,11149.4352159468,601
14,2,15938.6348837209,433.5
15,2,11094.2904238619,634
0,3,13889.7435897436,548.5
1,3,18630.7218934911,172
2,3,12487.3346693387,493.5
3,3,16562.3873417722,393.5
4,3,21196.8691099476,381
5,3,11859.6570188133,685.5
6,3,16356.4726224784,346.5
7,3,22315.5909090909,176.5
8,3,14231.5867507886,320
9,3,11635.9646569647,479
10,3,16130.6246334311,341
11,3,13268.0480769231,210
12,3,15452.8269230769,102.5
13,3,11151.24,551
14,3,15956.9880952381,424
15,3,11110.5529225908,630.5
0,4,13903.4752293578,545
1,4,16183.0875912409,276
2,4,12413.9181636727,500.5
3,4,16570.4202531646,394.5
4,4,20686.1469879518,412.5
5,4,11885.8624813154,665
6,4,16312.8538681948,350
7,4,22438.5542857143,172.5
8,4,14311.6209150327,308
9,4,11580.5513833992,506
10,4,16209.1117824773,334.5
11,4,13139.778280543,221.5
12,4,15276.4019607843,101
13,4,11101.5947281713,603
14,4,16380.3243967828,372
15,4,11086.1016949153,648
16,4,12301.3095238095,210
0,5,13754.7906574394,572.5
1,5,17298.8306451613,246.5
2,5,12560.2639175258,480.5
3,5,16523.835443038,396
4,5,21010.1313131313,395.5
5,5,11860.1994134897,675.5
6,5,16323.9255014327,350.5
7,5,22378.4176470588,169
8,5,14223.3227848101,318.5
9,5,11659.9409190372,460.5
10,5,16117.2589285714,336
11,5,13131.4027149321,219.5
12,5,15309.2718446602,103.5
13,5,11127.3315118397,550
14,5,16379.5757575758,366
15,5,11072.8183229814,644
16,5,12283.1598360656,241.5
0,6,13750.461130742,565
1,6,20529.082278481,158
2,6,12368.0614203455,517.5
3,6,16389.095,398.5
4,6,20999.5943152455,388.5
5,6,11828.1640058055,686
6,6,16244.1695402299,352
7,6,22288.8117647059,171
8,6,14212.6466876972,321.5
9,6,11593.3065843621,489.5
10,6,16115.7928994083,338
11,6,13058.1974248927,230.5
12,6,15315.4336283186,112.5
13,6,11092.1318101933,571
14,6,16549.3223880597,339.5
15,6,11070.3022900763,656.5
16,6,12367.5887445887,233.5
0,7,13724.8603839442,568
1,7,17661.9166666667,202
2,7,12437.8717391304,458
3,7,16424.148989899,395.5
4,7,21020.826873385,386
5,7,11868.7967599411,676.5
6,7,16481.2602339181,341
7,7,21817.5925925926,189.5
8,7,14251.5628930818,320.5
9,7,11632.9678800857,466
10,7,16091.0623145401,335.5
11,7,13036.9316239316,233.5
12,7,15162.0891089109,101.5
13,7,11066.9167974882,639.5
14,7,16659.271875,323.5
15,7,11049.0505359877,655.5
16,7,12197.3359375,252.5
0,8,13679.4974003466,577
1,8,17112.5529411765,254
2,8,12498.2753036437,492
3,8,16410.5736040609,393
4,8,20996.4652956298,388
5,8,11859.1911764706,682
6,8,16383.4396551724,349
7,8,21516.325,198
8,8,14270.1766561514,320
9,8,11606.9294605809,480.5
10,8,16071.119760479,333
11,8,13058.3776824034,233.5
12,8,15111.92,124
13,8,11069.9240310078,646
14,8,16399.597826087,369.5
15,8,11034.5490797546,656.5
16,8,12280.2209737828,266.5
0,9,13631.8400673401,592.5
1,9,20173.5511363636,177
2,9,12431.0411522634,485
3,9,16357.65,402
4,9,21166.6067708333,384.5
5,9,11822.1944847605,688.5
6,9,16395.9391304348,347
7,9,21892.0714285714,181
8,9,14270.5335463259,315.5
9,9,11600.6463414634,490
10,9,16263.2577639752,324.5
11,9,12965.4210526316,243
12,9,15337.696969697,130
13,9,11069.7290322581,615.5
14,9,16494.9884726225,351
15,9,11018.7593984962,666
16,9,12144.02734375,255.5
0,10,13645.4772344013,589
1,10,16858.2916666667,239
2,10,12213.1176470588,504.5
3,10,16364.9052369077,400
4,10,20529.3514851485,404.5
5,10,11752.0720108696,736.5
6,10,16416.6494252874,349.5
7,10,21838.8612716763,173
8,10,14193.4748427673,320
9,10,11670.7516198704,464
10,10,15994.2536023055,345.5
11,10,13117.4230769231,234.5
12,10,15388.3658536585,123.5
13,10,11073.5506329114,632.5
14,10,15928.2136150235,425.5
15,10,11022.5627836611,662.5
16,10,12181.4745098039,261.5
0,11,13671.0361445783,578.5
1,11,16128.2336769759,293.5
2,11,12175.856870229,521
3,11,16198.7815533981,411
4,11,20976.6552631579,378.5
5,11,11789.606741573,710.5
6,11,16605.8635014837,336.5
7,11,22091.6818181818,175
8,11,13888.0344827586,349
9,11,11653.449339207,452.5
10,11,16013.3970149254,335.5
11,11,13147.9908256881,218
12,11,15250.4444444444,117
13,11,11023.4307004471,672
14,11,15786.121559633,439
15,11,11014.9278195489,663
16,11,12075.6108949416,264.5
0,12,13696.7944732297,575
1,12,20075.6419753086,160.5
2,12,12352.1436363636,545.5
3,12,16159.84375,415.5
4,12,21156.9784366577,372.5
5,12,11725.3237221494,763
6,12,16581.6976047904,334
7,12,22271.6531791908,174
8,12,14034.7379518072,335.5
9,12,11674.0133037694,453.5
10,12,15938.6403508772,344.5
11,12,13005.950617284,242
12,12,15068.6692307692,130.5
13,12,11011.6734992679,680.5
14,12,16223.8342391304,370
15,12,11042.7725118483,634
16,12,11925.704467354,292
0,13,13610.2818791946,592
1,13,19928.9096385542,167
2,13,12329.2168224299,532.5
3,13,16266.6699751861,404.5
4,13,21038.6368563686,370
5,13,11754.6587412587,718.5
6,13,16782.9088145897,331
7,13,21952.9005847953,171.5
8,13,14195.1135646688,320
9,13,11673.565701559,450
10,13,15941.215339233,337.5
11,13,13100.6140350877,227
12,13,15231.9913043478,116.5
13,13,11037.0075987842,660
14,13,16085.8232323232,398
15,13,11018.7772435897,627.5
16,13,12031.3602941176,272.5
0,14,13546.5575959933,596.5
1,14,17211.0214592275,230.5
2,14,12023.0188679245,526
3,14,16123.5483091787,410.5
4,14,20859.8795811518,381
5,14,11731.4824797844,744
6,14,16649.8704819277,334
7,14,21748.7166666667,178
8,14,14214.8224299065,321.5
9,14,11652.4269911504,451.5
10,14,15952.6328358209,337.5
11,14,12996.2304526749,239.5
12,14,15020.9136690647,140.5
13,14,11061.8264984227,636.5
14,14,15891.6958525346,435.5
15,14,11043.1921182266,612
16,14,11970.0319148936,283
0,15,13572.3535353535,589.5
1,15,17985.18,198.5
2,15,12099.156462585,585.5
3,15,16105.845410628,413
4,15,21183.4277777778,362
5,15,11736.8680057389,699
6,15,16723.8359133127,325
7,15,21872.5384615385,184
8,15,14087.7811550152,332.5
9,15,11659.7716186253,448.5
10,15,16042.4498480243,331.5
11,15,13058.8340611354,231.5
12,15,14873.9186046512,172.5
13,15,11026.5328125,638
14,15,16002.9013333333,378
15,15,11048.057187017,648
16,15,12035.6052631579,266.5
0,16,13578.2676767677,593
1,16,20678.7086092715,151.5
2,16,12299.6723842196,581
3,16,16156.1646191646,405.5
4,16,20957.1424802111,377.5
5,16,11690.1783264746,729
6,16,16813.3592814371,336
7,16,22223.0643274854,172
8,16,14049.9420731707,330.5
9,16,11675.4922048998,445.5
10,16,16126.738170347,318
11,16,13110.2991071429,221.5
12,16,15000.625,145.5
13,16,11052.306122449,634.5
14,16,15843.3498759305,405
15,16,11060.3011272142,620
16,16,11928.0957854406,259.5
0,17,13610.494017094,584
1,17,17958.067357513,194
2,17,12103.3465909091,527
3,17,16041.8746987952,415
4,17,21062.0378378378,369
5,17,11701.4712482468,712
6,17,16506.4812680115,345
7,17,21969.7159090909,175
8,17,14013.972972973,336.5
9,17,11644.4541577825,465
10,17,16127.6199376947,323.5
11,17,13070.3648648649,222.5
12,17,14918.085106383,186
13,17,11027.2346786248,661
14,17,15539.5057471264,440
15,17,11032.6319875776,643.5
16,17,11988.7941176471,271
0,18,13530.915682968,589.5
1,18,16336.6145833333,288
2,18,12026.1297989031,545.5
3,18,15943.4728132388,422
4,18,21342.7891737892,353.5
5,18,11763.6091954023,694.5
6,18,16904.7445482866,321.5
7,18,22017.9885057471,175
8,18,14035.4334365325,325
9,18,11662.2810457516,454.5
10,18,15987.5290519878,328.5
11,18,12854.0737704918,243
12,18,14668.0172413793,171.5
13,18,11036.4437596302,644
14,18,15568.9675174014,432.5
15,18,11022.6251944012,645.5
16,18,11988.0479704797,270.5
0,19,13531.135,597.5
1,19,18167.4526315789,188
2,19,12136.505982906,581.5
3,19,15949.7933491686,418
4,19,21451.1023391813,343.5
5,19,11619.9565807327,738
6,19,16927.8229813665,321.5
7,19,21835.8959537572,171.5
8,19,13933.9732937685,338.5
9,19,11631.525751073,462
10,19,15864.963963964,330
11,19,12721.4942965779,264
12,19,14738.4829545455,175
13,19,11026.9938080495,643.5
14,19,15504.8755656109,442.5
15,19,11052.8175895765,619
16,19,11890.5781818182,276.5
0,20,13526.7738693467,594
1,20,20032.0322580645,155.5
2,20,12240.1780366057,598.5
3,20,16031.2063106796,411
4,20,20936.6314363144,369
5,20,11731.3347953216,684.5
6,20,16837.8730650155,325
7,20,21504.2994350282,177
8,20,13906.8272727273,333
9,20,11584.1244813278,476
10,20,15946.4907407407,323.5
11,20,12773.1141732283,256
12,20,14717.9842931937,190.5
13,20,11046.5741029641,637.5
14,20,15889.6946778711,362
15,20,11003.0826709062,632.5
16,20,11915.1454545455,273
0,21,13568.1208981002,579
1,21,18080.3612565445,190.5
2,21,12034.051625239,521.5
3,21,15969.0748792271,415
4,21,21293.6279761905,336
5,21,11567.3054054054,741
6,21,17213.932038835,310
7,21,21598.1525423729,176
8,21,13945.7393939394,335
9,21,11546.5322245322,476
10,21,15894.9138461538,324
11,21,12808.0790513834,250
12,21,14611.1047120419,190.5
13,21,11061.8701298701,611.5
14,21,15186.6168421053,476.5
15,21,11035.9644588045,624
16,21,11986.5289855072,274.5
0,22,13593.2203098107,579.5
1,22,16475.2064056939,284
2,22,11932.9092465753,584
3,22,16051.4034229829,406.5
4,22,21218.6472303207,344.5
5,22,11654.7391304348,714.5
6,22,16655.8066465257,331.5
7,22,21419.4751381215,179.5
8,22,13953.0920245399,329.5
9,22,11625.6488222698,469
10,22,15830.8167701863,319.5
11,22,12823.0357142857,251
12,22,14811.5706214689,178.5
13,22,11034.8759811617,635.5
14,22,15792.8157181572,370.5
15,22,11036.3457189015,623
16,22,11950.2310469314,276.5
0,23,13588.6730434783,573
1,23,18972.0235294118,173
2,23,12072.880733945,544.5
3,23,15969.7233009709,413.5
4,23,21354.6676470588,339.5
5,23,11603.4776536313,715
6,23,17019.7950310559,324
7,23,21545.6630434783,181
8,23,13950.9254658385,324.5
9,23,11611.9504310345,464
10,23,15760.2097264438,324
11,23,12940.6916299559,229
12,23,14714.0336538462,208.5
13,23,11038.7859778598,541.5
14,23,15461.0688836105,425.5
15,23,11001.0366242038,628.5
16,23,11974.7873134328,267.5
0,24,13608.3455497382,571
1,24,19693.35,159.5
2,24,12036.847145488,541.5
3,24,15871.3985680191,418.5
4,24,21228.5911764706,339.5
5,24,11566.18395574,723
6,24,16759.4108761329,331
7,24,21445.7142857143,181
8,24,13923.018404908,332
9,24,11634.9705882353,448
10,24,15635.1268436578,335.5
