"response","nsyll","npause","dur_s","phonationtime_s","speechrate","articulationrate","asd","nrFP","tFP_s","test_item_id","transcription","user_id","test_component_id","correct_sentence","correct_sentence2","distancelv","distancelv2"
"00096089-fa09-4f40-b0bd-46ad0b196b32",12,0,8.01,3.39,1.5,3.54,0.283,2,0.552,145,"luxury brands are easier and cheaper in the united states",153,12,"luxury brands are cheaper in china than in the united states","luxury brands are cheaper in china than in the united states",-13,-13
"00096089-fa09-4f40-b0bd-46ad0b196b32",12,0,8.01,3.39,1.5,3.54,0.283,2,0.552,145,"luxury brands are easier and cheaper in the united states",153,12,"luxury brands are cheaper in china than in the united states","luxury brands are cheaper in china than in the united states",-13,-13
"00096089-fa09-4f40-b0bd-46ad0b196b32",12,0,8.01,3.39,1.5,3.54,0.283,2,0.552,145,"luxury brands are easier and cheaper in the united states",153,12,"luxury brands are cheaper in china than in the united states","luxury brands are cheaper in china than in the united states",-13,-13
"00096089-fa09-4f40-b0bd-46ad0b196b32",12,0,8.01,3.39,1.5,3.54,0.283,2,0.552,145,"luxury brands are easier and cheaper in the united states",153,12,"luxury brands are cheaper in china than in the united states","luxury brands are cheaper in china than in the united states",-13,-13
"00127a0d-88d4-402d-8c42-39b788eabd21",12,1,7.98,3.82,1.5,3.14,0.319,4,0.984,71,"joe asked them to focus hard on their tests every day",179,10,"jo tells them they have to study hard for each test","jo tells them they have to study hard for each test",-37,-37
"00127a0d-88d4-402d-8c42-39b788eabd21",12,1,7.98,3.82,1.5,3.14,0.319,4,0.984,71,"joe asked them to focus hard on their tests every day",179,10,"jo tells them they have to study hard for each test","jo tells them they have to study hard for each test",-37,-37
"00127a0d-88d4-402d-8c42-39b788eabd21",12,1,7.98,3.82,1.5,3.14,0.319,4,0.984,71,"joe asked them to focus hard on their tests every day",179,10,"jo tells them they have to study hard for each test","jo tells them they have to study hard for each test",-37,-37
"00127a0d-88d4-402d-8c42-39b788eabd21",12,1,7.98,3.82,1.5,3.14,0.319,4,0.984,71,"joe asked them to focus hard on their tests every day",179,10,"jo tells them they have to study hard for each test","jo tells them they have to study hard for each test",-37,-37
"001d3b69-f53f-4a8f-a093-b2510df6265e",12,0,7.98,3.44,1.5,3.49,0.287,2,0.4,104,"before dinner she often asked to play with her friends",278,11,"before dinner she often asks to play with her friends","before dinner she often asks to play with her friends",-2,-2
"001d3b69-f53f-4a8f-a093-b2510df6265e",12,0,7.98,3.44,1.5,3.49,0.287,2,0.4,104,"before dinner she often asked to play with her friends",278,11,"before dinner she often asks to play with her friends","before dinner she often asks to play with her friends",-2,-2
"001d3b69-f53f-4a8f-a093-b2510df6265e",12,0,7.98,3.44,1.5,3.49,0.287,2,0.4,104,"before dinner she often asked to play with her friends",278,11,"before dinner she often asks to play with her friends","before dinner she often asks to play with her friends",-2,-2
"001d3b69-f53f-4a8f-a093-b2510df6265e",12,0,7.98,3.44,1.5,3.49,0.287,2,0.4,104,"before dinner she often asked to play with her friends",278,11,"before dinner she often asks to play with her friends","before dinner she often asks to play with her friends",-2,-2
"0031b14a-296e-421a-9023-1a40f17f9bff",10,0,7.98,2.7,1.25,3.7,0.27,0,0,51,"new technology always makes our life easier",227,11,"new technology always makes our lives much easier ","new technology always makes our lives much easier ",-8,-8
"0031b14a-296e-421a-9023-1a40f17f9bff",10,0,7.98,2.7,1.25,3.7,0.27,0,0,51,"new technology always makes our life easier",227,11,"new technology always makes our lives much easier ","new technology always makes our lives much easier ",-8,-8
"0031b14a-296e-421a-9023-1a40f17f9bff",10,0,7.98,2.7,1.25,3.7,0.27,0,0,51,"new technology always makes our life easier",227,11,"new technology always makes our lives much easier ","new technology always makes our lives much easier ",-8,-8
"0031b14a-296e-421a-9023-1a40f17f9bff",10,0,7.98,2.7,1.25,3.7,0.27,0,0,51,"new technology always makes our life easier",227,11,"new technology always makes our lives much easier ","new technology always makes our lives much easier ",-8,-8
"003aa1d5-89b6-4e96-80de-b17413c13c89",18,1,7.98,5.68,2.26,3.17,0.316,1,0.224,162,"some seats on planes are reserved for mothers when they are pregnant",192,13,"some seats on planes are reserved for mothers with infants","some seats on planes are reserved for mothers with infants",-16,-16
"003aa1d5-89b6-4e96-80de-b17413c13c89",18,1,7.98,5.68,2.26,3.17,0.316,1,0.224,162,"some seats on planes are reserved for mothers when they are pregnant",192,13,"some seats on planes are reserved for mothers with infants","some seats on planes are reserved for mothers with infants",-16,-16
"003aa1d5-89b6-4e96-80de-b17413c13c89",18,1,7.98,5.68,2.26,3.17,0.316,1,0.224,162,"some seats on planes are reserved for mothers when they are pregnant",192,13,"some seats on planes are reserved for mothers with infants","some seats on planes are reserved for mothers with infants",-16,-16
"003aa1d5-89b6-4e96-80de-b17413c13c89",18,1,7.98,5.68,2.26,3.17,0.316,1,0.224,162,"some seats on planes are reserved for mothers when they are pregnant",192,13,"some seats on planes are reserved for mothers with infants","some seats on planes are reserved for mothers with infants",-16,-16
"004144a3-6d96-42d5-90c3-e05639f6e4f0",13,1,7.98,3.46,1.63,3.76,0.266,0,0,47,"a good teacher makes learning a joy for students",155,10,"a good teacher makes learning a joy for students","a good teacher makes learning a joy for students",0,0
"004144a3-6d96-42d5-90c3-e05639f6e4f0",13,1,7.98,3.46,1.63,3.76,0.266,0,0,47,"a good teacher makes learning a joy for students",155,10,"a good teacher makes learning a joy for students","a good teacher makes learning a joy for students",0,0
"004144a3-6d96-42d5-90c3-e05639f6e4f0",13,1,7.98,3.46,1.63,3.76,0.266,0,0,47,"a good teacher makes learning a joy for students",155,10,"a good teacher makes learning a joy for students","a good teacher makes learning a joy for students",0,0
