Warship ;Tier ;Type ;Nation ;Battles ;Win rate ;Avg. frags ;Avg. damage ;Avg. experience ;Avg. planes destroyed ;Kills / deaths
Bismarck ;8;Battleship ;Germany ;22 576 493 ;49.63 % ;0.65 ;51 406 ;1 350 ;2.89 ;1.02
Shimakaze ;10;Destroyer ;Japan ;20 507 223 ;48.59 % ;0.7 ;44 588 ;1 515 ;0.8 ;1.17
Yamato ;10;Battleship ;Japan ;17 459 481 ;48.04 % ;0.7 ;83 570 ;1 755 ;2.24 ;1.22
Grosser Kurfürst ;10;Battleship ;Germany ;17 156 234 ;49.06 % ;0.69 ;74 377 ;1 584 ;2.72 ;1.07
Tirpitz ;8;Battleship ;Germany ;16 139 165 ;48.59 % ;0.63 ;48 942 ;1 352 ;2.16 ;1.02
Gneisenau ;7;Battleship ;Germany ;14 618 949 ;50.03 % ;0.7 ;43 851 ;1 219 ;3.09 ;1.14
North Carolina ;8;Battleship ;U.S.A. ;14 108 436 ;48.77 % ;0.67 ;52 844 ;1 356 ;3.75 ;1.17
Montana ;10;Battleship ;U.S.A. ;13 710 021 ;48.76 % ;0.77 ;81 716 ;1 720 ;3.43 ;1.4
Nürnberg ;6;Cruiser ;Germany ;12 755 914 ;49.16 % ;0.53 ;25 825 ;1 021 ;1.02 ;0.75
Hindenburg ;10;Cruiser ;Germany ;12 715 990 ;48.43 % ;0.66 ;72 320 ;1 678 ;2.44 ;1.2
New Mexico ;6;Battleship ;U.S.A. ;12 402 234 ;49.97 % ;0.72 ;39 705 ;1 104 ;1.65 ;1.36
Fuso ;6;Battleship ;Japan ;11 905 972 ;50.76 % ;0.78 ;44 623 ;1 164 ;1.52 ;1.54
Colorado ;7;Battleship ;U.S.A. ;11 689 681 ;49.31 % ;0.7 ;47 582 ;1 261 ;1.85 ;1.32
Friedrich der Grosse ;9;Battleship ;Germany ;11 330 246 ;48.12 % ;0.58 ;56 288 ;1 365 ;1.94 ;0.9
Königsberg ;5;Cruiser ;Germany ;11 227 912 ;50.41 % ;0.6 ;23 678 ;886;0.55 ;0.85
Bayern ;6;Battleship ;Germany ;11 077 500 ;49.68 % ;0.69 ;39 200 ;1 082 ;1.94 ;1.24
Des Moines ;10;Cruiser ;U.S.A. ;10 920 956 ;49.53 % ;0.72 ;63 001 ;1 724 ;3.24 ;1.12
Iowa ;9;Battleship ;U.S.A. ;10 808 218 ;48.31 % ;0.65 ;61 680 ;1 423 ;2.82 ;1.1
Omaha ;5;Cruiser ;U.S.A. ;10 523 399 ;49.85 % ;0.61 ;23 607 ;896;0.91 ;0.83
Nagato ;7;Battleship ;Japan ;10 472 060 ;49.37 % ;0.72 ;49 686 ;1 291 ;1.49 ;1.31
Amagi ;8;Battleship ;Japan ;10 352 580 ;50.55 % ;0.74 ;57 692 ;1 420 ;2.59 ;1.39
Admiral Hipper ;8;Cruiser ;Germany ;10 032 794 ;49.11 % ;0.5 ;36 904 ;1 359 ;2.31 ;0.78
Yorck ;7;Cruiser ;Germany ;9 987 391 ;49.48 % ;0.56 ;31 721 ;1 207 ;1.4 ;0.87
New York ;5;Battleship ;U.S.A. ;9 833 374 ;48.83 % ;0.64 ;32 179 ;921;0.84 ;1.17
König ;5;Battleship ;Germany ;9 711 032 ;50.79 % ;0.74 ;36 104 ;933;1.72 ;1.37
Zao ;10;Cruiser ;Japan ;9 527 446 ;48.91 % ;0.73 ;72 497 ;1 631 ;2.32 ;1.42
Minotaur ;10;Cruiser ;U.K. ;9 094 593 ;49.25 % ;0.8 ;62 996 ;1 661 ;4.15 ;1.35
Gearing ;10;Destroyer ;U.S.A. ;9 093 705 ;48.84 % ;0.69 ;44 427 ;1 608 ;1.56 ;1.08
Wyoming ;4;Battleship ;U.S.A. ;9 048 653 ;49.95 % ;0.83 ;31 694 ;717;1 ;1.55
Kongo ;5;Battleship ;Japan ;8 751 241 ;49.83 % ;0.67 ;33 748 ;938;1.59 ;1.27
Mogami ;8;Cruiser ;Japan ;8 658 603 ;49.98 % ;0.62 ;40 747 ;1 369 ;1.57 ;0.98
Minekaze ;5;Destroyer ;Japan ;8 493 246 ;50.62 % ;0.77 ;23 775 ;892;0.08 ;1.17
Akatsuki ;7;Destroyer ;Japan ;8 492 172 ;49.36 % ;0.65 ;26 129 ;1 182 ;0.76 ;0.97
Kagero ;8;Destroyer ;Japan ;8 014 131 ;48.92 % ;0.64 ;29 679 ;1 348 ;0.42 ;1.02
Myoko ;7;Cruiser ;Japan ;7 975 302 ;50.74 % ;0.66 ;36 083 ;1 232 ;1.62 ;1.05
Scharnhorst ;7;Battleship ;Germany ;7 846 563 ;51.41 % ;0.81 ;48 317 ;1 360 ;2.12 ;1.35
