Labornummer Tübingen;Profil_2;Horizont_43;Tiefe_44;Horizontbezeichnung_45;East_84;North_85;Neigung_16;Expozition_17;Corg;CaCO3;Ca ;Mg ;K ;Na;Kationen ;KAKpot ;KAKpot 2;gS;mS ;fS;S;gU;mU;fU;U;gT;mT+fT ; T ;S+U+T;Bodenart
[];[];[];[cm];[];[];[];[ % ];[];[%];[%];[mmol/kg];[mmol/kg];[mmol/kg];[mmol/kg];[mmol/kg];[mmol/kg];[cmol/kg];[%];[%];[%];[%];[%];[%];[%];[%];[%];[%];[%];[%];[]
50300;2;1;5;Aeh ;498818;5380428;0;99999,99;3,99;0;20,56;3,79;1,12;0,50;25,46;110,85;11,08;40,86;27,71;10,97;79,50;3,40;5,60;4,00;13,00;3,60;3,70;7,30;99,80;Sl2
50301;2;2;26;Bv;498818;5380428;0;99999,99;0,13;0;0,05;0,41;0,25;0,50;0,50;33,14;3,31;57,34;19,04;6,72;83,10;2,50;3,50;3,30;9,30;3,40;4,10;7,50;99,90;St2
50302;2;3;40;II Bv;498818;5380428;0;99999,99;0,70;0;0,05;0,10;0,25;0,50;0,50;49,16;4,92;33,65;30,71;10,37;74,72;3,70;6,10;5,30;15,10;4,30;5,70;10,00;99,82;Sl3
50303;2;4;58;III Sd-P-lCv;498818;5380428;0;99999,99;0,14;0;58,55;40,37;2,14;0,50;101,07;143,74;14,37;21,17;23,79;9,44;54,40;1,50;2,20;2,50;6,20;4,20;35,10;39,30;99,90;Ts3
50304;2;5;90;III lCv;498818;5380428;0;99999,99;0,12;0;122,43;75;0,25;0,50;197,43;212,45;21,24;8;7,28;10,78;26,06;3,90;9,30;14,70;27,90;14,20;31,80;46,00;99,96;Tl
50305;2;6;100;IV elCn;498818;5380428;0;99999,99;0,04;0,81;143,19;77,98;0,25;0,50;221,17;221,25;22,13;5,90;3,40;5,70;15,00;3,50;13,60;19,60;36,70;17,20;30,40;47,60;99,30;Tu2
50315;5;1;5;Ah;498795;5380779;1;E;4,69;0;9,59;2,49;0,64;0,50;12,71;152,26;15,23;16,61;32,35;13,49;62,50;5,10;6,10;6,70;17,90;6,60;13,20;19,80;100,20;Ls4
50316;5;2;20;Bv;498795;5380779;1;E;0,91;0;7,09;2,55;0,25;0,50;9,64;86,33;8,63;18,78;26,12;12,39;57,30;4,50;6,20;8;18,70;7,80;16,40;24,20;100,20;Ls4
50317;5;3;47;II Swd-P-Bv;498795;5380779;1;E;0,44;0;128,22;27,04;0,25;0,50;155,26;207,79;20,78;2,41;26,98;4,74;34,13;1,70;2,50;4,30;8,50;8,10;49,10;57,20;99,83;Ts2
