"","ST167Q01IA","ST167Q02IA","ST167Q03IA","ST167Q04IA","ST167Q05IA"
"1",2,1,1,3,2
"2",4,1,5,2,1
"3",2,1,3,2,3
"4",3,1,2,2,4
"5",3,1,5,4,2
"6",1,1,1,1,4
"7",2,1,4,4,1
"8",1,3,4,3,1
"9",4,3,5,5,1
"10",3,5,5,5,4
"11",3,2,4,2,1
"12",1,3,4,1,1
"13",2,3,5,3,2
"14",2,1,2,2,1
"15",1,1,1,1,1
"16",1,1,4,2,2
"17",1,2,3,2,1
"18",1,1,5,1,1
"19",1,1,5,1,1
"20",2,2,2,3,1
"21",3,1,3,1,3
"22",2,2,5,1,1
"23",2,1,1,1,2
"24",1,3,1,1,1
"25",3,2,2,2,3
"26",NA,NA,NA,NA,NA
"27",2,3,2,3,3
"28",3,1,4,4,3
"29",2,1,1,1,1
"30",4,1,1,2,4
"31",3,1,1,1,1
"32",3,3,2,3,3
"33",1,1,2,2,3
"34",1,1,1,1,2
"35",2,1,2,3,4
"36",2,1,2,2,1
"37",4,1,1,4,5
"38",1,1,2,2,1
"39",4,1,4,3,3
"40",1,1,3,4,1
"41",NA,NA,NA,NA,NA
"42",1,1,4,1,1
"43",3,1,5,2,1
"44",3,1,1,4,2
"45",1,1,1,1,1
"46",2,2,1,1,4
"47",3,1,1,1,2
"48",4,1,5,5,2
"49",4,4,1,1,2
"50",2,2,2,1,1
"51",NA,NA,NA,NA,NA
"52",3,1,1,1,2
"53",4,1,2,2,5
"54",3,1,5,3,1
"55",2,1,2,1,3
"56",4,4,3,2,4
"57",2,1,3,2,1
"58",2,2,4,2,4
"59",2,2,2,3,1
"60",3,2,4,4,2
"61",3,1,1,3,1
"62",1,1,2,1,1
"63",4,1,2,1,4
"64",3,1,4,1,5
"65",1,1,1,2,1
"66",3,1,1,3,4
"67",2,1,1,1,1
"68",2,1,1,1,4
"69",2,2,2,3,5
"70",2,1,4,3,4
"71",1,1,1,1,1
"72",3,2,1,1,4
"73",2,1,2,1,2
"74",2,2,5,1,4
"75",2,1,1,1,1
"76",3,1,2,1,3
"77",1,1,1,1,1
"78",1,1,3,1,1
"79",2,2,1,1,3
"80",4,1,2,1,5
"81",3,1,3,1,3
"82",1,1,1,1,1
"83",3,1,4,1,3
"84",1,1,1,3,2
"85",4,3,3,2,3
"86",2,1,5,3,2
"87",4,1,2,2,4
"88",1,1,1,1,1
"89",1,2,1,1,1
"90",3,1,3,2,5
"91",3,4,4,5,4
"92",2,1,3,1,3
"93",2,1,1,1,4
"94",NA,NA,NA,NA,NA
"95",4,4,1,2,4
"96",1,1,1,1,1
"97",1,1,2,1,1
"98",4,4,4,5,1
"99",2,3,1,5,5
"100",1,1,1,1,1
"101",1,5,5,5,1
"102",3,1,5,2,4
"103",4,1,2,1,3
"104",2,1,2,1,1
"105",3,1,1,5,5
"106",2,1,1,1,2
"107",1,1,4,1,1
"108",4,1,1,2,3
"109",2,5,3,2,5
"110",5,2,3,3,5
"111",3,1,3,2,4
"112",1,2,1,1,1
"113",1,1,1,1,3
"114",3,4,3,4,5
"115",3,2,3,1,1
"116",3,3,3,3,3
"117",2,2,2,1,2
"118",1,1,1,1,1
"119",4,1,5,3,5
"120",2,1,4,4,3
"121",4,5,4,4,1
"122",3,3,2,4,5
"123",2,3,1,2,2
"124",2,2,1,1,2
"125",1,1,5,2,4
"126",3,NA,2,3,1
"127",1,1,1,1,2
"128",2,1,3,2,1
"129",4,1,2,4,5
"130",5,4,5,1,3
"131",2,1,3,1,2
"132",3,2,1,3,4
"133",3,2,3,3,4
"134",3,1,1,1,3
"135",2,1,2,1,2
"136",2,2,3,1,1
"137",2,1,5,4,3
"138",2,2,4,3,4
"139",4,1,2,1,4
"140",5,5,4,3,5
"141",1,1,4,2,3
"142",1,1,5,1,1
"143",5,1,5,3,4
"144",2,1,1,4,4
"145",4,3,2,1,5
"146",3,2,2,5,4
"147",2,1,3,1,1
"148",2,1,5,2,4
"149",4,2,2,3,5
"150",3,1,4,1,2
"151",4,4,4,4,1
"152",2,1,4,3,4
"153",3,1,5,4,4
"154",4,2,3,3,2
"155",4,1,1,1,3
"156",4,1,1,4,3
"157",3,1,1,2,5
"158",4,5,3,4,1
"159",3,2,5,3,2
"160",1,1,5,4,1
"161",2,1,1,1,1
"162",2,4,2,3,3
"163",3,1,1,4,2
"164",2,1,2,4,3
"165",3,2,2,2,2
"166",5,4,4,4,3
"167",1,4,4,1,1
"168",1,2,5,3,1
"169",3,2,4,4,5
"170",3,2,4,4,1
"171",1,1,1,1,4
"172",2,2,3,1,5
