"","Journals/Magazines_st","Comics_st","Fiction (novels, short stories, stories)_st","Nonfiction (history, biography, science, technology)_st","Daily newspapers_st","Journals/Magazines_pa","Comics_pa","Fiction (novels, short stories, stories)_pa","Nonfiction (history, biography, science, technology)_pa","Daily newspapers_pa"
"1",2,1,1,3,2,NA,NA,NA,NA,NA
"2",4,1,5,2,1,4,1,5,2,5
"3",2,1,3,2,3,5,1,5,5,5
"4",3,1,2,2,4,3,1,2,1,5
"5",3,1,5,4,2,2,1,4,4,4
"6",1,1,1,1,4,2,1,2,4,4
"7",2,1,4,4,1,NA,1,1,5,4
"8",1,3,4,3,1,NA,NA,NA,NA,NA
"9",4,3,5,5,1,4,1,5,2,4
"10",3,5,5,5,4,NA,NA,NA,NA,NA
"11",3,2,4,2,1,4,2,5,4,5
"12",1,3,4,1,1,NA,NA,NA,NA,NA
"13",2,3,5,3,2,2,1,2,2,4
"14",2,1,2,2,1,NA,NA,NA,NA,NA
"15",1,1,1,1,1,NA,NA,NA,NA,NA
"16",1,1,4,2,2,4,4,4,2,1
"17",1,2,3,2,1,NA,NA,NA,NA,NA
"18",1,1,5,1,1,4,2,1,3,5
"19",1,1,5,1,1,NA,NA,NA,NA,NA
"20",2,2,2,3,1,NA,NA,NA,NA,NA
"21",3,1,3,1,3,4,1,4,2,5
"22",2,2,5,1,1,NA,NA,NA,NA,NA
"23",2,1,1,1,2,5,1,5,3,5
"24",1,3,1,1,1,NA,NA,NA,NA,NA
"25",3,2,2,2,3,NA,NA,NA,NA,NA
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",2,3,2,3,3,5,1,2,2,5
"28",3,1,4,4,3,3,2,5,2,3
"29",2,1,1,1,1,NA,NA,NA,NA,NA
"30",4,1,1,2,4,4,1,4,3,5
"31",3,1,1,1,1,NA,NA,NA,NA,NA
"32",3,3,2,3,3,3,1,3,3,5
"33",1,1,2,2,3,NA,NA,NA,NA,NA
"34",1,1,1,1,2,NA,NA,NA,NA,NA
"35",2,1,2,3,4,5,1,5,4,5
"36",2,1,2,2,1,NA,NA,NA,NA,NA
"37",4,1,1,4,5,NA,NA,NA,NA,NA
"38",1,1,2,2,1,4,2,3,3,4
"39",4,1,4,3,3,NA,NA,NA,NA,NA
"40",1,1,3,4,1,5,1,1,3,5
"41",NA,NA,NA,NA,NA,4,4,4,4,4
